security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000003,2012-06-30,-0.0949,,,-9.9257,-9.926,-0.957,,75.4578,170280913.78,-0.0009,-3.3782,,sina vFD_FinancialGuideLine,2026-08-11T16:53:43+00:00
000005,2012-06-30,-0.032,-0.03,-0.03,0.6898,0.69,-4.64,-4.53,7.5462,1232057418.79,0.1657,2.0812,-207.8708,sina vFD_FinancialGuideLine,2026-08-11T16:54:08+00:00
000018,2012-06-30,-0.0248,-0.02,-0.01,0.6702,0.67,-3.65,-3.58,56.1767,171027553,0.001,-9.2067,,sina vFD_FinancialGuideLine,2026-08-11T16:54:57+00:00
000030,2012-06-30,-0.0051,-0.0051,-0.0056,0.002,0.002,-252.53,-111.61,,64663557.23,-0.0045,-100,-100.1004,sina vFD_FinancialGuideLine,2026-08-11T16:55:40+00:00
000037,2012-06-30,-0.2044,,-0.21,3.0437,2.73,-6.42,-6.22,-62.4767,5420788209.16,0.202,-38.2689,,sina vFD_FinancialGuideLine,2026-08-11T16:55:52+00:00
000040,2012-06-30,0.2712,0.27,0.16,2.3462,2.37,11.47,12.04,74.4003,2644085756.6,0.0601,11.91,9.3871,sina vFD_FinancialGuideLine,2026-08-11T16:56:08+00:00
000048,2012-06-30,0.07,0.0723,-0.02,1.2028,0.9905,7.3,7.58,9.5089,1231398917.18,-0.0091,15.7576,,sina vFD_FinancialGuideLine,2026-08-11T16:56:46+00:00
000050,2012-06-30,0.0664,0.019,-0.01,5.1483,2.3146,0.82,0.82,12.8196,8025211614,0.3445,6.0735,-43.8992,sina vFD_FinancialGuideLine,2026-08-11T16:57:02+00:00
000415,2012-06-30,0.1842,0.1544,0.126,6.9043,5.7264,2.7,2.73,54.4551,19845570799.52,0.3254,66.3921,34.9425,sina vFD_FinancialGuideLine,2026-08-11T16:58:48+00:00
000498,2012-06-30,-0.0131,-0.0131,-0.0131,0.0102,0.01,-127.79,-77.97,,4526307.82,-0.014,,,sina vFD_FinancialGuideLine,2026-08-11T16:59:10+00:00
000504,2012-06-30,-0.0025,-0.0027,-0.009,0.4159,0.4,-0.66,-0.66,35.5299,262205100.53,-0.0107,-33.5267,,sina vFD_FinancialGuideLine,2026-08-11T16:59:17+00:00
000509,2012-06-30,0.0257,0.0285,-0.0827,-0.4495,-0.4297,,,7.5743,525890732.92,0.0186,-6.2744,,sina vFD_FinancialGuideLine,2026-08-11T16:59:38+00:00
000519,2012-06-30,0.0133,0.018,-0.019,1.8501,1.7937,0.99,0.98,15.2241,477113778.02,0.067,-21.3149,,sina vFD_FinancialGuideLine,2026-08-11T17:00:04+00:00
000545,2012-06-30,0.0272,0.03,0.03,-0.2527,-0.25,,0,54.6277,194616743.79,0.001,11.4038,,sina vFD_FinancialGuideLine,2026-08-11T17:00:39+00:00
000595,2012-06-30,0.1293,0.129,-0.191,1.1248,1.12,11.5,12.2,13.671,863438800.17,0.0532,-21.6404,3509.6988,sina vFD_FinancialGuideLine,2026-08-11T17:02:31+00:00
000602,2012-06-30,1.2319,0.8416,0.3584,11.1716,7.44,11.31,12.02,29.9977,13987415272.88,1.4316,422.7995,,sina vFD_FinancialGuideLine,2026-08-11T17:02:56+00:00
000603,2012-06-30,0.4707,0.296,0.296,1.1598,0.97,24.26,24.26,86.6103,1017081682.07,0.6038,11677.855,,sina vFD_FinancialGuideLine,2026-08-11T17:03:11+00:00
000605,2012-06-30,0.0108,0.0105,0.01,0.6136,0.566,1.85,1.87,33.2119,138523773.72,-0.0001,29.153,,sina vFD_FinancialGuideLine,2026-08-11T17:03:20+00:00
000606,2012-06-30,-0.0232,-0.0202,-0.0221,1.701,1.44,-1.41,-1.4,23.1641,1132733937.95,0.037,-62.9751,-127.8029,sina vFD_FinancialGuideLine,2026-08-11T17:03:27+00:00
000609,2012-06-30,0.0774,0.0795,-0.0355,3.4068,3.37,2.36,2.35,54.8072,1554787899.12,0.3314,38.7672,-86.0246,sina vFD_FinancialGuideLine,2026-08-11T17:03:55+00:00
000615,2012-06-30,0.0275,0.03,0.03,3.0403,3.03,0.9,0.91,13.8545,1240843501.14,-0.0557,5.8731,,sina vFD_FinancialGuideLine,2026-08-11T17:04:03+00:00
000657,2012-06-30,-0.0351,-0.0351,-0.0544,1.4607,1.46,-2.38,-2.38,3.2923,465696739.58,0.1312,13.3848,-358.6353,sina vFD_FinancialGuideLine,2026-08-11T17:05:15+00:00
000662,2012-06-30,-0.1952,-0.1982,-0.2002,2.8514,2.725,-7.27,-7.83,12.8684,1338502069.7,0.019,16.0415,,sina vFD_FinancialGuideLine,2026-08-11T17:06:15+00:00
000668,2012-06-30,0.0241,0.01,-0.03,5.0651,4.57,0.33,0.33,76.6762,1090953799.49,-0.9264,-31.0949,-83.5281,sina vFD_FinancialGuideLine,2026-08-11T17:06:38+00:00
000669,2012-06-30,-0.0458,-0.0458,-0.0223,1.557,1.56,-2.941,-2.897,6.1915,181906081.72,0.3821,-8.5539,,sina vFD_FinancialGuideLine,2026-08-11T17:06:47+00:00
000670,2012-06-30,0.0048,0.0048,0.004,0.7671,0.7671,0.62,0.62,63.1517,298292268.47,0.0505,-26.0339,-78.7155,sina vFD_FinancialGuideLine,2026-08-11T17:07:05+00:00
