security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000014,1999-06-30,-1.0396,,,0.731,0.31,-322.73,,14.4676,357319715.95,-0.1436,-32.2849,,sina vFD_FinancialGuideLine,2026-08-11T16:54:46+00:00
000515,1999-06-30,-0.6886,,,-3.1506,-3.15,,,-19.1135,764786247.09,0.1376,530.8619,,sina vFD_FinancialGuideLine,2026-08-11T16:59:50+00:00
000542,1999-06-30,-0.3134,,,3.1161,3.08,-10.06,,11.1281,818165439.3,,-21.6879,-327.1857,sina vFD_FinancialGuideLine,2026-08-11T17:00:34+00:00
000551,1999-06-30,-0.0406,,,1.9774,1.88,-2.042,,8.091,897102211.68,,-35.23,-467.4002,sina vFD_FinancialGuideLine,2026-08-11T17:00:46+00:00
000586,1999-06-30,0.0319,,,2.3491,2.35,1.36,,5.9292,634217183.81,,-2.1167,-32.2389,sina vFD_FinancialGuideLine,2026-08-11T17:02:04+00:00
000622,1999-06-30,0.0436,,,1.8271,1.703,1.856,,39.6413,440748477.39,,-23.7068,-38.421,sina vFD_FinancialGuideLine,2026-08-11T17:04:35+00:00
000658,1999-06-30,-0.0429,,,2.3202,2.172,-1.455,,8.1322,895546007.02,,8.6494,-160.5684,sina vFD_FinancialGuideLine,2026-08-11T17:05:23+00:00
000662,1999-06-30,-0.0019,,,1.9425,1.57,0.46,,8.729,445023779.99,0.0984,18.6626,-107.1686,sina vFD_FinancialGuideLine,2026-08-11T17:05:55+00:00
000667,1999-06-30,0.0364,,,2.0717,2.06,1.755,,14.5395,595616417.57,-0.0863,-9.3401,-54.1975,sina vFD_FinancialGuideLine,2026-08-11T17:06:33+00:00
000689,1999-06-30,-0.0793,,,2.4628,2.25,-2.96,,-9.0275,504414805.8,,-78.6652,-176.3314,sina vFD_FinancialGuideLine,2026-08-11T17:09:00+00:00
