security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000003,2009-12-31,-0.0563,,,-9.2463,-9.003,-0.006,-0.006,90.8972,462102787.59,0.0046,,,sina vFD_FinancialGuideLine,2026-08-11T16:53:39+00:00
000005,2009-12-31,-0.0535,-0.054,-0.053,0.7682,0.77,-6.96,-6.72,19.5247,1319203895.55,0.0089,-60.2719,-565.9127,sina vFD_FinancialGuideLine,2026-08-11T16:54:04+00:00
000018,2009-12-31,0.0693,0.07,0.07,0.8488,0.85,8.45,8.9,17.7804,201318234,-0.0051,-41.3033,,sina vFD_FinancialGuideLine,2026-08-11T16:54:52+00:00
000030,2009-12-31,0.0281,0.0281,-0.1158,-5.9462,-5.95,22.67,,,41891434.31,-0.0006,9.0909,,sina vFD_FinancialGuideLine,2026-08-11T16:55:34+00:00
000040,2009-12-31,0.1069,0.14,-0.2,2.1643,1.921,7.14,7.51,33.1515,2831794510.76,0.4662,118.5109,,sina vFD_FinancialGuideLine,2026-08-11T16:56:04+00:00
000048,2009-12-31,0.1307,0.1171,0.1068,-0.0201,-0.203,,,15.695,846217380.3,0.525,51.2702,22.2349,sina vFD_FinancialGuideLine,2026-08-11T16:56:41+00:00
000062,2009-12-31,0.3045,0.3,0.16,2.5397,2.49,12.08,13.03,20.9167,2749102691.76,0.5016,22.4117,536.1893,sina vFD_FinancialGuideLine,2026-08-11T16:57:27+00:00
000403,2009-12-31,-0.189,0.01,0.013,0.6502,0.017,65.22,96.79,46.6266,1251795177.02,0.5285,-19.5041,-121.5251,sina vFD_FinancialGuideLine,2026-08-11T16:58:05+00:00
000409,2009-12-31,-0.0807,-0.0807,-0.0812,0.2411,0.24,-33.48,-29.98,2.4189,52126610.38,0.0428,-0.2705,-601.7217,sina vFD_FinancialGuideLine,2026-08-11T16:58:26+00:00
000415,2009-12-31,-0.2845,-0.2857,-0.1811,0.9768,0.8445,-33.84,-29.03,11.2463,1153901275.59,0.7275,7.32,,sina vFD_FinancialGuideLine,2026-08-11T16:58:41+00:00
000420,2009-12-31,0.0262,0.05,-0.1434,2.6197,2.3641,1.98,1.8684,12.2801,2730788391.8,0.186,3.3957,,sina vFD_FinancialGuideLine,2026-08-11T16:58:53+00:00
000555,2009-12-31,-0.0878,-0.088,-0.125,-1.4733,-1.47,,,15.1173,23259440.91,-0.4297,-76.1882,-4333.4911,sina vFD_FinancialGuideLine,2026-08-11T17:01:10+00:00
