cohort,arm,method,horizon,code,n,median
old_rank1_filter,BASE,daily,250,000001,5,0.0458917620877779
old_rank1_filter,BASE,daily,250,000022,4,0.1926902700057449
old_rank1_filter,BASE,daily,250,000063,8,0.2639532012520498
old_rank1_filter,BASE,daily,250,000333,187,0.41301179590448656
old_rank1_filter,BASE,daily,250,000338,314,0.07155360515140807
old_rank1_filter,BASE,daily,250,000568,3,0.6143765474905196
old_rank1_filter,BASE,daily,250,000651,296,0.24627467529825464
old_rank1_filter,BASE,daily,250,000661,2,-0.24841781276514258
old_rank1_filter,BASE,daily,250,000786,7,0.5523158516476756
old_rank1_filter,BASE,daily,250,000792,122,-0.24598667742681013
old_rank1_filter,BASE,daily,250,000858,5,0.4699648351952026
old_rank1_filter,BASE,daily,250,000933,145,-0.030042918454935785
old_rank1_filter,BASE,daily,250,000951,1,0.3028151856123169
old_rank1_filter,BASE,daily,250,002001,14,-0.2679148627173292
old_rank1_filter,BASE,daily,250,002024,14,0.5045809672423684
old_rank1_filter,BASE,daily,250,002128,263,0.3575963640148492
old_rank1_filter,BASE,daily,250,002152,21,0.45384681806407046
old_rank1_filter,BASE,daily,250,002158,8,0.37200486796331955
old_rank1_filter,BASE,daily,250,002236,8,0.14102946245853776
old_rank1_filter,BASE,daily,250,002304,36,0.5901609211472585
old_rank1_filter,BASE,daily,250,002466,151,0.5048963133640552
old_rank1_filter,BASE,daily,250,002508,9,0.575838595678118
old_rank1_filter,BASE,daily,250,002532,3,0.38387204146314935
old_rank1_filter,BASE,daily,250,002648,8,0.16997387915566076
old_rank1_filter,BASE,daily,250,002833,1,0.18184578090998227
old_rank1_filter,BASE,daily,250,300059,1,1.1878793814025754
old_rank1_filter,BASE,daily,250,300750,3,1.0885559158739575
old_rank1_filter,BASE,daily,250,600000,2,-0.20514864596952287
old_rank1_filter,BASE,daily,250,600009,1,1.0710910679250452
old_rank1_filter,BASE,daily,250,600016,1,-0.21351740416039833
old_rank1_filter,BASE,daily,250,600031,9,0.12976640048711485
old_rank1_filter,BASE,daily,250,600036,1,0.4058307424525973
old_rank1_filter,BASE,daily,250,600066,83,0.02516314751781845
old_rank1_filter,BASE,daily,250,600176,4,0.387953906465602
old_rank1_filter,BASE,daily,250,600188,11,-0.015434791985321605
old_rank1_filter,BASE,daily,250,600271,10,0.4798744618421744
old_rank1_filter,BASE,daily,250,600309,86,0.1336438900096144
old_rank1_filter,BASE,daily,250,600426,3,0.7926327884888242
