cohort,arm,method,horizon,signals,complete,codes,missing,median,mean,positive_fraction,median_of_code_medians
old_rank1_filter,BASE,daily,250,3076,2833,66,243,0.28075192544588856,0.29255165324740684,0.7338510412989764,0.23084170401126125
old_rank1_filter,BASE,daily,750,3076,2322,45,754,0.94442661874537,0.9481012848864105,0.838501291989664,0.9075333623521871
old_rank1_filter,BASE,ma60_episode,250,394,362,66,32,0.28388942497867486,0.30065988371139635,0.7707182320441989,0.29216629822684903
old_rank1_filter,BASE,ma60_episode,750,394,282,45,112,0.8413161266628787,0.839447589790741,0.8439716312056738,0.8728920705083156
old_rank1_filter,BASE,ma60_nonoverlap,250,169,153,66,16,0.18286890482480112,0.22832861778343333,0.7516339869281046,0.22539715462701893
old_rank1_filter,BASE,ma60_nonoverlap,750,102,67,45,35,0.8111279014169526,0.8369181396899549,0.8656716417910447,0.809481215627575
old_rank1_filter,BASE,stop_episode,250,170,159,66,11,0.20359518688129885,0.2852645889154314,0.7421383647798742,0.25871669759299876
old_rank1_filter,BASE,stop_episode,750,170,117,45,53,0.8845295004312597,0.8965906512961062,0.8717948717948718,0.8989914782713844
old_rank1_filter,BOTH1,daily,250,2420,2220,56,200,0.2638085032609908,0.2791578247725683,0.7319819819819819,0.24291642420768167
old_rank1_filter,BOTH1,daily,750,2420,1814,40,606,0.9629180696704087,0.9782590396965355,0.8428886438809261,0.8264167378289464
old_rank1_filter,BOTH1,ma60_episode,250,285,260,56,25,0.2632911206225409,0.2751838863976727,0.7384615384615385,0.237168065265129
old_rank1_filter,BOTH1,ma60_episode,750,285,202,40,83,0.8844660370603586,0.87082984342175,0.8267326732673267,0.8623394029705982
old_rank1_filter,BOTH1,ma60_nonoverlap,250,143,129,56,14,0.20325066540850734,0.23234080391261513,0.7209302325581395,0.21155603834078718
old_rank1_filter,BOTH1,ma60_nonoverlap,750,87,56,40,31,0.9298210233541797,0.9334588051616566,0.8571428571428571,0.8683919963546561
old_rank1_filter,BOTH1,stop_episode,250,122,113,56,9,0.16389246528614887,0.24573642460518652,0.7256637168141593,0.2120409434493118
old_rank1_filter,BOTH1,stop_episode,750,122,84,40,38,0.8683919963546561,0.8578191227935879,0.8452380952380952,0.8387858496966366
old_rank1_filter,BOTH2,daily,250,2391,2193,56,198,0.26346492346073047,0.27800031885033627,0.7327861377108983,0.1835824618446586
old_rank1_filter,BOTH2,daily,750,2391,1792,40,599,0.9699985842829963,0.9836576582776314,0.8454241071428571,0.8221141991833955
old_rank1_filter,BOTH2,ma60_episode,250,279,254,56,25,0.2566341952900574,0.26652892923327054,0.7362204724409449,0.20248522673122205
old_rank1_filter,BOTH2,ma60_episode,750,279,200,40,79,0.88739221754778,0.8642030989889962,0.825,0.8726165320638058
old_rank1_filter,BOTH2,ma60_nonoverlap,250,140,126,56,14,0.19804298138994714,0.23165153842777256,0.7301587301587301,0.18595946351211118
old_rank1_filter,BOTH2,ma60_nonoverlap,750,86,56,40,30,0.9350308639445046,0.9187616921485787,0.8571428571428571,0.860069730992664
old_rank1_filter,BOTH2,stop_episode,250,123,114,56,9,0.1709767981202056,0.23966244864763192,0.7368421052631579,0.1925770615219306
old_rank1_filter,BOTH2,stop_episode,750,123,86,40,37,0.8280810210770115,0.8436655282227274,0.8488372093023255,0.8202264887040898
old_rank1_filter,BOTH3,daily,250,2361,2166,56,195,0.2625048525190359,0.2784828208908509,0.7359187442289935,0.19494065726970067
old_rank1_filter,BOTH3,daily,750,2361,1771,40,590,0.9732925014070231,0.9881503029251455,0.8486730660643704,0.8232244617960082
old_rank1_filter,BOTH3,ma60_episode,250,274,250,56,24,0.2566341952900574,0.2711744206571731,0.744,0.22034631638159163
