candidate,control,group,start,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,negative_flip,min_ratio_delta,forced_delta,turnover_delta,identical_nav
MID,CONTROL,full,2009-11-01,0.0,-0.2827511206957123,0.0,0.0,0.0,False,0.0,0.0,-0.11125452042067696,False
MID,CONTROL,full,2010-05-01,0.0,-0.29418131322838104,0.0,0.0,0.0,False,0.0,0.0,-0.11122577157659563,False
MID,CONTROL,full,2010-11-01,0.0,-0.631061543412903,-0.2979474421463957,0.0,0.0,False,0.0,0.0,-0.07281456749666226,False
MID,CONTROL,full,2011-05-01,0.0,-0.45839679387948973,-0.6246666147806446,0.0,0.0,False,0.0,0.0,-0.069482229573822,False
MID,CONTROL,full,2011-11-01,0.0,-0.675236267004431,-0.4210194995686978,0.0,0.0,False,0.0,0.0,-0.18625284737171555,False
MID,CONTROL,full,2012-05-01,0.0,-0.17476712674451278,0.0,0.0,0.0,False,0.0,0.0,0.03320707197403916,False
MID,CONTROL,full,2012-11-01,0.0,-0.3313015467664382,-0.520162113735978,0.0,0.0,False,0.0,0.0,-0.06515054704052226,False
MID,CONTROL,full,2013-05-01,0.0,-0.7272783688479834,-1.0755056001555685,0.0,0.0,False,0.0,0.0,0.0019055107527323756,False
MID,CONTROL,full,2013-11-01,0.0,-0.3028372159834092,-0.9283763124987132,0.0,0.0,False,0.0,0.0,-0.19471452050874216,False
MID,CONTROL,full,2014-05-01,0.0,-1.1871743624831455,-0.3980386513408263,0.0,0.0,False,0.0,0.0,-0.19732947274643742,False
MID,CONTROL,full,2014-11-01,0.0,-0.2637769259704825,-0.03176123795076702,0.0,0.0,False,0.0,0.0,-0.0611891657301209,False
MID,CONTROL,full,2015-05-01,0.0,-0.5632276659906399,-0.4276866007365987,0.0,0.0,False,0.0,0.0,-0.08865016621664434,False
MID,CONTROL,full,2015-11-01,0.0,-1.4567887135661595,-0.6168551946453382,0.0,0.0,False,0.0,0.0,-0.18153260951093664,False
MID,CONTROL,full,2016-05-01,0.0,0.06762729370630716,0.0,0.0,0.0,False,0.0,0.0,-0.008928263451736917,False
MID,CONTROL,A,2009-11-01,0.0,-0.33240460549115447,0.0,0.0,0.0,False,0.0,0.0,0.1203377593069268,False
MID,CONTROL,A,2010-05-01,0.0,-0.34610960860792517,0.0,0.0,0.0,False,0.0,0.0,0.12068261351640341,False
MID,CONTROL,A,2010-11-01,0.0,-1.1561896859601406,0.0,0.0,0.0,False,0.0,0.0,-0.21887123298945177,False
MID,CONTROL,A,2011-05-01,0.0,0.07458757129303883,0.0,0.0,0.0,False,0.0,0.0,0.13292939210561538,False
MID,CONTROL,A,2011-11-01,0.0,-0.09373118062909747,0.0,0.0,0.0,False,0.0,0.0,-0.01993389815651536,False
MID,CONTROL,A,2012-05-01,0.0,-0.37788503013551633,0.0,0.0,0.0,False,0.0,0.0,-0.028516642330966846,False
MID,CONTROL,A,2012-11-01,0.0,-0.10070987789352337,0.0,0.0,0.0,False,0.0,0.0,-0.11322196542050023,False
MID,CONTROL,A,2013-05-01,0.0,-1.1244804386352225,0.0,0.0,0.0,False,0.0,0.0,-0.23574980974008497,False
MID,CONTROL,A,2013-11-01,0.0,-1.164473301388247,0.0,0.0,0.0,False,0.0,0.0,-0.1961782859089798,False
MID,CONTROL,A,2014-05-01,0.0,-1.1685262240634486,0.0,0.0,0.0,False,0.0,0.0,0.023585364384348217,False
MID,CONTROL,A,2014-11-01,0.0,-0.300335000434937,0.0,0.0,0.0,False,0.0,0.0,-0.03678958105988883,False
MID,CONTROL,A,2015-05-01,0.0,-1.4264154450882138,0.0,0.0,0.0,False,0.0,0.0,-0.12189512976569272,False
MID,CONTROL,A,2015-11-01,0.0,-1.6322781328399483,-1.16419320046528,0.0,0.0,False,0.0,0.0,-0.15420149809550576,False
MID,CONTROL,A,2016-05-01,0.0,-0.2727178634506666,-1.2330876701266424,0.0,0.0,False,0.0,0.0,-0.06303735239123842,False
MID,CONTROL,U,2009-11-01,0.0,-0.15016223635457848,0.0,0.0,0.0,False,0.0,0.0,-0.11617882497794962,False
MID,CONTROL,U,2010-05-01,0.0,-0.15649483251773955,0.0,0.0,0.0,False,0.0,0.0,-0.11620558866390329,False
MID,CONTROL,U,2010-11-01,0.0,-0.08625491292524323,0.0,0.0,0.0,False,0.0,0.0,0.043241829332515636,False
MID,CONTROL,U,2011-05-01,0.0,-0.12276624190501462,0.0,0.0,0.0,False,0.0,0.0,-0.05398689517896216,False
MID,CONTROL,U,2011-11-01,0.0,-0.8269173428806509,0.0,0.0,0.0,False,0.0,0.0,-0.30859503847382896,False
MID,CONTROL,U,2012-05-01,0.0,0.24983456792382341,0.0,0.0,0.0,False,0.0,0.0,0.05995829459119051,False
MID,CONTROL,U,2012-11-01,0.0,-0.3939941671581515,0.0,0.0,0.0,False,0.0,0.0,-0.12496675048625683,False
MID,CONTROL,U,2013-05-01,0.0,0.0939360215351126,0.0,0.0,0.0,False,0.0,0.0,-0.017461748057252535,False
MID,CONTROL,U,2013-11-01,0.0,-0.25215420485953377,0.0,0.0,0.0,False,0.0,0.0,-0.10784683092768699,False
MID,CONTROL,U,2014-05-01,0.0,-0.41698273339541014,0.0,0.0,0.0,False,0.0,0.0,-0.11642212378562533,False
MID,CONTROL,U,2014-11-01,0.0,-0.6188297798132014,0.0,0.0,0.0,False,0.0,0.0,-0.04469616020762501,False
MID,CONTROL,U,2015-05-01,0.0,-0.9135989796129618,0.0,0.0,0.0,False,0.0,0.0,-0.37511087290549927,False
MID,CONTROL,U,2015-11-01,0.0,0.14397225898743482,0.0,0.0,0.0,False,0.0,0.0,-0.1443282401564696,False
MID,CONTROL,U,2016-05-01,0.0,-2.5888811408082635,0.0,0.0,0.0,False,0.0,0.0,-0.4389449520670379,False
NEW,CONTROL,full,2009-11-01,-1.5312224899999949,-3.4527173350558105,-0.6744819684925574,-1.9080192667304763,0.33232597369684536,False,-0.017478537907628988,0.0,-1.1782047469459087,False
NEW,CONTROL,full,2010-05-01,-1.5420048600000014,-3.5909951325702627,-1.4722388788730667,-5.66628491492348,0.33232597369684536,False,-0.017478537907628988,0.0,-1.1784986071265102,False
NEW,CONTROL,full,2010-11-01,0.14917757999999837,-1.156124740923481,-1.862597815199174,-5.0806807020787215,-1.5569582187767717,False,-0.0026029444609070307,0.0,-1.3679599595533727,False
NEW,CONTROL,full,2011-05-01,-2.0065776500000023,-3.5761514356992707,-1.3073968925747304,-7.512633264615154,-0.06803500141500107,False,-0.0014343898388247123,0.0,-1.425779997866388,False
NEW,CONTROL,full,2011-11-01,-12.337990770000001,-8.96107471501657,-4.462198569308273,1.337062965637259,-0.035043807901469215,False,-0.0019462724395851172,0.0,-1.3060925315001866,False
NEW,CONTROL,full,2012-05-01,1.6298178900000015,-1.1585434584505006,4.73727746985213,-4.831935780331387,0.1984996200292355,False,0.013883848376156749,0.0,-1.0171502595935724,False
