candidate,control,group,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,min_ratio_delta,turnover_delta,negative_flips,forced_delta,identical_nav_paths,CAGR_positive,P_positive,track_a_pass
MID,CONTROL,full,0.0,-0.39484917032296396,-0.409529075454762,0.0,0.0,0.0,-0.0807323668566533,0,0.0,0,1,0,True
MID,CONTROL,A,0.0,-0.36199731937172075,0.0,0.0,0.0,0.0,-0.04991346672556363,0,0.0,0,1,0,
MID,CONTROL,U,0.0,-0.20432451868863666,0.0,0.0,0.0,0.0,-0.11619220682092646,0,0.0,0,3,0,
NEW,CONTROL,full,-2.648023335000005,-4.885303027902621,-1.6674183470361204,-1.4286950921488517,0.06394453974488123,-0.002274608450246074,-1.629515579616958,0,0.0,0,0,2,False
NEW,CONTROL,A,-14.537256035000002,-10.2810918135411,-9.265221111330979,-6.810272269447625,-2.1724175316194416,0.021977942368128778,-0.32226936577320586,0,0.0,0,0,0,
NEW,CONTROL,U,-17.57289387,-12.242137346288441,-12.087770989678193,4.338696032512207,4.338696032512207,-0.009881949875363949,0.22876984902736508,0,0.0,0,0,0,
NEW_ALIGNED,CONTROL,full,-1.3113490450000014,-4.087409203601055,-1.5152026692207832,-1.2297828621296025,0.03304273755339038,-0.0023409764070715378,-1.320741317951999,0,0.0,0,0,5,False
NEW_ALIGNED,CONTROL,A,-16.338001265000003,-12.055420958896667,-11.413424279131279,-1.2187894044751735,-0.8437798514717043,-0.0012979485394162271,-0.41730744373804773,2,0.0,0,0,0,
NEW_ALIGNED,CONTROL,U,-11.679249050000003,-8.944236741605259,-6.988263965328234,6.465975226649556,6.364381067542812,0.015792744563529082,-0.1376058692881288,0,0.0,0,0,0,
NEW,MID,full,-2.401587805000002,-4.7534659013725555,-1.5184446259629225,-1.4286950921488517,0.06394453974488123,-0.002274608450246074,-1.4980211082239938,0,0.0,0,0,2,False
NEW,MID,A,-13.460307454999995,-9.919732273401284,-9.265221111330979,-6.810272269447625,-2.1724175316194416,0.021977942368128778,-0.2551810706467026,0,0.0,0,0,0,
NEW,MID,U,-17.328794095,-12.123323757711201,-12.087770989678193,4.338696032512207,4.338696032512207,-0.009881949875363949,0.3446055080312229,0,0.0,0,0,0,
CONTROL,OLD,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,0,True
CONTROL,OLD,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,0,
CONTROL,OLD,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,0,
