date,security_code,side,shares,price,reason
2026-09-17,002714,sell,3200.0,41.28,换仓·减一档：让位给601838
2026-09-17,600970,buy,4100.0,7.68,定投加仓
2026-09-18,002714,sell,1700.0,41.35,换仓：让位给空间更大的601838
2026-09-18,600970,buy,11500.0,7.7,定投加仓
