date,position_and_action_difference,fill_price_difference,actual_unclassified_cost,shadow_modelled_cost,cost_difference,daily_shadow_minus_actual
2026-09-15,0.0,0.0,179.6700000002893,177.65729589051625,2.01270410977304,2.01270410977304
2026-09-16,0.0,0.0,179.69999999986612,177.6743315217609,2.025668478105217,2.025668478105217
2026-09-17,0.0,-255.99999999999454,273.6499999997104,263.58480878667615,10.065191213034268,-245.93480878695846
2026-09-18,-260.00000000000364,-49.99999999999386,229.5700000005345,220.71985574183782,8.850144258696673,-301.1498557412997
