security_code,shares,cost,stop,stop_ma
002648,16000.0,27.8155,24.16,60
000651,43000.0,39.1094,37.24,60
603529,29200.0,21.6142,20.76,60
600036,14700.0,40.4879,37.93,60
002128,4500.0,29.2831,26.23,60
601318,4900.0,54.8906,51.17,60
600970,95900.0,7.780784671532847,7.70383333,60
