group,bp,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,min_ratio_delta,negative_flips,forced_delta,identical_nav_paths,cagr_positive,track_a_pass
full,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,True
A,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,
U,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,
full,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,True
A,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,
U,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,
full,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,True
A,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,
U,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,
full,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,True
A,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,
U,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0,
