group,arm,version,metric,level,paired_delta
全样本,BASE,m1,年化,0.4577951197626996,0.0
全样本,BASE,m1,Sharpe,0.8720381680127058,0.0
全样本,BASE,m1,Calmar,0.6015862019196441,0.0
全样本,BASE,m1,滚动5年Sharpe中位,0.9748288418684901,0.0
全样本,BASE,m1,滚动3年Sharpe中位,0.9416851009355343,0.0
全样本,BASE,m1,滚动5年Calmar中位,1.06035846082976,0.0
全样本,BASE,m2,年化,0.45655756827395966,0.0
全样本,BASE,m2,Sharpe,0.9556917169411325,0.0
全样本,BASE,m2,Calmar,0.5999784210379602,0.0
全样本,BASE,m2,滚动5年Sharpe中位,1.026096436537976,0.0
全样本,BASE,m2,滚动3年Sharpe中位,1.010126381630187,0.0
全样本,BASE,m2,滚动5年Calmar中位,1.06035846082976,0.0
全样本,BUY2,m1,年化,0.43856872730432406,0.0202890626617801
全样本,BUY2,m1,Sharpe,0.8345276440790028,0.042395327026254204
全样本,BUY2,m1,Calmar,0.6007926949288986,0.0418029215782198
全样本,BUY2,m1,滚动5年Sharpe中位,0.9764132214998793,0.021560619999983766
全样本,BUY2,m1,滚动3年Sharpe中位,0.9410113179859185,0.04621853266752979
全样本,BUY2,m1,滚动5年Calmar中位,1.1396530538948204,0.09514917686644303
全样本,BUY2,m2,年化,0.4370513842306264,0.020206326375706296
全样本,BUY2,m2,Sharpe,0.9300713121166176,0.03409324592413343
全样本,BUY2,m2,Calmar,0.598040326332057,0.04162482570146048
全样本,BUY2,m2,滚动5年Sharpe中位,1.0317588087068095,0.021709443319340438
全样本,BUY2,m2,滚动3年Sharpe中位,1.0039257547373541,0.024596372224267915
全样本,BUY2,m2,滚动5年Calmar中位,1.1396530538948204,0.09514917686644303
全样本,SB1_BUY2,m1,年化,0.4728390226467858,0.04057615563233241
全样本,SB1_BUY2,m1,Sharpe,0.902119335093033,0.07633693391607577
全样本,SB1_BUY2,m1,Calmar,0.645637749988409,0.05820231489183758
全样本,SB1_BUY2,m1,滚动5年Sharpe中位,1.0165416928276414,0.07191102266167426
全样本,SB1_BUY2,m1,滚动3年Sharpe中位,1.0094771866196726,0.05889316102084513
全样本,SB1_BUY2,m1,滚动5年Calmar中位,1.1394346738979098,0.12069746735632775
全样本,SB1_BUY2,m2,年化,0.4710303692638298,0.04036916808493818
全样本,SB1_BUY2,m2,Sharpe,0.9765342584904165,0.05483604334667719
全样本,SB1_BUY2,m2,Calmar,0.6431223146553873,0.057978099452525494
全样本,SB1_BUY2,m2,滚动5年Sharpe中位,1.0581232387797672,0.048405047311393945
全样本,SB1_BUY2,m2,滚动3年Sharpe中位,1.0321059412734983,0.034138326473927394
全样本,SB1_BUY2,m2,滚动5年Calmar中位,1.1394346738979098,0.12069746735632775
剔除集A,BASE,m1,年化,0.4554906946063302,0.0
剔除集A,BASE,m1,Sharpe,1.0118136393496229,0.0
剔除集A,BASE,m1,Calmar,0.6769979838789255,0.0
剔除集A,BASE,m1,滚动5年Sharpe中位,0.9867498144494007,0.0
剔除集A,BASE,m1,滚动3年Sharpe中位,1.027534552173371,0.0
剔除集A,BASE,m1,滚动5年Calmar中位,0.8079992564951128,0.0
剔除集A,BASE,m2,年化,0.45401450139999744,0.0
剔除集A,BASE,m2,Sharpe,1.0370962320141566,0.0
剔除集A,BASE,m2,Calmar,0.6747463985677112,0.0
剔除集A,BASE,m2,滚动5年Sharpe中位,1.01676057590887,0.0
剔除集A,BASE,m2,滚动3年Sharpe中位,1.0506377202057893,0.0
剔除集A,BASE,m2,滚动5年Calmar中位,0.8079992564951128,0.0
剔除集A,BUY2,m1,年化,0.46239015792501026,0.002238183114422032
剔除集A,BUY2,m1,Sharpe,1.011174760088228,0.0038090938452350898
剔除集A,BUY2,m1,Calmar,0.6885896633764736,-0.007578497611595236
剔除集A,BUY2,m1,滚动5年Sharpe中位,0.9949316609341616,0.031943628325793116
剔除集A,BUY2,m1,滚动3年Sharpe中位,1.0326674986834368,0.012989517846321241
剔除集A,BUY2,m1,滚动5年Calmar中位,0.8372392435081506,0.025511405913789253
剔除集A,BUY2,m2,年化,0.4608598384189164,0.002229387970140828
剔除集A,BUY2,m2,Sharpe,1.0340715890982652,0.003533352651587607
剔除集A,BUY2,m2,Calmar,0.6863649108417684,-0.007537403124465408
剔除集A,BUY2,m2,滚动5年Sharpe中位,1.02224182660161,0.018404381584950835
剔除集A,BUY2,m2,滚动3年Sharpe中位,1.0409303177516642,0.003757662082719271
剔除集A,BUY2,m2,滚动5年Calmar中位,0.8372392435081506,0.025511405913789253
剔除集A,SB1_BUY2,m1,年化,0.44979877364670606,-0.0036345281137134533
剔除集A,SB1_BUY2,m1,Sharpe,0.9866294319936955,-0.008502756990355964
剔除集A,SB1_BUY2,m1,Calmar,0.6978934337507567,-0.01489265604019585
剔除集A,SB1_BUY2,m1,滚动5年Sharpe中位,0.950184160203482,-0.0004699797186912269
剔除集A,SB1_BUY2,m1,滚动3年Sharpe中位,1.0361509170481331,-0.004025181260221722
剔除集A,SB1_BUY2,m1,滚动5年Calmar中位,0.7743611103837614,0.007736547351381962
剔除集A,SB1_BUY2,m2,年化,0.4484330351698611,-0.003619952993067055
