ticker,exchange,symbol,first,last,bars
CHRW,Nasdaq,usCHRW.OQ,2009-09-16,2026-09-04,4263
CHSCP,Nasdaq,usCHSCP.OQ,2011-01-26,2026-09-04,3896
CHTR,Nasdaq,usCHTR.OQ,2011-01-26,2026-09-04,3924
CL,NYSE,usCL.N,2007-03-19,2026-09-04,4902
CLF,NYSE,usCLF.N,2007-09-14,2026-09-04,4766
CLX,NYSE,usCLX.N,2009-09-16,2026-09-04,4263
CMC,NYSE,usCMC.N,2007-09-17,2026-09-04,4765
CMCSA,,usCMCSA.OQ,2007-03-19,2026-09-04,4898
CMI,NYSE,usCMI.N,2007-09-17,2026-09-04,4765
CMS,NYSE,usCMS.N,2009-09-16,2026-09-04,4263
CNDT,Nasdaq,usCNDT.OQ,2019-12-23,2026-09-04,1684
CNH,NYSE,usCNH.N,2013-10-16,2026-09-04,3240
CNP,,usCNP.N,2007-09-17,2026-09-04,4765
CNX,NYSE,usCNX.N,2007-09-17,2026-09-04,4765
COP,NYSE,usCOP.N,2007-03-19,2026-09-04,4898
COR,NYSE,usCOR.N,2023-08-30,2026-09-04,757
CORE,,usCORE.OQ,2009-09-16,2021-09-01,3006
COST,Nasdaq,usCOST.OQ,2009-09-16,2026-09-04,4263
COTY,NYSE,usCOTY.N,2013-07-25,2026-09-04,3298
COV,,usCOV.N,2007-06-21,2015-01-26,1912
CPB,Nasdaq,usCPB.OQ,2007-03-19,2026-09-04,4898
CQP,NYSE,usCQP.N,2007-03-21,2026-09-04,4896
CRM,NYSE,usCRM.N,2007-09-17,2010-11-02,784
CSCO,Nasdaq,usCSCO.OQ,2007-03-19,2010-11-02,917
CVS,NYSE,usCVS.N,2007-03-19,2026-09-04,4896
DD,NYSE,usDD.N,2020-06-08,2026-09-04,1570
DDS,NYSE,usDDS.N,2007-09-17,2026-09-04,4765
DE,NYSE,usDE.N,2007-09-17,2026-09-04,4765
DELL,NYSE,usDELL.N,2018-12-28,2026-09-04,1932
DF,,usDF.N,2007-09-17,2019-11-11,3053
DG,NYSE,usDG.N,2010-04-13,2026-09-04,4122
DGX,NYSE,usDGX.N,2007-09-17,2026-09-04,4765
