group,bp,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,min_ratio_delta,negative_flips,forced_delta,identical_nav_paths,cagr_positive,track_a_pass
full,0,0.6063827850000064,0.6938732712921669,0.7279315584315826,-0.362452040316108,-0.05232745643505288,0.0007302954419255991,0,0.0,0,10,True
A,0,0.0020221300000011766,0.20846135291038292,-0.12246287236984399,-0.005191454695391284,-0.013698169171694197,0.010249983222814896,0,0.0,0,10,
U,0,0.0020221300000011766,0.20846135291038292,-0.12246287236984399,-0.005191454695391284,-0.013698169171694197,0.010249983222814896,0,0.0,0,10,
full,10,-1.1545794600000048,-0.7283353184467267,-0.66986843041561,-0.17397016910095098,-0.09084224651213502,0.0013640175350753125,1,0.0,0,4,False
A,10,0.2974051749999984,0.6220355293698576,0.1005330202453747,-0.07668067745554286,-0.10537387390649466,-3.8858657378293415e-05,0,0.0,0,8,
U,10,0.2974051749999984,0.6220355293698576,0.1005330202453747,-0.07668067745554286,-0.10537387390649466,-3.8858657378293415e-05,0,0.0,0,8,
full,20,-2.391099044999997,-1.9507420434844436,-1.7319507726236694,0.5757261931558011,-0.008866800002826913,-0.0011579739341259776,0,0.0,0,6,False
A,20,0.008981690000003928,0.4821749460107605,0.37721837409171455,-0.007974596148990765,-0.008542232568814478,-0.00043213688752752333,0,0.0,0,11,
U,20,0.008981690000003928,0.4821749460107605,0.37721837409171455,-0.007974596148990765,-0.008542232568814478,-0.00043213688752752333,0,0.0,0,11,
full,30,1.8955899100000035,1.821583793446302,1.117800472629793,0.10345299409178499,-0.0058252905028644,-0.0010041139763704576,1,0.0,0,9,True
A,30,-0.3169473100000014,0.12636984809931695,-0.5271771891553256,-0.001490893948147276,0.2265820957618292,0.0001020432152554207,1,0.0,0,7,
U,30,-0.3169473100000014,0.12636984809931695,-0.5271771891553256,-0.001490893948147276,0.2265820957618292,0.0001020432152554207,1,0.0,0,7,
