group,arm,start,end,cagr,cagr_delta_pp,mdd,mdd_delta_pp
full,BASE,2009-11-01,2026-08-28,0.3171902906642554,0.0,0.6752545571565589,0.0
full,BASE,2011-11-01,2026-08-28,0.3323652934000796,0.0,0.71431234384065,0.0
full,BL05000OP09,2009-11-01,2026-08-28,0.12066389935215427,-19.652639131210115,0.5102721345539643,-16.498242260259467
full,BL05000OP09,2011-11-01,2026-08-28,0.13798696350396455,-19.437832989611504,0.5102721345539643,-20.404020928668576
full,BL06000OP09,2009-11-01,2026-08-28,0.2366125925972249,-8.057769806703053,0.49871471893918784,-17.653983821737107
full,BL06000OP09,2011-11-01,2026-08-28,0.27248599472780066,-5.9879298672278924,0.49871471893918784,-21.559762490146216
full,BL07000OP09,2009-11-01,2026-08-28,0.2868539020602241,-3.0336388604031317,0.5492992974233395,-12.59552597332194
full,BL07000OP09,2011-11-01,2026-08-28,0.3313046704102549,-0.10606229898246777,0.5492992974233395,-16.501304641731053
full,BL07500OP09,2009-11-01,2026-08-28,0.34530223643917757,2.8111945774922154,0.543706711887427,-13.154784526913188
full,BL07500OP09,2011-11-01,2026-08-28,0.4001210192188158,6.775572581873623,0.543706711887427,-17.0605631953223
full,BL08000OP09,2009-11-01,2026-08-28,0.3038128134537974,-1.337747721045801,0.6423685610586038,-3.288599609795506
full,BL08000OP09,2011-11-01,2026-08-28,0.3512293869202634,1.8864093520183811,0.6423685610586038,-7.194378278204616
full,BL08500OP09,2009-11-01,2026-08-28,0.27949432325910095,-3.7695967405154462,0.5918922186768931,-8.336233847966579
full,BL08500OP09,2011-11-01,2026-08-28,0.3226690030173285,-0.9696290382751105,0.5918922186768931,-12.242012516375688
full,BL09000OP09,2009-11-01,2026-08-28,0.3030499802339832,-1.4140310430272196,0.6727425502931008,-0.2512006863458094
full,BL09000OP09,2011-11-01,2026-08-28,0.42556021014988077,9.319491674980117,0.6705574219818773,-4.375492185877272
full,BL09100OP09,2009-11-01,2026-08-28,0.3782317083108264,6.104141764657101,0.669348422065088,-0.5906135091470865
full,BL09100OP09,2011-11-01,2026-08-28,0.3785611077584432,4.619581435836362,0.6998140190753207,-1.4498324765329307
full,BL09200OP09,2009-11-01,2026-08-28,0.2785801461291033,-3.86101445351521,0.6746884796030701,-0.05660775534888085
full,BL09200OP09,2011-11-01,2026-08-28,0.4371181541610536,10.475286076097401,0.6615213542074954,-5.279098963315465
full,BL09300OP09,2009-11-01,2026-08-28,0.3225573818406433,0.5367091176387895,0.7032565619423327,2.800200478577375
full,BL09300OP09,2011-11-01,2026-08-28,0.3463389553311689,1.3973661931089287,0.6788685998566467,-3.5443743984003295
full,BL09400OP09,2009-11-01,2026-08-28,0.3624159015267978,4.52256108625424,0.6551481112684445,-2.010644588811439
full,BL09400OP09,2011-11-01,2026-08-28,0.340559187509919,0.8193894109839395,0.698050132275555,-1.6262211565094997
full,BL09500OP09,2009-11-01,2026-08-28,0.3650086146516831,4.781832398742769,0.6550275375732036,-2.0227019583355266
full,BL09500OP09,2011-11-01,2026-08-28,0.3341014288233368,0.17361354232572346,0.6629677575534481,-5.134458628720195
full,BL09600OP09,2009-11-01,2026-08-28,0.29221123583960007,-2.4979054824655345,0.7375856580068573,6.2331100850298355
full,BL09600OP09,2011-11-01,2026-08-28,0.35324509237223567,2.0879798972156083,0.7219852044811361,0.7672860640486112
full,BL09700OP09,2009-11-01,2026-08-28,0.2956929941843329,-2.149729647992249,0.7238161911502117,4.856163399365276
full,BL09700OP09,2011-11-01,2026-08-28,0.3453036544490007,1.2938361048921099,0.7330126940154099,1.8700350174759905
full,BL09800OP09,2009-11-01,2026-08-28,0.3530228659705468,3.583257530629136,0.6544781994469304,-2.077635770962849
full,BL09800OP09,2011-11-01,2026-08-28,0.42700614927124625,9.464085587116667,0.6427869983591759,-7.152534548147416
full,BL09900OP09,2009-11-01,2026-08-28,0.3055497814297514,-1.1640509234503993,0.6844216217420832,0.9167064585524298
full,BL09900OP09,2011-11-01,2026-08-28,0.3204608722332709,-1.1904421166808676,0.7331668479359814,1.8854504095331404
full,BL10000OP09,2009-11-01,2026-08-28,0.38517120936811144,6.798091870385603,0.6505034421200909,-2.4751115036467985
full,BL10000OP09,2011-11-01,2026-08-28,0.39343879758122835,6.107350418114876,0.7206815677205667,0.6369223879916674
full,BL10100OP09,2009-11-01,2026-08-28,0.29499265021508014,-2.219764044917527,0.7018422609315886,2.6587703775029725
full,BL10100OP09,2011-11-01,2026-08-28,0.3855562218914952,5.31909284914156,0.7173786071918905,0.30662633512404947
full,BL10200OP09,2009-11-01,2026-08-28,0.3372497168293449,2.005942616508949,0.6932820539765293,1.80274968199704
full,BL10200OP09,2011-11-01,2026-08-28,0.428504091341249,9.613879794116942,0.6901630596268113,-2.414928421383866
full,BL10300OP09,2009-11-01,2026-08-28,0.3057901495084101,-1.1400141155845311,0.6989674281813614,2.371287102480246
full,BL10300OP09,2011-11-01,2026-08-28,0.32613204855372846,-0.6233244846351127,0.723404269196719,0.9091925356068953
full,BL10400OP09,2009-11-01,2026-08-28,0.38609412389832176,6.890383323406635,0.6531902884176917,-2.2064268738867243
full,BL10400OP09,2011-11-01,2026-08-28,0.4178485188498544,8.548322544977482,0.7016548031537676,-1.2657540686882407
full,BL10414OP09,2009-11-01,2026-08-28,0.3751727419201927,5.798245125593726,0.6531902884176917,-2.2064268738867243
full,BL10414OP09,2011-11-01,2026-08-28,0.32746931343949903,-0.48959799605805543,0.7036688066857322,-1.0643537154917837
full,BL10500OP09,2009-11-01,2026-08-28,0.32098249527444,0.3792204610184591,0.6753300989326319,0.007554177607294044
full,BL10500OP09,2011-11-01,2026-08-28,0.3252398600527422,-0.7125433347337395,0.7243129303253637,1.0000586484713692
full,BL10600OP09,2009-11-01,2026-08-28,0.29841054541694856,-1.8779745247306856,0.6704836419433433,-0.47709152132155985
full,BL10600OP09,2011-11-01,2026-08-28,0.4061513600848057,7.378606668472609,0.7192026490925745,0.4890305251924465
full,BL10700OP09,2009-11-01,2026-08-28,0.308570955067222,-0.8619335597033428,0.6568938583913977,-1.836069876516122
full,BL10700OP09,2011-11-01,2026-08-28,0.39289978669807857,6.053449329799898,0.6549454469065765,-5.936689693407349
full,BL10800OP09,2009-11-01,2026-08-28,0.37274660864765097,5.555631798339555,0.7011070404147557,2.585248325819678
full,BL10800OP09,2011-11-01,2026-08-28,0.4010837209349294,6.87184275348498,0.6735755268193446,-4.073681702130538
full,BL10900OP09,2009-11-01,2026-08-28,0.40084285106409,8.36525603998346,0.6528118950715341,-2.2442662085024767
full,BL10900OP09,2011-11-01,2026-08-28,0.32246752868635054,-0.9897764713729051,0.7329885659198112,1.8676222079161198
full,BL11000OP09,2009-11-01,2026-08-28,0.3491452749911088,3.1954984326853397,0.6871320624154932,1.1877505258934273
full,BL11000OP09,2011-11-01,2026-08-28,0.32079069139023764,-1.157460200984195,0.7121552836104142,-0.21570602302357633
full,BL11100OP09,2009-11-01,2026-08-28,0.3738848042415084,5.669451357725297,0.6512074791796028,-2.4047077976956155
full,BL11100OP09,2011-11-01,2026-08-28,0.3285786842839986,-0.37866091160809745,0.6931135780300968,-2.1198765810553244
full,BL11200OP09,2009-11-01,2026-08-28,0.356864491223317,3.9674200559061568,0.6521124742214999,-2.314208293505904
full,BL11200OP09,2011-11-01,2026-08-28,0.3904556303941491,5.809033699406951,0.670436932598691,-4.387541124195904
full,BL11300OP09,2009-11-01,2026-08-28,0.3552279866853234,3.803769602106799,0.6667016639148282,-0.8552893241730697
full,BL11300OP09,2011-11-01,2026-08-28,0.2849926054227354,-4.7372687977344174,0.7304631491606005,1.61508053199505
full,BL11400OP09,2009-11-01,2026-08-28,0.37092638985420145,5.373609918994604,0.6529906922600612,-2.2263864896497676
full,BL11400OP09,2011-11-01,2026-08-28,0.38312431238095246,5.075901898087287,0.6558286370299689,-5.848370681068116
full,BL11500OP09,2009-11-01,2026-08-28,0.39204945422038895,7.4859163556133534,0.6526362847539322,-2.2618272402626705
full,BL11500OP09,2011-11-01,2026-08-28,0.4199326225261306,8.756732912605102,0.664666839309136,-4.964550453151406
full,BL11600OP09,2009-11-01,2026-08-28,0.3748048377764992,5.761454711224379,0.6535528544395373,-2.1701702717021654
full,BL11600OP09,2011-11-01,2026-08-28,0.3701833667852823,3.781807338520271,0.7218475892155007,0.753524537485073
full,BL11700OP09,2009-11-01,2026-08-28,0.3694066361889299,5.221634552467447,0.692311599536551,1.705704237999206
full,BL11700OP09,2011-11-01,2026-08-28,0.41202015455353025,7.965486115345066,0.6525031311262914,-6.1809212714358575
full,BL11800OP09,2009-11-01,2026-08-28,0.3802552198730198,6.306492920876439,0.6435545833725084,-3.169997378405054
full,BL11800OP09,2011-11-01,2026-08-28,0.3773006804070498,4.4935387006970196,0.6549687681663603,-5.934357567428972
full,BL11900OP09,2009-11-01,2026-08-28,0.34436240264520457,2.7172111980949154,0.6638161674356575,-1.1438389720901387
full,BL11900OP09,2011-11-01,2026-08-28,0.37258783238523363,4.022253898515404,0.7113541704556553,-0.2958173384994711
full,BL12000OP09,2009-11-01,2026-08-28,0.3668516477450172,4.96613570807618,0.6584973181701611,-1.6757238986397804
full,BL12000OP09,2011-11-01,2026-08-28,0.3991379899624288,6.677269656234919,0.6423296653597513,-7.198267848089868
full,BL12500OP09,2009-11-01,2026-08-28,0.35200482418442003,3.4814533520164614,0.6821055339229068,0.6850976766347938
full,BL12500OP09,2011-11-01,2026-08-28,0.4098449558848576,7.7479662484778,0.6504937162316828,-6.381862760896717
full,BL13000OP09,2009-11-01,2026-08-28,0.3308793501180103,1.368905945375487,0.6701729178046467,-0.5081639351912193
full,BL13000OP09,2011-11-01,2026-08-28,0.4196972368204208,8.733194342034123,0.6495985880779636,-6.471375576268645
full,BL14000OP09,2009-11-01,2026-08-28,0.3532294839214263,3.6039193257170865,0.6948881875103421,1.9633630353783182
full,BL14000OP09,2011-11-01,2026-08-28,0.337753523795169,0.53882303950894,0.6951002788714908,-1.921206496915917
full,BL15000OP09,2009-11-01,2026-08-28,0.3454488178933399,2.8258527229084507,0.6857976803632826,1.0543123206723681
full,BL15000OP09,2011-11-01,2026-08-28,0.37863424796759526,4.626895456751567,0.7042491835521842,-1.0063160288465767
full,BL17500OP09,2009-11-01,2026-08-28,0.35598891719130377,3.879862652704835,0.6817357332867202,0.6481176130161304
full,BL17500OP09,2011-11-01,2026-08-28,0.3546727807236576,2.2307487323578012,0.706831700320224,-0.7480643520425989
full,BL20000OP09,2009-11-01,2026-08-28,0.37976404996072777,6.257375929647235,0.6506426488639817,-2.46119082925772
full,BL20000OP09,2011-11-01,2026-08-28,0.35673729096795115,2.437199756787156,0.6979214220493225,-1.6390921791327506
full,BL30000OP09,2009-11-01,2026-08-28,0.3919605664738992,7.477027580964379,0.6768835681095038,0.1629010952944876
full,BL30000OP09,2011-11-01,2026-08-28,0.3911869835816695,5.882169018158989,0.6506905660872415,-6.362177775340849
full,BLNONEOP09,2009-11-01,2026-08-28,0.3671594773545015,4.996918669024608,0.6486782634830223,-2.6576293673536644
full,BLNONEOP09,2011-11-01,2026-08-28,0.37640561277067874,4.404031937059916,0.6645939597022168,-4.971838413843321
A,BASE,2009-11-01,2026-08-28,0.32484186578832164,0.0,0.7283832305792164,0.0
A,BASE,2011-11-01,2026-08-28,0.4343883464327476,0.0,0.6522482767560946,0.0
A,BL05000OP09,2009-11-01,2026-08-28,0.09905699420542557,-22.578487158289605,0.45117719397108713,-27.720603660812927
A,BL05000OP09,2011-11-01,2026-08-28,0.11312419663716011,-32.126414979558746,0.45117719397108713,-20.107108278500753
A,BL06000OP09,2009-11-01,2026-08-28,0.2102706260479983,-11.457123974032335,0.4861794727042046,-24.22037578750118
A,BL06000OP09,2011-11-01,2026-08-28,0.24177438051174693,-19.261396592100066,0.4861794727042046,-16.606880405189006
A,BL07000OP09,2009-11-01,2026-08-28,0.2663169973400161,-5.852486844830551,0.5153871427073478,-21.299608787186862
A,BL07000OP09,2011-11-01,2026-08-28,0.30722356492448344,-12.716478150826415,0.5153871427073478,-13.686113404874689
A,BL07500OP09,2009-11-01,2026-08-28,0.3299453673856365,0.5103501597314875,0.5672658845823455,-16.11173459968709
A,BL07500OP09,2011-11-01,2026-08-28,0.38200029074160446,-5.238805569114313,0.5672658845823455,-8.498239217374914
A,BL08000OP09,2009-11-01,2026-08-28,0.36419463759779847,3.9352771809476828,0.5881569073718638,-14.022632320735262
A,BL08000OP09,2011-11-01,2026-08-28,0.42245179959646406,-1.1936546836283535,0.5881569073718638,-6.409136938423088
A,BL08500OP09,2009-11-01,2026-08-28,0.35555965085894115,3.0717785070619508,0.5395698624224368,-18.88133681567796
A,BL08500OP09,2011-11-01,2026-08-28,0.4122400606060639,-2.214828582668371,0.5395698624224368,-11.267841433365788
A,BL09000OP09,2009-11-01,2026-08-28,0.3718783563461785,4.703649055785686,0.6014093417505503,-12.697388882866612
A,BL09000OP09,2011-11-01,2026-08-28,0.4315458913871648,-0.28424550455827813,0.6014093417505503,-5.083893500554437
A,BL09100OP09,2009-11-01,2026-08-28,0.3588551383173968,3.4013272529075156,0.6714491466540624,-5.693408392515398
A,BL09100OP09,2011-11-01,2026-08-28,0.41613627501256945,-1.825207142017815,0.6714491466540624,1.9200869897967765
