group,arm,metric,level_median,paired_delta_median,positive_starts,better_starts
full,BL06000OP09,Calmar,0.5549856097239624,-0.07991177196229077,4,4
full,BL06000OP09,平均仓位,1.1122348382612737,-0.5379460299292205,0,14
full,BL06000OP09,年均换手,3.610146143099407,-3.005737494618751,0,14
full,BL06000OP09,持仓数中位,3.0,-4.0,0,
full,BL06000OP09,单票权重中位,0.6609751248642023,0.011196994066063615,11,
full,BL06000OP09,单票权重P90,0.7688111109801212,-0.09867870386303518,0,
full,BL06000OP09,单票权重最大,0.8569245618298131,-0.18461480793291818,0,
full,BL06000OP09,前三权重中位,1.2590499124808099,-0.1987947844350615,0,
full,BL06000OP09,单票超60%天数占比,0.8087750272801952,0.02222457977366077,10,
full,BL06000OP09,滚动3年年化中位,0.2162763442703456,-0.2773168565559737,0,0
full,BL06000OP09,滚动3年回撤中位,0.42931451008816557,-0.033054222545788325,6,8
full,BL06000OP09,滚动3年Calmar中位,0.5731791566415848,-0.6440829847543097,0,
full,BL06000OP09,滚动3年Sharpe中位,0.6488361398173033,-0.3810511049203734,0,
full,BL06000OP09,滚动3年为负的窗口占比,0.04081996434937611,0.01903531438415159,10,
full,BL06000OP09,滚动5年年化中位,0.27988096402063145,-0.25032556240407244,0,0
full,BL06000OP09,滚动5年年化P25,0.1802332059208409,-0.21140939443153595,0,0
full,BL06000OP09,滚动5年年化最差,-0.0027062876619108334,-0.1353532769787399,4,4
full,BL06000OP09,滚动5年回撤中位,0.4985114752112635,0.0007387310816108772,7,7
full,BL06000OP09,滚动5年Calmar中位,0.5762371982378369,-0.5494434947213269,0,0
full,BL06000OP09,滚动5年Sharpe中位,0.7278440173423966,-0.3156286888320557,0,0
full,BL06000OP09,滚动5年为负的窗口占比,0.008338544923910778,0.004273504273504274,7,4
full,BL06000OP09,滚动5年窗口数,102.0,0.0,0,
full,BL06000OP09,互不重叠5年块中位,0.3357435381533621,-0.31709998783865756,0,0
full,BL06000OP09,滚动10年年化中位,0.23670484444101692,-0.21613577517018645,0,
full,BL06000OP09,滚动10年窗口数,42.0,0.0,0,
full,BL06000OP09,逐年收益中位,0.29757499573823976,-0.0887033700674551,0,0
full,BL06000OP09,逐年为正比例,0.6961538461538461,-0.08712121212121215,0,
full,BL06000OP09,逐年最差,-0.24729571142574003,0.008377007610259002,7,7
full,BL06000OP09,完整自然年数,12.5,0.0,0,
full,BL06000OP09,强平次数,0.0,0.0,0,
full,BL06000OP09,最低担保比例,2.0637193861933594,0.27778465265764396,14,
full,BL06000OP09,最低股票同跌缓冲,0.3700693957244257,0.09796341513305262,14,
full,BL06000OP09,最低总资产冲击缓冲,0.37006939572442576,0.09796341513305257,14,
full,BL06000OP09,rf覆盖率,1.0,0.0,0,
full,BL06000OP09,年化_交易日口径,0.2809390908911302,-0.17562656908575625,0,
full,BL06000OP09,最低担保比例日,20200203.0,49378.0,9,
full,BL06000OP09,最低股票同跌缓冲日,20200203.0,49378.0,9,
full,BL06000OP09,滚动5年年化最差窗口末日,20200430.0,9650.5,8,
full,BL06000OP09,最大回撤起日,20200103.0,49491.0,10,
full,BL06000OP09,最大回撤止日,20200323.0,39751.5,12,
full,BL06000OP09,末次净值日,20260828.0,0.0,0,
full,BL07000OP09,年化,0.3508220016878172,-0.10566915032388502,1,1
full,BL07000OP09,最大回撤,0.5492992974233395,-0.1057362155902351,0,14
full,BL07000OP09,Sharpe,0.8399584937055684,-0.09525154943619013,2,2
full,BL07000OP09,Calmar,0.6163855568175434,-0.027764370302424957,5,5
full,BL07000OP09,平均仓位,1.3967924853978149,-0.2631525968431454,0,14
full,BL07000OP09,年均换手,4.613927291376646,-2.030270557813836,0,14
full,BL07000OP09,持仓数中位,4.0,-3.0,0,
full,BL07000OP09,单票权重中位,0.630956947362752,-0.019267939733658535,0,
full,BL07000OP09,单票权重P90,0.7538390724216313,-0.0995592309481092,0,
full,BL07000OP09,单票权重最大,0.9018942725002823,-0.14711819725396408,0,
full,BL07000OP09,前三权重中位,1.4423246126546012,-0.012548240841039893,3,
full,BL07000OP09,单票超60%天数占比,0.7741037567564926,-0.0066955474507187085,5,
full,BL07000OP09,滚动3年年化中位,0.38074675305717975,-0.1312616001341449,0,0
