arm,buy_line,group,exclusion_group,start,end,cagr,base_cagr,delta_pp
BASE,1.0454,full,full,2009-11-01,2026-08-28,0.3171902906642554,0.3171902906642554,0.0
BASE,1.0454,full,full,2010-05-01,2026-08-28,0.42150631552147355,0.42150631552147355,0.0
BASE,1.0454,full,full,2010-11-01,2026-08-28,0.34762338931737813,0.34762338931737813,0.0
BASE,1.0454,full,full,2011-05-01,2026-08-28,0.31325227361749697,0.31325227361749697,0.0
BASE,1.0454,full,full,2011-11-01,2026-08-28,0.3323652934000796,0.3323652934000796,0.0
BASE,1.0454,full,full,2012-05-01,2026-08-28,0.39847921911522177,0.39847921911522177,0.0
BASE,1.0454,full,full,2012-11-01,2026-08-28,0.5003010251284332,0.5003010251284332,0.0
BASE,1.0454,full,full,2013-05-01,2026-08-28,0.4931181239971951,0.4931181239971951,0.0
BASE,1.0454,full,full,2013-11-01,2026-08-28,0.41697297508389597,0.41697297508389597,0.0
BASE,1.0454,full,full,2014-05-01,2026-08-28,0.4929665032489996,0.4929665032489996,0.0
BASE,1.0454,full,full,2014-11-01,2026-08-28,0.5279156947520107,0.5279156947520107,0.0
BASE,1.0454,full,full,2015-05-01,2026-08-28,0.4970778116275161,0.4970778116275161,0.0
BASE,1.0454,full,full,2015-11-01,2026-08-28,0.5936193389038193,0.5936193389038193,0.0
BASE,1.0454,full,full,2016-05-01,2026-08-28,0.7061667460063654,0.7061667460063654,0.0
BASE,1.0454,A,A,2009-11-01,2026-08-28,0.32484186578832164,0.32484186578832164,0.0
BASE,1.0454,A,A,2010-05-01,2026-08-28,0.3577877601083479,0.3577877601083479,0.0
BASE,1.0454,A,A,2010-11-01,2026-08-28,0.39384145779326096,0.39384145779326096,0.0
BASE,1.0454,A,A,2011-05-01,2026-08-28,0.4595414701476832,0.4595414701476832,0.0
BASE,1.0454,A,A,2011-11-01,2026-08-28,0.4343883464327476,0.4343883464327476,0.0
BASE,1.0454,A,A,2012-05-01,2026-08-28,0.44367740634309305,0.44367740634309305,0.0
BASE,1.0454,A,A,2012-11-01,2026-08-28,0.5076581123683039,0.5076581123683039,0.0
BASE,1.0454,A,A,2013-05-01,2026-08-28,0.5273589932880105,0.5273589932880105,0.0
BASE,1.0454,A,A,2013-11-01,2026-08-28,0.5092937156190205,0.5092937156190205,0.0
BASE,1.0454,A,A,2014-05-01,2026-08-28,0.5759327684444389,0.5759327684444389,0.0
BASE,1.0454,A,A,2014-11-01,2026-08-28,0.5567072004372051,0.5567072004372051,0.0
BASE,1.0454,A,A,2015-05-01,2026-08-28,0.470629288674965,0.470629288674965,0.0
BASE,1.0454,A,A,2015-11-01,2026-08-28,0.5189473402580713,0.5189473402580713,0.0
BASE,1.0454,A,A,2016-05-01,2026-08-28,0.6848724220753288,0.6848724220753288,0.0
