security_code,security_name,period,check,severity,detail,suggest_bps
000938,紫光股份,2024-09-30,ROE自洽,可疑,隐含ROE 11.71% vs 自报 4.92%（比值 2.38×，取自洽侧 重述口径（÷后续送转））；bps=4.7240 归母=15.82亿 EPS=0.553 当期股本=28.60亿,11.2398
000938,紫光股份,2024-12-31,ROE自洽,可疑,隐含ROE 11.79% vs 自报 5.80%（比值 2.03×，取自洽侧 重述口径（÷后续送转））；bps=4.6615 归母=15.72亿 EPS=0.5498 当期股本=28.60亿,9.4793
