security_code,security_name,report_date,available_at,base_path,BASE:status,BASE:intrinsic_value,BASE:reinvestment_rate,BASE:g0,BASE:roic_g_source,BASE:wc_first_period,BASE:wc_last_period,BASE:wc_start,BASE:wc_end,BASE:wc_change,BASE:wc_financing_start,BASE:wc_financing_end,BASE:wc_conflict_years,WCREP:status,WCREP:intrinsic_value,WCREP:reinvestment_rate,WCREP:g0,WCREP:roic_g_source,WCREP:wc_first_period,WCREP:wc_last_period,WCREP:wc_start,WCREP:wc_end,WCREP:wc_change,WCREP:wc_financing_start,WCREP:wc_financing_end,WCREP:wc_conflict_years,WCOP:status,WCOP:intrinsic_value,WCOP:reinvestment_rate,WCOP:g0,WCOP:roic_g_source,WCOP:wc_first_period,WCOP:wc_last_period,WCOP:wc_start,WCOP:wc_end,WCOP:wc_change,WCOP:wc_financing_start,WCOP:wc_financing_end,WCOP:wc_conflict_years,WCREP_vs_BASE,WCOP_vs_BASE,WCOP_vs_WCREP
000786,北新建材,2026-06-30,2026-08-21,growth,ok,24.7316,-0.0221,0.0000,none,2021-12-31,2025-12-31,2927820763.1600,1525970538.4500,-1401850224.7100,344060284.5900,786469217.9800,0,ok,24.7316,0.0258,0.0000,none,2021-12-31,2025-12-31,2653270721.5400,1909931497.4400,-743339224.1000,344060284.5900,786469217.9800,0,ok,24.7316,0.0580,0.0000,none,2021-12-31,2025-12-31,2997331006.1300,2696400715.4200,-300930290.7100,344060284.5900,786469217.9800,0,0.0,0.0,0.0
000792,盐湖股份,2026-06-30,2026-08-26,growth,ok,22.5105,-0.0817,0.0000,none,2021-12-31,2025-12-31,4168312845.8600,-402310631.1600,-4570623477.0200,95232026.4400,33908343.8800,0,ok,22.5105,-0.0197,0.0000,none,2021-12-31,2025-12-31,2030572022.2700,49049320.0500,-1981522702.2200,95232026.4400,33908343.8800,0,ok,22.5105,-0.0211,0.0000,none,2021-12-31,2025-12-31,2125804048.7100,82957663.9300,-2042846384.7800,95232026.4400,33908343.8800,0,0.0,0.0,0.0
000858,五粮液,2026-06-30,2026-08-29,growth,ok,77.4985,-0.4142,0.0000,none,2021-12-31,2025-12-31,27908275846.1100,-19314167804.7800,-47222443650.8900,1641509588.6900,9401640775.7400,0,ok,77.4985,-0.1450,0.0000,none,2021-12-31,2025-12-31,10260626230.6400,-9469919256.5500,-19730545487.1900,1641509588.6900,9401640775.7400,0,ok,77.4985,-0.0690,0.0000,none,2021-12-31,2025-12-31,11902135819.3300,-68278480.8100,-11970414300.1400,1641509588.6900,9401640775.7400,0,0.0,0.0,0.0
000893,亚钾国际,2026-06-30,2026-08-28,growth,ok,26.0743,0.9987,0.0786,capital,2021-12-31,2025-12-31,-600873458.9200,-2653103109.1300,-2052229650.2100,0.0000,0.0000,0,ok,26.0792,1.1757,0.0787,capital,2021-12-31,2025-12-31,-321049382.7800,-1324222645.2900,-1003173262.5100,0.0000,0.0000,0,ok,26.0792,1.1757,0.0787,capital,2021-12-31,2025-12-31,-321049382.7800,-1324222645.2900,-1003173262.5100,0.0000,0.0000,0,0.00018792450804050453,0.00018792450804050453,0.0
000895,双汇发展,2026-06-30,2026-08-29,growth,ok,14.4838,0.0705,0.0020,capital,2021-12-31,2025-12-31,-1228742785.5900,-1790170890.7000,-561428105.1100,0.0000,0.0000,0,ok,14.4903,0.0766,0.0022,capital,2021-12-31,2025-12-31,681987383.9800,251208714.7000,-430778669.2800,0.0000,0.0000,0,ok,14.4903,0.0766,0.0022,capital,2021-12-31,2025-12-31,681987383.9800,251208714.7000,-430778669.2800,0.0000,0.0000,0,0.0004487772545878066,0.0004487772545878066,0.0
000933,神火股份,2026-06-30,2026-07-28,growth,ok,27.4442,0.1186,0.0251,capital,2021-12-31,2025-12-31,-11294818641.6700,-3791628992.4900,7503189649.1800,274270399.2600,367074048.7400,0,ok,25.9794,-0.0025,0.0000,none,2021-12-31,2025-12-31,-5111115242.0000,-808668813.8200,4302446428.1800,274270399.2600,367074048.7400,0,ok,25.9920,0.0011,0.0002,capital,2021-12-31,2025-12-31,-4836844842.7400,-441594765.0800,4395250077.6600,274270399.2600,367074048.7400,0,-0.05337375474599371,-0.05291464134498358,0.00048499965357184927
000975,山金国际,2026-06-30,2026-08-20,growth,ok,8.8545,0.0889,0.0356,capital,2021-12-31,2025-12-31,-2859517279.4300,-1777968670.3600,1081548609.0700,0.0000,0.0000,0,ok,8.5020,0.0220,0.0088,capital,2021-12-31,2025-12-31,-1018237529.2300,-517199772.6000,501037756.6300,0.0000,0.0000,0,ok,8.5020,0.0220,0.0088,capital,2021-12-31,2025-12-31,-1018237529.2300,-517199772.6000,501037756.6300,0.0000,0.0000,0,-0.03981026596645765,-0.03981026596645765,0.0
000999,华润三九,2026-06-30,2026-08-22,growth,ok,18.7960,0.6593,0.0559,capital,2021-12-31,2025-12-31,3130670264.1000,12158737548.7600,9028067284.6600,2296378032.8300,2646133447.9400,0,ok,17.6925,0.4236,0.0359,capital,2021-12-31,2025-12-31,1507179439.5400,7266291992.7900,5759112553.2500,2296378032.8300,2646133447.9400,0,ok,17.8081,0.4488,0.0380,capital,2021-12-31,2025-12-31,3803557472.3700,9912425440.7300,6108867968.3600,2296378032.8300,2646133447.9400,0,-0.058709299851032126,-0.05255905511811021,0.006533842023456193
001232,嘉立创,2026-06-30,2026-08-27,growth,ok,35.8520,0.3089,0.1025,capital,2021-12-31,2025-12-31,-1598464441.2700,-3009464374.8800,-1410999933.6100,2808621.0000,26766219.4800,0,ok,39.3993,0.4650,0.1543,capital,2021-12-31,2025-12-31,-679080820.7500,-1507860391.5100,-828779570.7600,2808621.0000,26766219.4800,0,ok,39.5549,0.4715,0.1564,capital,2021-12-31,2025-12-31,-676272199.7500,-1481094172.0300,-804821972.2800,2808621.0000,26766219.4800,0,0.09894287626910625,0.10328294097958302,0.003949308744064073
002001,新和成,2026-06-30,2026-08-20,growth,ok,32.3302,0.3578,0.1080,capital,2021-12-31,2025-12-31,4368584503.0000,6313542121.4100,1944957618.4100,182891179.6500,813062385.7300,0,ok,31.8140,0.3325,0.1003,capital,2021-12-31,2025-12-31,3394361988.3200,4832469310.8500,1438107322.5300,182891179.6500,813062385.7300,0,ok,32.4573,0.3640,0.1098,capital,2021-12-31,2025-12-31,3577253167.9700,5645531696.5800,2068278528.6100,182891179.6500,813062385.7300,0,-0.015966495722265828,0.003931308807245237,0.02022065757213798
