group,arm,metric,delta_vs_dedup,positive_starts
full,WCOPM14SEP09,年化,-0.007778727834479748,6
full,WCOPM14SEP09,最大回撤,-0.0018703637139400597,5
full,WCOPM14SEP09,Sharpe,-0.009635851643567728,6
full,WCOPM14SEP09,Calmar,0.004383083967907098,8
full,WCOPM14SEP09,平均仓位,-0.0058646046224579695,4
full,WCOPM14SEP09,年均换手,0.24422131473255737,11
full,WCOPM14SEP09,持仓数中位,0.0,4
full,WCOPM14SEP09,单票权重中位,0.0036485767126021584,8
full,WCOPM14SEP09,单票权重P90,-0.0283907339244327,5
full,WCOPM14SEP09,单票权重最大,-0.007516233278724305,5
full,WCOPM14SEP09,前三权重中位,-0.007384658033031566,5
full,WCOPM14SEP09,单票超60%天数占比,0.03130536990560412,9
full,WCOPM14SEP09,滚动3年年化中位,-0.012446282799927322,6
full,WCOPM14SEP09,滚动3年回撤中位,-0.0026998943846330836,7
full,WCOPM14SEP09,滚动3年Calmar中位,-0.04608333339409121,5
full,WCOPM14SEP09,滚动3年Sharpe中位,-0.023771083916759583,6
full,WCOPM14SEP09,滚动3年为负的窗口占比,0.0,2
full,WCOPM14SEP09,滚动5年年化中位,-0.03017152792002009,5
full,WCOPM14SEP09,滚动5年年化P25,-0.025431022127524683,6
full,WCOPM14SEP09,滚动5年年化最差,0.012961575722628127,9
full,WCOPM14SEP09,滚动5年回撤中位,-8.589199258124403e-05,7
full,WCOPM14SEP09,滚动5年Calmar中位,-0.04305427009346302,5
full,WCOPM14SEP09,滚动5年Sharpe中位,-0.03753258443382934,5
full,WCOPM14SEP09,滚动5年为负的窗口占比,0.0,2
full,WCOPM14SEP09,滚动5年窗口数,0.0,0
full,WCOPM14SEP09,互不重叠5年块中位,-0.005176828958443125,6
full,WCOPM14SEP09,滚动10年年化中位,-0.003347946687547787,6
full,WCOPM14SEP09,滚动10年窗口数,0.0,0
full,WCOPM14SEP09,逐年收益中位,-0.03608925223800369,1
full,WCOPM14SEP09,逐年为正比例,0.0,2
full,WCOPM14SEP09,逐年最差,0.00017759041402959364,7
full,WCOPM14SEP09,完整自然年数,0.0,0
full,WCOPM14SEP09,强平次数,0.0,0
full,WCOPM14SEP09,最低担保比例,0.011640195114509755,7
full,WCOPM14SEP09,最低股票同跌缓冲,0.005316322820923536,7
full,WCOPM14SEP09,最低总资产冲击缓冲,0.00531632282092348,7
full,WCOPM14SEP09,rf覆盖率,0.0,0
full,WCOPM14SEP09,年化_交易日口径,-0.007811261777978307,6
full,WCOPM14SEP09,最低担保比例日,0.0,1
full,WCOPM14SEP09,最低股票同跌缓冲日,0.0,1
full,WCOPM14SEP09,滚动5年年化最差窗口末日,0.0,3
full,WCOPM14SEP09,最大回撤起日,0.0,3
full,WCOPM14SEP09,最大回撤止日,0.0,3
full,WCOPM14SEP09,末次净值日,0.0,0
full,WCOPM15SEP09,年化,-0.024678750566955565,3
full,WCOPM15SEP09,最大回撤,-0.001409179235335678,4
full,WCOPM15SEP09,Sharpe,-0.0337202353388118,5
full,WCOPM15SEP09,Calmar,-0.015588080872705912,5
full,WCOPM15SEP09,平均仓位,-0.001818784843338972,5
full,WCOPM15SEP09,年均换手,-0.04971445987718859,6
full,WCOPM15SEP09,持仓数中位,0.0,2
full,WCOPM15SEP09,单票权重中位,-0.0010902142900615086,7
full,WCOPM15SEP09,单票权重P90,-0.010672749079105814,6
full,WCOPM15SEP09,单票权重最大,-0.011713951826474334,3
full,WCOPM15SEP09,前三权重中位,0.0015394885870266828,7
full,WCOPM15SEP09,单票超60%天数占比,0.0061656576669631424,8
full,WCOPM15SEP09,滚动3年年化中位,-0.05835406844749602,4
full,WCOPM15SEP09,滚动3年回撤中位,0.006381940736154279,8
full,WCOPM15SEP09,滚动3年Calmar中位,-0.08089864679319736,5
full,WCOPM15SEP09,滚动3年Sharpe中位,-0.08919761192191572,4
full,WCOPM15SEP09,滚动3年为负的窗口占比,0.0,4
full,WCOPM15SEP09,滚动5年年化中位,-0.06644679819647736,5
full,WCOPM15SEP09,滚动5年年化P25,-0.03670400871108259,6
full,WCOPM15SEP09,滚动5年年化最差,0.004830868674069622,9
