group,start,arm,base,delta_contribution,delta_CAGR,top3_codes,top3_net_share,top3_gross_share
full,2009-11-01,WCREPSEP09,BASE,0.5578800000000004,0.05162575591581997,002128/600309/002466,0.3108087760808777,0.2801761750319252
full,2009-11-01,WCOPM14SEP09,BASE,1.0946170000000002,0.089805535251962,000651/002714/002128,0.5999870274260312,0.4161749708132941
full,2009-11-01,WCOPM15SEP09,BASE,0.7511970000000003,0.06150189095141134,000651/002128/688516,0.5420508867846918,0.39153015165322147
full,2009-11-01,WCOPM16SEP09,BASE,1.0806529999999996,0.0885944473533209,000651/002714/002128,0.5994357115558835,0.43907817357045653
full,2009-11-01,WCOPRAWSEP09,BASE,-0.057464999999999836,0.0035194396954740803,601225/002304/601088,3.158009223005315,0.372645539520205
full,2009-11-01,WCOPM15SEP09,WCREPSEP09,0.19331700000000002,0.009876135035591371,000651/600660/002304,3.0162996529017114,0.4041854796204221
full,2009-11-01,WCOPM15SEP09,WCOPRAWSEP09,0.8086620000000002,0.05798245125593726,000651/002128/601225,0.5093487761264905,0.4032468347743805
full,2009-11-01,WCOPM16SEP09,WCOPM15SEP09,0.3294559999999994,0.02709255640190955,002714/600660/601229,1.0226433878879138,0.4432992630786428
full,2011-11-01,WCREPSEP09,BASE,0.653221,0.06072706278930884,002466/002714/002128,0.7985949625012053,0.3536168462386665
full,2011-11-01,WCOPM14SEP09,BASE,-0.6068379999999999,-0.04458176371268996,000933/688516/600309,0.6799129256902173,0.3474255740218162
full,2011-11-01,WCOPM15SEP09,BASE,-0.4501439999999998,-0.031822822843478926,601225/601088/600309,0.6417057652662261,0.2881693295773749
full,2011-11-01,WCOPM16SEP09,BASE,0.8752469999999999,0.08644736716175827,002714/002128/000651,0.5074201911003408,0.3488690380039692
full,2011-11-01,WCOPRAWSEP09,BASE,-0.3566399999999996,-0.026926842882898372,601225/600309/002466,-0.3728689995513688,0.29143613871189666
full,2011-11-01,WCOPM15SEP09,WCREPSEP09,-1.1033649999999997,-0.09254988563278777,002128/000651/002466,0.26595732146660434,0.3947764060505996
full,2011-11-01,WCOPM15SEP09,WCOPRAWSEP09,-0.09350400000000014,-0.004895979960580554,002466/000933/601088,0.8862936344969172,0.36614539219534364
full,2011-11-01,WCOPM16SEP09,WCOPM15SEP09,1.3253909999999993,0.1182701900052372,002714/002128/000651,0.2925936572679308,0.4042868763713009
A,2009-11-01,WCREPSEP09,BASE,-0.4134459999999994,-0.022400930872535252,000568/600309/002532,0.7644069600383132,0.292436867226265
A,2009-11-01,WCOPM14SEP09,BASE,-0.261453,-0.006608489165742526,601169/002532/601229,2.865658454865693,0.3228318771676057
A,2009-11-01,WCOPM15SEP09,BASE,-0.06143899999999984,-0.001072700311313124,601229/000333/002532,8.280880222659896,0.3080112629533954
A,2009-11-01,WCOPM16SEP09,BASE,-0.4979809999999997,-0.023182191783843953,000568/600585/601225,1.7708808167379892,0.3113212243080956
A,2009-11-01,WCOPRAWSEP09,BASE,-0.15977100000000016,0.00163106492516496,601169/600585/002532,1.535910772292843,0.2871663718459795
A,2009-11-01,WCOPM15SEP09,WCREPSEP09,0.3520069999999996,0.021328230561222128,000568/600585/600309,1.0675696790120666,0.3673578058132506
A,2009-11-01,WCOPM15SEP09,WCOPRAWSEP09,0.09833199999999992,-0.002703765236478084,601169/600585/002532,2.027712240165971,0.31997841090502205
A,2009-11-01,WCOPM16SEP09,WCOPM15SEP09,-0.4365419999999997,-0.02210949147253083,000568/600585/601225,1.9763779888304005,0.3831664216655046
A,2011-11-01,WCREPSEP09,BASE,-0.06366500000000017,-0.007805332727722325,002532/600066/000333,8.275598837665886,0.30249909428142785
A,2011-11-01,WCOPM14SEP09,BASE,-0.026709999999999873,-0.0130452482092267,002304/002532/000333,2.1825533508049517,0.2767934741026008
A,2011-11-01,WCOPM15SEP09,BASE,-0.20755099999999996,-0.010297223135724343,002304/002532/000792,0.5853982876497825,0.24836144793587098
A,2011-11-01,WCOPM16SEP09,BASE,-0.26130000000000003,-0.020400502181044944,002532/002304/601225,0.5749215461155762,0.2947062967378346
A,2011-11-01,WCOPRAWSEP09,BASE,0.21385800000000016,0.005055427036607663,600585/002304/000333,1.043182859654537,0.25911059412320486
A,2011-11-01,WCOPM15SEP09,WCREPSEP09,-0.14388599999999976,-0.0024918904080020177,600660/600585/000792,2.2420457862474503,0.2557642268301154
A,2011-11-01,WCOPM15SEP09,WCOPRAWSEP09,-0.4214090000000001,-0.015352650172332005,600585/600660/600309,0.7056090401486446,0.3208678811821412
A,2011-11-01,WCOPM16SEP09,WCOPM15SEP09,-0.05374900000000009,-0.010103279045320601,601225/000568/002466,2.7353811233697343,0.31705271231691323
