group,arm,metric,level_median,paired_delta_median,positive_starts
full,BASE,年化,0.45655756827395966,0.0,0
full,BASE,最大回撤,0.6915421183197383,0.0,0
full,BASE,Sharpe,0.9556917169411325,0.0,0
full,BASE,Calmar,0.5999784210379602,0.0,0
full,BASE,平均仓位,1.646187216629815,0.0,0
full,BASE,年均换手,7.014155393373942,0.0,0
full,BASE,持仓数中位,6.0,0.0,0
full,BASE,单票权重中位,0.6503445967019137,0.0,0
full,BASE,单票权重P90,0.8871514616910131,0.0,0
full,BASE,单票权重最大,1.0827451409671238,0.0,0
full,BASE,前三权重中位,1.452068374475039,0.0,0
full,BASE,单票超60%天数占比,0.7922951118317829,0.0,0
full,BASE,滚动3年年化中位,0.485011664736288,0.0,0
full,BASE,滚动3年回撤中位,0.43783899141586896,0.0,0
full,BASE,滚动3年Calmar中位,1.084861807179347,0.0,0
full,BASE,滚动3年Sharpe中位,1.010126381630187,0.0,0
full,BASE,滚动3年为负的窗口占比,0.027799227799227798,0.0,0
full,BASE,滚动5年年化中位,0.5120379561159653,0.0,0
full,BASE,滚动5年年化P25,0.3839423654490838,0.0,0
full,BASE,滚动5年年化最差,0.11513745634735473,0.0,0
full,BASE,滚动5年回撤中位,0.46420338775730896,0.0,0
full,BASE,滚动5年Calmar中位,1.06035846082976,0.0,0
full,BASE,滚动5年Sharpe中位,1.026096436537976,0.0,0
full,BASE,滚动5年为负的窗口占比,0.0,0.0,0
full,BASE,滚动5年窗口数,102.0,0.0,0
full,BASE,互不重叠5年块中位,0.6147620892310237,0.0,0
full,BASE,滚动10年年化中位,0.42586696630976906,0.0,0
full,BASE,滚动10年窗口数,42.0,0.0,0
full,BASE,逐年收益中位,0.3872647032409982,0.0,0
full,BASE,逐年为正比例,0.7928571428571429,0.0,0
full,BASE,逐年最差,-0.2715508503888037,0.0,0
full,BASE,完整自然年数,12.5,0.0,0
full,BASE,强平次数,0.0,0.0,0
full,BASE,最低担保比例,1.82729278782201,0.0,0
full,BASE,最低股票同跌缓冲,0.28856469559402204,0.0,0
full,BASE,最低总资产冲击缓冲,0.2885646955940221,0.0,0
full,BASE,rf覆盖率,1.0,0.0,0
full,BASE,年化_交易日口径,0.4577951197626996,0.0,0
full,BASE,最低担保比例日,20150825.0,0.0,0
full,BASE,最低股票同跌缓冲日,20150825.0,0.0,0
full,BASE,滚动5年年化最差窗口末日,20190829.0,0.0,0
full,BASE,最大回撤起日,20150609.0,0.0,0
full,BASE,最大回撤止日,20160614.5,0.0,0
full,BASE,末次净值日,20260828.0,0.0,0
full,WCREPSEP09,年化,0.4419997814735954,0.02495259165540198,10
full,WCREPSEP09,最大回撤,0.6604477256840506,-0.01300683464595026,4
full,WCREPSEP09,Sharpe,0.9397505570807134,0.028869034472552735,10
