version,security_code,security_name,report_date,notice_date,update_date,superseded_at,group,total,account_component,note_component,financing_receivables,classification,selected_basis,selected_group
current,000513,丽珠集团,1998-12-31,2000-04-17,2000-04-17,,receivable,5848000.0,353310709.33,5848000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,5848000.0
current,000915,华特达因,1998-12-31,2000-03-16,2000-03-16,,receivable,503698.4,59360328.45,503698.4,0.0,historical_aggregate_equals_notes,aggregate_conflict,503698.4
current,000933,神火股份,1998-12-31,2000-03-28,2000-03-28,,receivable,4125540.0,49134997.83,4125540.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,4125540.0
current,600066,宇通客车,1998-12-31,2000-03-28,2000-03-28,,receivable,782100.0,60787876.26,782100.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,782100.0
current,600398,海澜之家,2013-12-31,2014-03-26,2015-03-03,,receivable,134855746.09,134855746.09,6856306.0,0.0,aggregate_equals_accounts,aggregate_conflict,134855746.09
current,600398,海澜之家,2012-12-31,2013-04-23,2015-03-03,,receivable,63950132.69,63950132.69,21592997.99,0.0,aggregate_equals_accounts,aggregate_conflict,63950132.69
current,600612,老凤祥,1998-12-31,2000-04-24,2000-04-24,,receivable,1479466.0,218955264.11,1479466.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,1479466.0
current,600702,舍得酒业,1998-12-31,2000-03-06,2000-03-06,,receivable,40921472.0,99606606.85,40921472.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,40921472.0
current,600779,水井坊,1998-12-31,2000-03-27,2000-03-27,,receivable,507500.0,154855952.95,507500.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,507500.0
current,600885,宏发股份,2000-12-31,2002-03-30,2002-03-30,,payable,18122428.49,18122428.49,7831273.5,0.0,aggregate_and_components_differ,aggregate_conflict,18122428.49
current,600089,特变电工,1998-12-31,2000-01-28,2000-01-28,,receivable,3305099.0,136819180.29,3305099.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,3305099.0
current,600233,圆通速递,2015-12-31,2016-03-08,2017-04-28,,receivable,169771187.5,169771187.5,1000000.0,0.0,aggregate_equals_accounts,aggregate_conflict,169771187.5
current,000022,深赤湾A,2017-12-31,2018-03-07,2019-03-30,,receivable,871370660.21,892415771.49,16910891.14,0.0,year_end_vs_next_opening,aggregate_conflict,871370660.21
current,000063,中兴通讯,1998-12-31,2000-04-15,2000-04-15,,receivable,3960000.0,175086927.3,3960000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,3960000.0
current,000425,徐工机械,1998-12-31,2000-03-24,2000-03-24,,receivable,21307000.0,295640517.63,21307000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,21307000.0
current,000538,云南白药,1998-12-31,2000-03-24,2000-03-24,,receivable,64711.34,26694478.43,64711.34,0.0,historical_aggregate_equals_notes,aggregate_conflict,64711.34
current,000568,泸州老窖,1998-12-31,2000-04-11,2000-04-11,,receivable,75063340.75,124574176.47,75063340.75,0.0,historical_aggregate_equals_notes,aggregate_conflict,75063340.75
current,000651,格力电器,1998-12-31,2000-03-15,2000-03-15,,receivable,171035000.0,96085873.85,171035000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,171035000.0
current,000708,中信特钢,1998-12-31,2000-04-15,2000-04-15,,receivable,2194000.0,812769066.46,2194000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,2194000.0
current,000725,京东方A,1998-12-31,2000-04-21,2000-04-21,,receivable,19827519.0,75190000.0,19827519.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,19827519.0
current,000733,振华科技,1998-12-31,2000-04-15,2000-04-15,,receivable,10773165.33,319270766.98,10773165.33,0.0,historical_aggregate_equals_notes,aggregate_conflict,10773165.33
current,000778,新兴铸管,1998-12-31,2000-03-01,2000-03-01,,receivable,119340920.37,541427438.11,119340920.37,0.0,historical_aggregate_equals_notes,aggregate_conflict,119340920.37
current,000786,北新建材,1998-12-31,2000-03-25,2000-03-25,,receivable,1314970.65,96078991.71,1314970.65,0.0,historical_aggregate_equals_notes,aggregate_conflict,1314970.65
current,000792,盐湖股份,1998-12-31,2000-03-28,2000-03-28,,receivable,32045456.07,61565785.49,32045456.07,0.0,historical_aggregate_equals_notes,aggregate_conflict,32045456.07
current,000858,五粮液,1998-12-31,2000-01-26,2000-01-26,,receivable,26924000.0,13522153.39,26924000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,26924000.0
current,000895,双汇发展,1998-12-31,2000-03-04,2000-03-04,,receivable,18500000.0,158289255.16,18500000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,18500000.0
current,000951,中国重汽,1998-12-31,2000-04-12,2000-04-12,,receivable,26043700.0,214369263.49,26043700.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,26043700.0
current,000999,华润三九,2018-12-31,2019-03-14,2020-03-20,,receivable,2314888787.96,2314888787.96,1820147181.78,1820147181.78,financing_reclassification,aggregate_conflict,2314888787.96
current,000999,华润三九,1998-12-31,1999-11-09,2000-03-03,,receivable,2600000.0,802039028.48,2600000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,2600000.0
current,001872,招商港口,2017-12-31,2018-03-07,2019-03-30,,receivable,871370660.21,892415771.49,16910891.14,0.0,year_end_vs_next_opening,aggregate_conflict,871370660.21
current,002027,分众传媒,2014-12-31,2015-04-16,2016-04-22,,payable,121231426.45,121231426.45,42000000.0,0.0,aggregate_and_components_differ,aggregate_conflict,121231426.45
current,002270,华明装备,2014-12-31,2015-02-07,2016-04-15,,payable,55698136.13,55698136.13,44420000.0,0.0,aggregate_and_components_differ,aggregate_conflict,55698136.13
current,002460,赣锋锂业,2018-12-31,2019-03-29,2020-04-24,,receivable,1002137169.98,1002137169.98,403462509.22,403462509.22,financing_reclassification,aggregate_conflict,1002137169.98
current,002594,比亚迪,2003-12-31,2006-07-17,2006-07-17,,receivable,1400814000.0,1400814000.0,92548000.0,0.0,aggregate_equals_accounts,aggregate_conflict,1400814000.0
current,002607,中公教育,2017-12-31,2018-04-17,2019-04-09,,payable,34809641.67,34809641.67,942822285.07,0.0,aggregate_and_components_differ,aggregate_conflict,34809641.67
current,600160,巨化股份,1998-12-31,2000-03-25,2000-03-25,,receivable,35883190.81,109072226.64,35883190.81,0.0,historical_aggregate_equals_notes,aggregate_conflict,35883190.81
current,600188,兖矿能源,2018-12-31,2019-03-30,2020-04-23,,receivable,4728553000.0,4728553000.0,4428709000.0,4428709000.0,financing_reclassification,aggregate_conflict,4728553000.0
current,600188,兖矿能源,1998-12-31,2000-04-18,2000-04-18,,receivable,168058451.0,461966688.0,168058451.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,168058451.0
current,600585,海螺水泥,2000-12-31,2002-01-22,2002-02-02,,receivable,76025128.0,76432844.0,76025128.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,76025128.0
current,600585,海螺水泥,1999-12-31,2002-01-22,2002-02-02,,receivable,38347885.0,168120960.0,38347885.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,38347885.0
current,600600,青岛啤酒,1998-12-31,2000-04-18,2000-04-18,,receivable,6000000.0,413175914.0,6000000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,6000000.0
current,600660,福耀玻璃,1998-12-31,2000-03-21,2000-03-21,,receivable,21748293.0,181311741.0,21748293.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,21748293.0
current,600690,海尔智家,1998-12-31,2000-03-30,2000-03-30,,receivable,10310723.0,701871683.61,10310723.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,10310723.0
current,600717,天津港,1998-12-31,2000-04-08,2000-04-08,,receivable,22728661.06,104808661.85,22728661.06,0.0,historical_aggregate_equals_notes,aggregate_conflict,22728661.06
current,600750,华润江中,1999-12-31,2001-03-19,2001-03-19,,payable,54363945.85,54363945.85,54363945.85,0.0,aggregate_and_components_differ,aggregate_conflict,54363945.85
current,600809,山西汾酒,1998-12-31,2000-04-04,2000-04-04,,receivable,22684800.0,159015765.72,22684800.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,22684800.0
current,600862,中航高科,1998-12-31,2000-01-18,2000-01-18,,receivable,2750000.0,221120616.0,2750000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,2750000.0
current,600887,伊利股份,1998-12-31,2000-03-29,2000-03-29,,receivable,1600000.0,48846339.24,1600000.0,0.0,historical_aggregate_equals_notes,aggregate_conflict,1600000.0
current,601857,中国石油,2018-12-31,2019-03-22,2020-03-27,,receivable,59522000000.0,59522000000.0,16308000000.0,16308000000.0,financing_reclassification,aggregate_conflict,59522000000.0
current,603993,洛阳钼业,2018-12-31,2019-03-29,2020-03-30,,receivable,860999687.88,860999687.88,1623841101.38,1623841101.38,financing_reclassification,aggregate_conflict,860999687.88
