security_code,security_name,report_date,legacy_wc,dedup_wc,operating_wc,financing_receivables,receivable_basis,payable_basis
002938,鹏鼎控股,2025-12-31,4029550988.76,3474045508.6000004,3513499446.7200003,39453938.12,aggregate,aggregate
002938,鹏鼎控股,2024-12-31,3816091595.5300007,3056743127.040001,3056743127.040001,0.0,aggregate,aggregate
002938,鹏鼎控股,2023-12-31,4643221028.0,3282372438.96,3282372438.96,0.0,aggregate,aggregate
002938,鹏鼎控股,2022-12-31,6832658645.809999,4542169040.120001,4542169040.120001,0.0,aggregate,aggregate
002938,鹏鼎控股,2021-12-31,9600227123.45,6316280967.24,6316280967.24,0.0,aggregate,aggregate
002938,鹏鼎控股,2020-12-31,4941330841.039999,3523476318.51,3523476318.51,0.0,aggregate,aggregate
300529,健帆生物,2025-12-31,1930632.1300000548,79554625.11000003,85211719.31000003,5657094.2,aggregate,aggregate
300529,健帆生物,2024-12-31,76539921.39999998,142270363.42999995,144421065.89999995,2150702.47,aggregate,aggregate
300529,健帆生物,2023-12-31,98721066.55999988,159493859.21999997,165853149.64999998,6359290.43,aggregate,aggregate
300529,健帆生物,2022-12-31,490730781.7399999,379615566.62,379615566.62,0.0,aggregate,aggregate
300529,健帆生物,2021-12-31,544312596.52,297017323.38,297017323.38,0.0,aggregate,aggregate
300529,健帆生物,2020-12-31,316900394.83,151318566.07,151318566.07,0.0,aggregate,aggregate
300627,华测导航,2025-12-31,1421379257.7799995,686921766.2700002,778428453.4200002,91506687.15,aggregate,aggregate
300627,华测导航,2024-12-31,1260369686.7600002,644776647.76,707316481.9,62539834.14,aggregate,aggregate
300627,华测导航,2023-12-31,933772529.1800005,571528128.28,585926638.48,14398510.2,aggregate,aggregate
300627,华测导航,2022-12-31,687840212.7,409741577.84000003,417721791.72,7980213.88,aggregate,aggregate
300627,华测导航,2021-12-31,501409332.0699997,362885633.35,375427418.47,12541785.12,aggregate,aggregate
300627,华测导航,2020-12-31,622852475.59,368435744.03,382191397.63,13755653.6,aggregate,aggregate
300750,宁德时代,2025-12-31,-346580628000.0,-160757947000.0,-117552655000.0,43205292000.0,aggregate,aggregate
300750,宁德时代,2024-12-31,-257853759000.0,-123785941000.0,-70476240000.0,53309701000.0,aggregate,aggregate
300750,宁德时代,2023-12-31,-255502616000.0,-126721159000.0,-71431840000.0,55289319000.0,aggregate,aggregate
300750,宁德时代,2022-12-31,-262569885900.0,-103298042300.0,-84332327700.0,18965714600.0,aggregate,aggregate
300750,宁德时代,2021-12-31,-136266406700.0,-54293745300.0,-47807364500.0,6486380800.0,aggregate,aggregate
300750,宁德时代,2020-12-31,-16758330800.0,-6657577000.0,-6657577000.0,0.0,aggregate,aggregate
300832,新产业,2025-12-31,2368808136.12,1520148767.95,1520148767.95,0.0,aggregate,aggregate
300832,新产业,2024-12-31,1852100247.8800006,1351229036.9499998,1351229036.9499998,0.0,aggregate,aggregate
300832,新产业,2023-12-31,1580943501.3500001,1076146910.0199997,1076146910.0199997,0.0,aggregate,aggregate
300832,新产业,2022-12-31,1150169765.5800002,846884009.4699999,846884009.4699999,0.0,aggregate,aggregate
300832,新产业,2021-12-31,640751292.9000001,536006710.6700001,536006710.6700001,0.0,aggregate,aggregate
300832,新产业,2020-12-31,443952461.74999994,323864625.48,323864625.48,0.0,aggregate,aggregate
600066,宇通客车,2025-12-31,3415091748.8200016,1389020231.6500015,1601236794.2400014,212216562.59,aggregate,aggregate
600066,宇通客车,2024-12-31,-4863689730.890003,-2416107136.840001,-2155686575.6600013,260420561.18,aggregate,aggregate
600066,宇通客车,2023-12-31,-4283036111.5099983,-1355209795.6500006,-1144133104.6100006,211076691.04,aggregate,aggregate
600066,宇通客车,2022-12-31,-2554711626.4800053,589918071.9300003,652175087.3000003,62257015.37,aggregate,aggregate
600066,宇通客车,2021-12-31,-1109126128.090004,1466491938.9799986,1768830731.7299986,302338792.75,aggregate,aggregate
600066,宇通客车,2020-12-31,1275898838.4800034,1689975003.1499996,2087716677.8599997,397741674.71,aggregate,aggregate
600183,生益科技,2025-12-31,9050523481.049997,6736040191.74,8039199896.139999,1303159704.4,aggregate,aggregate
600183,生益科技,2024-12-31,8981226012.81,6680204570.58,8312759635.75,1632555065.17,aggregate,aggregate
600183,生益科技,2023-12-31,6998555705.150002,5347059029.740002,6349862086.090002,1002803056.35,aggregate,aggregate
600183,生益科技,2022-12-31,7323182269.230002,5416142653.529999,6474175762.789999,1058033109.26,aggregate,aggregate
600183,生益科技,2021-12-31,7636390804.4,5623212860.62,6747945964.26,1124733103.64,aggregate,aggregate
600183,生益科技,2020-12-31,5581793209.559997,3732422254.87,4850323225.04,1117900970.17,aggregate,aggregate
600285,羚锐制药,2025-12-31,1132649973.76,632295096.1800002,748003191.4900002,115708095.31,aggregate,aggregate
600285,羚锐制药,2024-12-31,874349823.45,487739494.11999995,504946675.05999994,17207180.94,aggregate,aggregate
600285,羚锐制药,2023-12-31,936588418.81,522261130.79,549549882.9,27288752.11,aggregate,aggregate
600285,羚锐制药,2022-12-31,887378327.5600002,508114536.57,572801126.04,64686589.47,aggregate,aggregate
600285,羚锐制药,2021-12-31,816645892.52,493369160.4799999,523265868.8399999,29896708.36,aggregate,aggregate
600285,羚锐制药,2020-12-31,1229746907.6899998,667537902.63,735117045.4,67579142.77,aggregate,aggregate
600298,安琪酵母,2025-12-31,3742785443.8199997,4170681559.74,4328240140.11,157558580.37,aggregate,aggregate
600298,安琪酵母,2024-12-31,3162377216.2799997,3567356336.4999995,3738532126.7199993,171175790.22,aggregate,aggregate
600298,安琪酵母,2023-12-31,2838160800.45,3191735305.880001,3410568806.9300013,218833501.05,aggregate,aggregate
600298,安琪酵母,2022-12-31,2039273015.3400002,2379120390.12,2561102134.0699997,181981743.95,aggregate,aggregate
600298,安琪酵母,2021-12-31,1322653138.6499996,1676749233.8899999,1930350978.7099998,253601744.82,aggregate,aggregate
600298,安琪酵母,2020-12-31,825078231.9000001,1208544927.72,1389218547.17,180673619.45,aggregate,aggregate
600519,贵州茅台,2025-12-31,32197302329.599995,36202002330.979996,40659066491.14,4457064160.16,aggregate,aggregate
600519,贵州茅台,2024-12-31,28212575095.44,29724162165.499996,29724162165.499996,0.0,aggregate,aggregate
600519,贵州茅台,2023-12-31,13954860756.870007,16973645010.130003,16973645010.130003,0.0,aggregate,aggregate
600519,贵州茅台,2022-12-31,8007002411.909992,10288983109.599997,10288983109.599997,0.0,aggregate,aggregate
600519,贵州茅台,2021-12-31,1387696784.4300003,3397529279.990003,3397529279.990003,0.0,absent,aggregate
600519,贵州茅台,2020-12-31,4925950893.18,4735489581.630004,4735489581.630004,0.0,aggregate,aggregate
600885,宏发股份,2025-12-31,7746043457.249998,5565415060.679999,5565415060.679999,0.0,aggregate,aggregate
600885,宏发股份,2024-12-31,7972438294.45,5371860496.02,5371860496.02,0.0,aggregate,aggregate
600885,宏发股份,2023-12-31,7899035170.82,4922308202.320001,4922308202.320001,0.0,aggregate,aggregate
600885,宏发股份,2022-12-31,6981779582.899999,4622127123.96,4622127123.96,0.0,aggregate,aggregate
600885,宏发股份,2021-12-31,5884166496.709999,3942155182.209999,3942155182.209999,0.0,aggregate,aggregate
600885,宏发股份,2020-12-31,5189001846.010001,3148922413.2400007,3148922413.2400007,0.0,aggregate,aggregate
600989,宝丰能源,2025-12-31,-4811938028.359999,-2439503241.0299997,-2338970872.22,100532368.81,aggregate,aggregate
600989,宝丰能源,2024-12-31,-3314520006.4400005,-1845612229.21,-1784255248.5,61356980.71,aggregate,aggregate
600989,宝丰能源,2023-12-31,-4931370590.800001,-3009433517.0600004,-2959572302.26,49861214.8,aggregate,aggregate
600989,宝丰能源,2022-12-31,-3353545660.160001,-1746392427.9099998,-1596291071.09,150101356.82,aggregate,aggregate
600989,宝丰能源,2021-12-31,-2397962122.76,-1542096686.2000003,-1161927978.4200003,380168707.78,aggregate,aggregate
600989,宝丰能源,2020-12-31,-1580894774.08,-832924251.49,-444392521.48,388531730.01,aggregate,aggregate
601138,工业富联,2025-12-31,82613248000.0,109824526000.0,136015360000.0,26190834000.0,aggregate,aggregate
601138,工业富联,2024-12-31,80910131000.0,80232619000.0,97391426000.0,17158807000.0,aggregate,aggregate
601138,工业富联,2023-12-31,97652792000.0,84206886000.0,84206886000.0,0.0,aggregate,aggregate
601138,工业富联,2022-12-31,128127644000.0,99716801000.0,99716801000.0,0.0,aggregate,aggregate
601138,工业富联,2021-12-31,95396224000.0,80349111000.0,80349111000.0,0.0,aggregate,aggregate
601138,工业富联,2020-12-31,87519219000.0,62936417000.0,62936417000.0,0.0,aggregate,aggregate
603259,药明康德,2025-12-31,11574713399.72,6742910948.949999,6742910948.949999,0.0,aggregate,aggregate
603259,药明康德,2024-12-31,13565268188.470001,7285335948.959999,7285335948.959999,0.0,aggregate,aggregate
603259,药明康德,2023-12-31,13312058198.169998,7035802578.09,7035802578.09,0.0,aggregate,aggregate
603259,药明康德,2022-12-31,10491691703.590002,6103607563.190001,6103607563.190001,0.0,aggregate,aggregate
603259,药明康德,2021-12-31,7351596521.989998,4615052597.3099985,4615052597.3099985,0.0,aggregate,aggregate
603259,药明康德,2020-12-31,5756162115.34,3030255823.640001,3030255823.640001,0.0,aggregate,aggregate
603508,思维列控,2025-12-31,1666167082.13,955279991.0300001,1024941388.4300001,69661397.4,aggregate,aggregate
603508,思维列控,2024-12-31,1887900142.3899999,1065116267.9,1141086751.53,75970483.63,aggregate,aggregate
