security_code,security_name,first_sig,n_sig,peak_revenue
601168,西部矿业,2009,16,616.9
600256,广汇能源,2009,15,614.8
600166,福田汽车,2009,15,612.5
000807,云铝股份,2009,13,600.4
000951,中国重汽,2009,17,599.4
000539,粤电力A,2009,15,597.1
600060,海信视像,2009,17,585.3
600655,豫园股份,2009,16,581.5
600886,国投电力,2009,17,578.2
600126,杭钢股份,2009,14,558.3
601009,南京银行,2009,17,555.4
000016,*ST康佳A,2009,12,551.2
600713,南京医药,2009,16,549.6
601699,潞安环能,2009,17,543.0
000960,锡业股份,2009,15,538.4
600569,安阳钢铁,2009,11,525.7
600418,江淮汽车,2009,13,525.3
600522,中天科技,2009,17,525.0
600511,国药股份,2009,17,524.7
600827,百联股份,2009,17,519.6
600348,华阳股份,2009,17,507.2
601808,中海油服,2009,16,502.8
600970,中材国际,2009,17,496.0
600531,豫光金铅,2009,15,495.5
002157,正邦科技,2009,11,491.7
600549,厦门钨业,2009,15,482.2
600660,福耀玻璃,2009,17,457.9
000717,中南股份,2009,10,454.8
600196,复星医药,2009,17,439.5
600973,宝胜股份,2009,12,438.0
000963,华东医药,2009,17,436.1
000027,深圳能源,2009,17,434.3
002091,江苏国泰,2009,17,428.3
600021,上海电力,2009,16,427.3
000933,神火股份,2009,15,427.0
600066,宇通客车,2009,17,414.3
000538,云南白药,2009,17,411.9
002078,太阳纸业,2009,17,407.3
601005,重庆钢铁,2009,9,398.5
600018,上港集团,2009,17,396.1
600056,中国医药,2009,17,393.1
000550,江铃汽车,2009,17,391.7
600642,申能股份,2009,17,388.4
600809,山西汾酒,2009,17,387.2
000937,冀中能源,2009,17,375.7
002010,传化智联,2009,17,370.0
600729,重百集团,2009,17,364.9
000401,金隅冀东,2009,14,363.4
600320,振华重工,2009,15,362.6
601666,平煤股份,2009,16,360.4
000776,广发证券,2009,17,354.9
600801,华新建材,2009,17,353.5
600426,华鲁恒升,2009,15,342.3
600271,航天信息,2009,15,339.8
600600,青岛啤酒,2009,17,339.4
000411,英特集团,2009,17,336.8
000528,柳工,2009,15,331.4
002304,洋河股份,2009,17,331.3
000488,ST晨鸣,2009,14,330.2
000009,中国宝安,2009,14,320.3
600276,恒瑞医药,2009,17,316.3
000999,华润三九,2009,17,316.0
600507,方大特钢,2009,17,314.6
002081,金螳螂,2009,16,312.4
000568,泸州老窖,2009,17,312.0
002050,三花智控,2009,17,310.1
601139,深圳燃气,2009,17,309.3
600581,*ST八钢,2009,9,308.8
600583,海油工程,2009,17,307.5
000792,盐湖股份,2009,14,307.4
600582,天地科技,2009,17,305.3
600141,兴发集团,2009,17,303.1
002080,中材科技,2009,11,302.0
002128,电投能源,2009,17,301.1
600999,招商证券,2009,17,294.3
601333,广深铁路,2009,14,286.9
600350,山东高速,2009,17,284.9
600100,同方股份,2009,13,284.5
600183,生益科技,2009,17,284.3
000537,绿发电力,2009,15,270.6
600686,金龙汽车,2009,14,268.3
600859,王府井,2009,16,267.9
002048,宁波华翔,2009,16,263.2
000402,金融街,2009,14,261.8
600231,凌钢股份,2009,12,261.5
600997,开滦股份,2009,15,260.0
600708,光明地产,2009,11,258.8
000786,北新建材,2009,17,258.2
000422,湖北宜化,2009,15,256.5
600717,天津港,2009,17,255.3
600685,中船防务,2009,14,255.2
600079,ST人福,2009,16,254.4
600835,上海机电,2009,17,247.2
600577,精达股份,2009,13,246.7
600266,城建发展,2009,14,241.8
600497,驰宏锌锗,2009,16,240.6
600026,中远海能,2009,14,238.9
600409,三友化工,2009,17,236.8
000596,古井贡酒,2009,17,235.8
600428,中远海特,2009,7,232.1
600377,宁沪高速,2009,17,232.0
600481,双良节能,2009,9,231.5
600595,中孚实业,2009,10,230.7
002032,苏泊尔,2009,17,227.7
300015,爱尔眼科,2009,17,223.5
002001,新和成,2009,17,222.5
600961,株冶集团,2009,8,222.5
601588,北辰实业,2009,12,221.8
600596,新安股份,2009,12,218.0
002028,思源电气,2009,10,215.4
600491,ST龙元,2009,14,214.3
600006,东风股份,2009,16,213.9
002179,中航光电,2009,14,213.9
600352,浙江龙盛,2009,17,213.6
000652,泰达股份,2009,12,212.0
600496,精工钢构,2009,14,208.4
000021,深科技,2009,17,207.7
600121,郑州煤电,2009,5,205.5
002299,圣农发展,2009,13,200.9
600415,小商品城,2009,15,199.3
600761,安徽合力,2009,17,198.2
002251,步步高,2009,12,197.3
000758,中色股份,2009,11,196.1
002309,中利集团,2009,8,194.1
600675,中华企业,2009,13,192.9
600739,辽宁成大,2009,14,192.8
002276,万马股份,2009,10,192.4
600966,博汇纸业,2009,7,191.6
600535,天士力,2009,16,190.0
600085,同仁堂,2009,17,186.0
002075,沙钢股份,2009,15,184.9
601001,晋控煤业,2009,14,182.7
000012,南玻A,2009,16,181.9
600663,陆家嘴,2009,17,181.7
000501,武商集团,2009,17,181.2
600664,哈药股份,2009,16,180.9
600208,衢州发展,2009,16,175.0
600125,铁龙物流,2009,16,173.8
001872,招商港口,2009,17,172.5
002100,天康生物,2009,14,171.8
600380,健康元,2009,17,171.4
000759,中百集团,2009,12,169.1
600697,欧亚集团,2009,13,167.3
601788,光大证券,2009,11,167.1
002082,ST万邦,2009,15,166.9
000900,现代投资,2009,12,163.7
600177,雅戈尔,2009,17,159.0
600486,扬农化工,2009,13,158.1
002204,大连重工,2009,9,155.2
