security_code,security_name,entry_year,reason
000063,中兴通讯,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
000100,TCL科技,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
000157,中联重科,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
000338,潍柴动力,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
000423,东阿阿胶,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
000425,徐工机械,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
000538,云南白药,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
000792,盐湖股份,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
000893,亚钾国际,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
000933,神火股份,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
000951,中国重汽,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
000960,锡业股份,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
000998,隆平高科,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
000999,华润三九,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002008,大族激光,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
002025,航天电器,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
002128,电投能源,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
002130,沃尔核材,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
002153,石基信息,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002223,鱼跃医疗,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002252,上海莱士,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
002311,海大集团,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002318,久立特材,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
002422,科伦药业,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
002430,杭氧股份,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
002463,沪电股份,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
002465,海格通信,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
002475,立讯精密,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002595,豪迈科技,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002821,凯莱英,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002837,英维克,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002916,深南电路,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
002938,鹏鼎控股,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300014,亿纬锂能,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300146,汤臣倍健,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300296,利亚德,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
300347,泰格医药,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300360,炬华科技,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
300415,伊之密,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300450,先导智能,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300454,深信服,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300476,胜宏科技,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
300627,华测导航,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300661,圣邦股份,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300726,宏达电子,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300759,康龙化成,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300776,帝尔激光,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300832,新产业,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
300866,安克创新,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
600031,三一重工,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
600066,宇通客车,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
600085,同仁堂,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
600150,中国船舶,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
600160,巨化股份,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
600161,天坛生物,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
600183,生益科技,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
600406,国电南瑞,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
600415,小商品城,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
600486,扬农化工,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
600549,厦门钨业,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
600563,法拉电子,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
600750,华润江中,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
600862,中航高科,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
600970,中材国际,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
600989,宝丰能源,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
600993,马应龙,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
601225,陕西煤业,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
601958,金钼股份,2011,2010年时点判定为 boundary_pending，进池年不得早于次年
603019,中科曙光,2016,2015年时点判定为 boundary_pending，进池年不得早于次年
603129,春风动力,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
603156,养元饮品,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
603267,鸿远电子,2021,2020年时点判定为 boundary_pending，进池年不得早于次年
