as_of_year,security_code,security_name,listed_on,years_listed,roe_avg5,roe_min5,roe_years,gross_margin,net_margin,revenue_yi,profit_yi,revenue_cagr,profit_cagr,today_class,today_in_pool
2015,000820,神雾节能,1998-06-30,17,1.1937,0.0854,5,0.3662,0.2617,6.55,1.71,0.3069,0.5281,boundary_pending,0
2015,600338,西藏珠峰,2000-12-27,15,0.6840,0.2262,5,0.3611,0.1073,14.91,1.60,0.2167,,boundary_pending,0
2015,300458,全志科技,2015-05-15,0,0.5984,0.0988,5,0.3739,0.1058,12.09,1.28,0.4672,0.2140,boundary_pending,0
2015,600217,中再资环,1999-12-16,16,0.5496,-0.8740,5,0.5747,0.1090,16.07,1.75,0.2962,,boundary_pending,0
2015,300433,蓝思科技,2015-03-18,0,0.5134,0.1660,5,0.2384,0.0896,172.27,15.43,0.3001,0.0570,boundary_pending,0
2015,300436,广生堂,2015-04-22,0,0.5131,0.2715,5,0.8782,0.3350,3.09,1.03,0.3096,0.3226,boundary_pending,0
2015,600340,*ST华幸,2003-12-30,12,0.4942,0.4207,5,0.3452,0.1252,383.35,48.01,0.4894,0.3712,boundary_pending,0
2015,000603,盛达资源,1996-08-23,19,0.4924,0.2629,5,0.7923,0.3068,8.24,2.53,-0.0328,-0.0788,boundary_pending,0
2015,002354,天娱数科,2010-02-09,5,0.4848,0.0594,5,0.6869,0.3849,9.41,3.62,0.2177,0.9225,boundary_pending,0
2015,002174,游族网络,2007-09-25,8,0.4826,0.0084,5,0.5802,0.3359,15.35,5.16,0.4965,3.0437,boundary_pending,0
2015,600988,赤峰黄金,2004-04-14,11,0.4656,0.1563,5,0.3351,0.1453,15.91,2.31,0.3775,0.1787,boundary_pending,0
2015,002749,国光股份,2015-03-20,0,0.4503,0.1902,5,0.4791,0.2212,6.05,1.34,0.0925,0.0726,boundary_pending,0
2015,300439,美康生物,2015-04-22,0,0.4464,0.1663,5,0.5872,0.2361,6.83,1.61,0.3725,0.3187,boundary_pending,0
2015,600816,建元信托,1994-01-28,21,0.4435,0.1867,5,,0.5828,29.55,17.22,0.5711,0.7237,boundary_pending,0
2015,603669,灵康药业,2015-05-28,0,0.4022,0.1945,5,0.6002,0.2719,5.51,1.50,0.1933,0.2801,boundary_pending,0
2015,000049,德赛电池,1995-03-20,20,0.3918,0.2775,5,0.0892,0.0273,84.34,2.30,0.3920,0.1786,boundary_pending,0
2015,300485,赛升药业,2015-06-26,0,0.3910,0.1675,5,0.6075,0.3447,6.07,2.09,0.2546,0.2539,boundary_pending,0
2015,300418,昆仑万维,2015-01-21,0,0.3875,0.1667,5,0.6095,0.2265,17.89,4.05,0.2919,0.2221,boundary_pending,0
2015,603398,*ST沐邦,2015-12-09,0,0.3850,0.2843,5,0.3797,0.2138,3.09,0.66,0.1128,0.1308,boundary_pending,0
2015,600398,海澜之家,2000-12-28,15,0.3796,0.0528,5,0.4027,0.1866,158.30,29.53,0.8354,1.3139,boundary_pending,0
2015,000921,海信家电,1999-07-13,16,0.3792,0.1549,5,0.2143,0.0247,234.72,5.80,0.0615,0.2645,boundary_pending,0
