effective_from,effective_to,screen_year,security_code,security_name,avg_roe_3y,rank
2003-04-30,2004-04-30,2002,000778,,,
2003-04-30,2004-04-30,2002,600006,,,
2003-04-30,2004-04-30,2002,600085,,,
2003-04-30,2004-04-30,2002,600188,,,
2003-04-30,2004-04-30,2002,600276,,,
2003-04-30,2004-04-30,2002,600519,,,
2003-04-30,2004-04-30,2002,600717,,,
2004-04-30,2005-04-30,2002,000778,,,
2004-04-30,2005-04-30,2002,600006,,,
2004-04-30,2005-04-30,2002,600085,,,
2004-04-30,2005-04-30,2002,600188,,,
2004-04-30,2005-04-30,2002,600276,,,
2004-04-30,2005-04-30,2002,600519,,,
2004-04-30,2005-04-30,2002,600717,,,
2004-04-30,2005-04-30,2003,600585,,,
2004-04-30,2005-04-30,2003,600660,,,
2005-04-30,2006-04-30,2002,000778,,,
2005-04-30,2006-04-30,2002,600006,,,
2005-04-30,2006-04-30,2002,600085,,,
2005-04-30,2006-04-30,2002,600188,,,
2005-04-30,2006-04-30,2002,600276,,,
2005-04-30,2006-04-30,2002,600519,,,
2005-04-30,2006-04-30,2002,600717,,,
2005-04-30,2006-04-30,2003,600585,,,
2005-04-30,2006-04-30,2003,600660,,,
2005-04-30,2006-04-30,2004,000792,,,
2005-04-30,2006-04-30,2004,000933,,,
2006-04-30,2009-04-30,2002,000778,,,
2006-04-30,2009-04-30,2002,600006,,,
2006-04-30,2009-04-30,2002,600085,,,
2006-04-30,2009-04-30,2002,600188,,,
2006-04-30,2009-04-30,2002,600276,,,
2006-04-30,2009-04-30,2002,600519,,,
2006-04-30,2009-04-30,2002,600717,,,
2006-04-30,2009-04-30,2003,600585,,,
2006-04-30,2009-04-30,2003,600660,,,
2006-04-30,2009-04-30,2004,000792,,,
2006-04-30,2009-04-30,2004,000933,,,
2006-04-30,2009-04-30,2005,600900,,,
2009-04-30,2010-04-30,2002,000778,,,
2009-04-30,2010-04-30,2002,600006,,,
2009-04-30,2010-04-30,2002,600085,,,
2009-04-30,2010-04-30,2002,600188,,,
2009-04-30,2010-04-30,2002,600276,,,
2009-04-30,2010-04-30,2002,600519,,,
2009-04-30,2010-04-30,2002,600717,,,
2009-04-30,2010-04-30,2003,600585,,,
2009-04-30,2010-04-30,2003,600660,,,
2009-04-30,2010-04-30,2004,000792,,,
2009-04-30,2010-04-30,2004,000933,,,
2009-04-30,2010-04-30,2005,600900,,,
2009-04-30,2010-04-30,2008,002152,,,
2010-04-30,2011-03-19,2002,000778,,,
2010-04-30,2011-03-19,2002,600006,,,
2010-04-30,2011-03-19,2002,600085,,,
2010-04-30,2011-03-19,2002,600188,,,
2010-04-30,2011-03-19,2002,600276,,,
2010-04-30,2011-03-19,2002,600519,,,
2010-04-30,2011-03-19,2002,600717,,,
2010-04-30,2011-03-19,2003,600585,,,
2010-04-30,2011-03-19,2003,600660,,,
2010-04-30,2011-03-19,2004,000792,,,
2010-04-30,2011-03-19,2004,000933,,,
2010-04-30,2011-03-19,2005,600900,,,
2010-04-30,2011-03-19,2008,002152,,,
2010-04-30,2011-03-19,2009,002022,,,
2010-04-30,2011-03-19,2009,002275,,,
2010-04-30,2011-03-19,2009,002304,,,
2011-03-19,2012-04-05,2002,000778,,,
2011-03-19,2012-04-05,2002,600006,,,
2011-03-19,2012-04-05,2002,600085,,,
2011-03-19,2012-04-05,2002,600188,,,
2011-03-19,2012-04-05,2002,600276,,,
2011-03-19,2012-04-05,2002,600519,,,
2011-03-19,2012-04-05,2002,600717,,,
2011-03-19,2012-04-05,2003,600585,,,
2011-03-19,2012-04-05,2003,600660,,,
2011-03-19,2012-04-05,2004,000792,,,
2011-03-19,2012-04-05,2004,000933,,,
2011-03-19,2012-04-05,2005,600900,,,
2011-03-19,2012-04-05,2008,002152,,,
2011-03-19,2012-04-05,2009,002022,,,
2011-03-19,2012-04-05,2009,002275,,,
2011-03-19,2012-04-05,2009,002304,,,
2011-03-19,2012-04-05,2010,002415,,,
2012-04-05,2012-04-07,2002,000778,,,
2012-04-05,2012-04-07,2002,600006,,,
2012-04-05,2012-04-07,2002,600085,,,
2012-04-05,2012-04-07,2002,600188,,,
2012-04-05,2012-04-07,2002,600276,,,
2012-04-05,2012-04-07,2002,600519,,,
2012-04-05,2012-04-07,2002,600717,,,
2012-04-05,2012-04-07,2003,600585,,,
2012-04-05,2012-04-07,2003,600660,,,
2012-04-05,2012-04-07,2004,000792,,,
2012-04-05,2012-04-07,2004,000933,,,
2012-04-05,2012-04-07,2005,600900,,,
2012-04-05,2012-04-07,2008,002152,,,
2012-04-05,2012-04-07,2009,002022,,,
2012-04-05,2012-04-07,2009,002275,,,
2012-04-05,2012-04-07,2009,002304,,,
2012-04-05,2012-04-07,2010,002415,,,
2012-04-05,2012-04-07,2011,002223,,,
2012-04-07,2012-04-14,2002,000778,,,
2012-04-07,2012-04-14,2002,600006,,,
2012-04-07,2012-04-14,2002,600085,,,
2012-04-07,2012-04-14,2002,600188,,,
2012-04-07,2012-04-14,2002,600276,,,
2012-04-07,2012-04-14,2002,600519,,,
2012-04-07,2012-04-14,2002,600717,,,
2012-04-07,2012-04-14,2003,600585,,,
2012-04-07,2012-04-14,2003,600660,,,
2012-04-07,2012-04-14,2004,000792,,,
2012-04-07,2012-04-14,2004,000933,,,
2012-04-07,2012-04-14,2005,600900,,,
2012-04-07,2012-04-14,2008,002152,,,
2012-04-07,2012-04-14,2009,002022,,,
2012-04-07,2012-04-14,2009,002275,,,
2012-04-07,2012-04-14,2009,002304,,,
2012-04-07,2012-04-14,2010,002415,,,
2012-04-07,2012-04-14,2011,002223,,,
2012-04-07,2012-04-14,2011,002063,,,
2012-04-14,2012-04-24,2002,000778,,,
2012-04-14,2012-04-24,2002,600006,,,
2012-04-14,2012-04-24,2002,600085,,,
2012-04-14,2012-04-24,2002,600188,,,
2012-04-14,2012-04-24,2002,600276,,,
2012-04-14,2012-04-24,2002,600519,,,
2012-04-14,2012-04-24,2002,600717,,,
2012-04-14,2012-04-24,2003,600585,,,
2012-04-14,2012-04-24,2003,600660,,,
2012-04-14,2012-04-24,2004,000792,,,
2012-04-14,2012-04-24,2004,000933,,,
2012-04-14,2012-04-24,2005,600900,,,
2012-04-14,2012-04-24,2008,002152,,,
2012-04-14,2012-04-24,2009,002022,,,
2012-04-14,2012-04-24,2009,002275,,,
2012-04-14,2012-04-24,2009,002304,,,
2012-04-14,2012-04-24,2010,002415,,,
2012-04-14,2012-04-24,2011,002223,,,
2012-04-14,2012-04-24,2011,002063,,,
2012-04-14,2012-04-24,2011,600436,,,
2012-04-24,2012-04-30,2002,000778,,,
2012-04-24,2012-04-30,2002,600006,,,
2012-04-24,2012-04-30,2002,600085,,,
2012-04-24,2012-04-30,2002,600188,,,
2012-04-24,2012-04-30,2002,600276,,,
2012-04-24,2012-04-30,2002,600519,,,
2012-04-24,2012-04-30,2002,600717,,,
2012-04-24,2012-04-30,2003,600585,,,
2012-04-24,2012-04-30,2003,600660,,,
2012-04-24,2012-04-30,2004,000792,,,
2012-04-24,2012-04-30,2004,000933,,,
2012-04-24,2012-04-30,2005,600900,,,
2012-04-24,2012-04-30,2008,002152,,,
2012-04-24,2012-04-30,2009,002022,,,
2012-04-24,2012-04-30,2009,002275,,,
2012-04-24,2012-04-30,2009,002304,,,
2012-04-24,2012-04-30,2010,002415,,,
2012-04-24,2012-04-30,2011,002223,,,
2012-04-24,2012-04-30,2011,002063,,,
2012-04-24,2012-04-30,2011,600436,,,
2012-04-24,2012-04-30,2011,000887,,,
2012-04-30,2013-03-18,2002,000778,,,
2012-04-30,2013-03-18,2002,600006,,,
2012-04-30,2013-03-18,2002,600085,,,
2012-04-30,2013-03-18,2002,600188,,,
2012-04-30,2013-03-18,2002,600276,,,
2012-04-30,2013-03-18,2002,600519,,,
2012-04-30,2013-03-18,2002,600717,,,
2012-04-30,2013-03-18,2003,600585,,,
2012-04-30,2013-03-18,2003,600660,,,
2012-04-30,2013-03-18,2004,000792,,,
2012-04-30,2013-03-18,2004,000933,,,
2012-04-30,2013-03-18,2005,600900,,,
2012-04-30,2013-03-18,2008,002152,,,
2012-04-30,2013-03-18,2009,002022,,,
2012-04-30,2013-03-18,2009,002275,,,
2012-04-30,2013-03-18,2009,002304,,,
2012-04-30,2013-03-18,2010,002415,,,
2012-04-30,2013-03-18,2011,002223,,,
2012-04-30,2013-03-18,2011,002063,,,
2012-04-30,2013-03-18,2011,600436,,,
2012-04-30,2013-03-18,2011,000887,,,
2012-04-30,2013-03-18,2011,002252,,,
2013-03-18,2013-03-30,2002,000778,,,
2013-03-18,2013-03-30,2002,600006,,,
2013-03-18,2013-03-30,2002,600085,,,
2013-03-18,2013-03-30,2002,600188,,,
2013-03-18,2013-03-30,2002,600276,,,
2013-03-18,2013-03-30,2002,600519,,,
2013-03-18,2013-03-30,2002,600717,,,
