security_code,orig_year,recheck_year,delay,why,orig_reason_head
601001,2006,2007,1,摊薄次年反映,毛利率四年51.4%~60.5%——在本批三家煤炭公司中最高，与2002档已入选的一家煤炭公司（七年53.4~58.8%）处同一档次，指向优质煤种与低开采成本；
601088,2007,2008,1,摊薄次年反映,毛利率四年48.5%~55.7%——与2002档已入选的一家煤炭公司（七年53.4~58.8%）处同一最优档次，ROE四年19.8~35.0%，煤矿资源属不可复
002216,2008,2009,1,摊薄次年反映,毛利率2005-2008四年落在34.8%~38.1%且逐年小幅上行，净利五年由0.08亿单调增至0.80亿无一年下滑，营收由5.8亿增至13.8亿（2.4倍）
002225,2008,2009,1,摊薄次年反映,毛利率2004-2008五年落在35.3%~42.2%，净利五年由0.28亿单调增至1.06亿无一年下滑，营收由4.0亿增至10.5亿（2.6倍），且经营范围含
002267,2008,2009,1,摊薄次年反映,毛利率2005-2008四年落在25.6%~27.4%的1.8pp极窄区间，净利四年由1.24亿单调增至2.95亿无一年下滑，上市摊薄后ROE仍达24.0%；天
601899,2008,2009,1,摊薄次年反映,经营范围首项为矿产资源勘查与金铜矿采选，采矿权由行政特许配置、储量不可用资本复制，毛利率2005-2008四年38.8%~48.9%、ROE 24.5%~57.
002080,2008,2010,2,默认顺延两年,毛利率2003-2008六年落在24.6%~28.7%的4.1pp窄区间且2008年升至区间最高，净利六年由0.22亿单调增至0.94亿无一年下滑——水平与稳定
002123,2008,2010,2,默认顺延两年,毛利率2003-2008六年落在46.8%~57.3%，净利六年由0.08亿单调增至1.30亿（16.3倍）无一年下滑，上市摊薄后2007-2008 ROE仍有
002154,2008,2010,2,默认顺延两年,毛利率2004-2008由34.8%单调升至48.7%、五年累计升13.9pp，净利五年由0.27亿单调增至1.23亿无一年下滑，上市摊薄后2008年ROE仍有
002179,2008,2010,2,默认顺延两年,毛利率2004-2008五年落在32.8%~40.3%、2008年仍有33.0%，净利五年由0.34亿单调增至1.12亿无一年下滑，营收由2.3亿增至10.8亿
002294,2009,2010,1,摊薄次年反映,毛利率2005-2009由43.9%单调升至55.7%、五年累计升11.8pp，净利五年由0.09亿增至2.16亿（24倍）无一年下滑，上市摊薄后ROE仍有32
300003,2009,2010,1,摊薄次年反映,毛利率2006-2009四年由70.9%单调升至81.7%、累计升10.8pp，净利四年由0.64亿单调增至2.92亿（4.6倍）无一年下滑，2009年净利率达
300015,2009,2010,1,摊薄次年反映,毛利率2006-2009四年落在51.6%~57.1%，净利四年由0.15亿单调增至0.92亿无一年下滑，营收由1.9亿增至6.1亿（3.2倍），上市摊薄后RO
