as_of_year,security_code,security_name,listed_on,years_listed,roe_avg5,roe_min5,roe_years,gross_margin,net_margin,revenue_yi,profit_yi,revenue_cagr,profit_cagr,today_class,today_in_pool
2010,600629,华建集团,1993-02-09,17,6.3162,0.1007,5,0.2452,0.0953,7.57,0.72,0.3795,-0.0653,boundary_pending,0
2010,000921,海信家电,1999-07-13,11,2.9326,2.9326,5,0.1636,0.0331,176.90,5.85,0.2618,0.9308,boundary_pending,0
2010,600734,*ST实达,1996-08-08,14,2.3010,0.0000,5,0.3117,0.0195,13.65,0.27,0.2378,,boundary_pending,0
2010,000034,神州数码,1994-05-09,16,1.3404,1.3404,5,0.1651,1.2387,4.02,4.98,0.0201,,boundary_pending,0
2010,600515,海南机场,2002-08-06,8,1.3252,-0.7591,5,0.2752,0.1847,4.70,0.87,0.0330,0.4557,boundary_pending,0
2010,000935,四川双马,1999-08-24,11,0.7510,-0.1049,5,0.2262,0.1391,17.32,2.41,0.3120,,boundary_pending,0
2010,300146,汤臣倍健,2010-12-15,0,0.7243,0.6018,4,0.6447,0.2661,3.46,0.92,0.7299,0.9657,worth_attention,1
2010,300122,智飞生物,2010-09-28,0,0.7054,0.2736,4,0.6347,0.3483,7.37,2.57,0.1440,0.1910,boundary_pending,0
2010,002399,海普瑞,2010-05-06,0,0.6776,0.2207,5,0.4209,0.3139,38.53,12.10,0.9299,1.2418,boundary_pending,0
2010,601717,中创智领,2010-08-03,0,0.6589,0.2936,4,0.2469,0.1307,67.52,8.83,0.4200,0.6305,boundary_pending,0
2010,000818,航锦科技,1997-10-17,13,0.6326,-0.2165,5,-0.0501,0.6369,18.21,11.59,-0.0995,1.2919,boundary_pending,0
2010,002415,海康威视,2010-05-28,0,0.6114,0.2735,5,0.5164,0.2917,36.05,10.52,0.5055,0.5018,worth_attention,1
2010,002304,洋河股份,2009-11-06,1,0.5895,0.3713,5,0.5631,0.2894,76.19,22.05,0.6330,0.8840,worth_attention,1
2010,300124,汇川技术,2010-09-28,0,0.5831,0.2787,4,0.5305,0.3266,6.75,2.20,0.6176,0.6462,worth_attention,1
2010,002416,爱施德,2010-05-28,0,0.5748,0.2244,5,0.1499,0.0548,108.88,5.97,0.3585,0.7083,boundary_pending,0
2010,300080,易成新能,2010-06-25,0,0.5729,0.1235,4,0.2155,0.1228,12.10,1.49,0.8256,0.8898,boundary_pending,0
2010,002337,赛象科技,2010-01-15,0,0.5698,0.0726,5,0.3073,0.1790,5.13,0.92,-0.0331,-0.1280,boundary_pending,0
2010,000506,招金黄金,1993-03-12,17,0.5584,0.3388,5,0.4891,0.2365,11.97,2.83,2.4924,,boundary_pending,0
2010,002405,四维图新,2010-05-18,0,0.5448,0.3122,5,0.8816,0.3449,6.75,2.33,0.4996,0.7226,boundary_pending,0
2010,300039,上海凯宝,2010-01-08,0,0.5399,0.1043,5,0.8218,0.2050,6.03,1.24,0.3798,0.5604,boundary_pending,0
2010,002315,焦点科技,2009-12-09,1,0.5353,0.1014,5,0.8454,0.4516,3.33,1.50,0.6621,0.9293,boundary_pending,0
2010,002437,誉衡药业,2010-06-23,0,0.5329,0.1285,4,0.5321,0.2689,5.75,1.55,0.5192,0.2744,boundary_pending,0
2010,300154,瑞凌股份,2010-12-29,0,0.5280,0.4244,4,0.2824,0.1430,6.16,0.88,0.7546,0.9139,boundary_pending,0
2010,300118,东方日升,2010-09-02,0,0.5152,0.2455,4,0.2213,0.1159,23.75,2.75,1.0435,1.3757,boundary_pending,0
2010,600862,中航高科,1994-05-20,16,0.4977,0.1295,5,0.2354,0.0858,12.87,1.10,0.3821,,worth_attention,1
2010,300026,红日药业,2009-10-30,1,0.4959,0.1054,5,0.6867,0.2658,3.84,1.02,0.6165,0.9294,boundary_pending,0
2010,300129,泰胜风能,2010-10-19,0,0.4895,0.2162,4,0.3392,0.1923,5.68,1.09,0.3707,0.4154,boundary_pending,0
2010,002202,金风科技,2007-12-26,3,0.4889,0.2701,5,0.2346,0.1301,175.96,22.90,0.8414,0.6360,boundary_pending,0
2010,002513,蓝丰生化,2010-12-03,0,0.4889,0.2221,4,0.2213,0.0840,9.14,0.77,0.1841,0.3666,boundary_pending,0
2010,002285,世联行,2009-08-28,1,0.4871,0.2229,5,0.4581,0.1901,12.72,2.42,0.3864,0.3535,boundary_pending,0
2010,601818,光大银行,2010-08-18,0,0.4856,0.1943,5,,0.3600,355.30,127.90,0.2669,0.4822,boundary_pending,0
2010,300142,沃森生物,2010-11-12,0,0.4831,0.3533,4,0.9088,0.4304,3.59,1.54,0.4050,1.7501,boundary_pending,0
2010,002334,英威腾,2010-01-13,0,0.4813,0.1264,5,0.4162,0.2296,5.04,1.16,0.4777,0.5628,boundary_pending,0
2010,002529,海源复材,2010-12-24,0,0.4764,0.1876,5,0.3853,0.1783,3.48,0.62,0.2284,0.0061,boundary_pending,0
2010,300003,乐普医疗,2009-10-30,1,0.4744,0.2166,5,0.8292,0.5330,7.70,4.10,0.4477,0.5939,boundary_pending,0
2010,002496,辉丰股份,2010-11-09,0,0.4706,0.1974,4,0.3040,0.1271,7.92,1.01,0.2248,0.4015,boundary_pending,0
2010,002353,杰瑞股份,2010-02-05,0,0.4700,0.1411,5,0.4158,0.2987,9.44,2.82,0.5046,0.9312,boundary_pending,0
2010,000925,众合科技,1999-06-11,11,0.4699,0.0907,5,0.2097,0.0512,10.48,0.54,0.6938,0.4602,boundary_pending,0
2010,300001,特锐德,2009-10-30,1,0.4600,0.1094,5,0.3579,0.2131,5.30,1.13,0.6612,0.6881,boundary_pending,0
2010,300134,大富科技,2010-10-26,0,0.4511,0.3336,4,0.4471,0.2907,8.63,2.51,0.4049,0.8790,boundary_pending,0
