as_of_year,security_code,security_name,listed_on,years_listed,roe_avg5,roe_min5,roe_years,gross_margin,net_margin,revenue_yi,profit_yi,revenue_cagr,profit_cagr,today_class,today_in_pool
2020,600399,抚顺特钢,2000-12-29,20,2.4148,-0.1725,5,0.2199,0.0879,62.72,5.52,0.0761,,boundary_pending,0
2020,000912,泸天化,1999-06-03,21,0.8585,-1.4813,5,0.1298,0.0678,56.18,3.81,0.1641,,boundary_pending,0
2020,300841,康华生物,2020-06-16,0,0.7035,0.3215,5,0.9395,0.3929,10.39,4.08,0.8285,1.7980,boundary_pending,0
2020,300864,南大环境,2020-08-24,0,0.6667,0.2656,5,0.4467,0.2729,4.84,1.32,0.4845,0.5892,boundary_pending,0
2020,300901,中胤时尚,2020-10-29,0,0.6605,0.2058,5,0.2655,0.1743,5.99,1.04,0.1129,0.4442,boundary_pending,0
2020,002607,中公教育,2011-08-10,9,0.6516,0.6011,5,0.5923,0.2057,112.02,23.04,0.1431,1.4320,boundary_pending,0
2020,300782,卓胜微,2019-06-18,1,0.6202,0.4132,5,0.5260,0.3842,27.92,10.73,0.6408,0.8895,boundary_pending,0
2020,002959,小熊电器,2019-08-23,1,0.6198,0.2367,5,0.3243,0.1170,36.60,4.28,0.3650,0.5641,boundary_pending,0
2020,300861,美畅股份,2020-08-24,0,0.6078,0.2106,5,0.5654,0.3731,12.05,4.50,0.5986,0.4789,boundary_pending,0
2020,688007,光峰科技,2019-07-22,1,0.5884,0.0562,5,0.2852,0.0584,19.49,1.14,0.5307,0.6904,boundary_pending,0
2020,300894,火星人,2020-12-31,0,0.5717,0.2955,5,0.5158,0.1705,16.14,2.75,0.4723,0.5042,boundary_pending,0
2020,688568,中科星图,2020-07-08,0,0.5627,0.2118,5,0.5461,0.2099,7.03,1.47,0.7984,1.2592,boundary_pending,0
2020,603195,公牛集团,2020-02-06,0,0.5606,0.2687,5,0.4012,0.2302,100.51,23.13,0.1699,0.1323,worth_attention,1
2020,605168,三人行,2020-05-28,0,0.5464,0.3352,5,0.1949,0.1292,28.08,3.63,0.6610,0.4954,boundary_pending,0
