date,actual_epoch,actual_net_assets,actual_return_pct,missing_300_on_0831_return_pct,missing_300_on_0831_net_assets,missing_300_on_0828_return_pct,missing_300_on_0828_net_assets
2026-08-28,E1,2811530.99,0.0,0.0,2802617.34,0.0,2810738.34
2026-08-31,E1,2797796.21,-0.4885160451317039,-0.4589326756604617,2789755.213253014,-0.45158817476358415,2798045.3780330135
2026-09-01,E1,2801094.28,-0.3712109180770695,1.2300072551013619,2837089.7366147283,1.2187200686136102,2844993.372225797
2026-09-02,E1,2744620.28,-2.3798674187831215,-1.239330062046451,2767883.660781253,-1.2496212064673662,2775614.757645051
2026-09-03,E1,2750876.84,-2.1573352815862257,-1.5856122322306931,2758178.6966343415,-1.5912217414300933,2766013.2604392087
2026-09-04,E1,2780184.84,-1.1149139067465952,1.461073819828873,2843565.6482247245,1.4473976856126614,2851420.9016817873
2026-09-07,E1,2720585.36,-3.234736886183154,0.31072201232720253,2811325.688996679,0.2954815348243711,2819043.5527869286
2026-09-08,E1,2709775.94,-3.619204282717159,0.05357124161717852,2804118.7369068163,0.03361279837328368,2811683.1078110244
2026-09-09,E1,2763474.84,-1.709252011481488,-0.08068102493206109,2800356.159605164,-0.08777410614998482,2808271.23954585
2026-09-10,E2,2759382.59,-1.854804381864572,-1.3408394980462202,2765038.7397261877,-1.3458364169499637,2772910.399835105
2026-09-11,E3,2697041.98,-4.072123352266521,-3.656432311992097,2700141.5339987464,-3.6577838659566986,2707927.6064852206
2026-09-14,E3,2717482.2,-3.3451094913949375,-3.7056063551551333,2698763.37373828,-3.708825393461457,2706492.9627023228
2026-09-15,E4,2669156.53,-5.063947739021735,-5.3421622072833745,2652896.9756477494,-5.341346324771323,2660607.0709774713
2026-09-16,E4,2650850.83,-5.715041398138743,-6.082127089964217,2632158.5915358253,-6.080683527264963,2639826.236765099
2026-09-17,E4,2632343.18,-6.373317976480852,-6.875043066210463,2609936.190893918,-6.8748467714151,2617504.3859795835
2026-09-18,E4,2660026.61,-5.388678998697449,-6.217554704758865,2628363.073720442,-6.2135104821128495,2636092.818619335
