security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
600897,,2011-11-07,2011-11-18,11,9,1,1344255.00,1297527.00,0.00,-0.034761,0.049860,0.049694,13.6617,60,0.9968,0.0083,14.1259,14.7672,13.4846,跌破建仓日MA60止损
601088,中国神华,2011-11-10,2011-11-22,12,8,1,1180912.00,1128398.00,0.00,-0.044469,0.083685,0.083830,26.1442,60,0.8455,0.2108,32.6316,34.1131,31.1501,跌破建仓日MA60止损
601088,中国神华,2012-02-03,2012-03-23,49,12,1,1719326.00,1640103.00,0.00,-0.046078,0.078592,0.074907,26.0030,60,0.8348,0.1931,32.6316,34.1131,31.1501,跌破建仓日MA60止损
600660,福耀玻璃,2012-02-03,2012-03-28,54,17,1,1747640.00,1634989.00,0.00,-0.064459,0.111965,0.108030,8.1995,60,0.7462,0.3187,11.5256,12.0489,11.0023,跌破建仓日MA60止损
000651,格力电器,2012-02-09,2014-09-16,950,20,17,1592061.00,2606315.00,181950.00,0.637070,0.231263,0.221570,15.0045,60,0.6152,0.6256,30.6261,32.0165,29.2357,换仓：让位给空间更大的000933
000338,潍柴动力,2012-02-14,2012-03-20,35,8,1,805927.00,775500.00,0.00,-0.037754,0.084097,0.088593,33.3847,60,0.6461,0.5669,52.0208,54.3825,49.6591,跌破建仓日MA60止损
600585,,2012-02-15,2012-03-09,23,2,2,227244.00,224960.00,0.00,-0.010051,0.087662,0.087662,16.4495,60,1.0412,-0.0512,16.4229,17.1685,15.6773,换仓：让位给空间更大的002128
600897,,2012-03-20,2012-03-30,10,6,1,830125.00,800108.00,0.00,-0.036160,0.062130,0.041871,12.6952,60,0.9614,0.0495,14.1259,14.7672,13.4846,跌破建仓日MA60止损
002128,电投能源,2012-03-23,2012-03-29,6,4,1,554703.00,519010.00,0.00,-0.064346,0.068196,0.053156,14.8538,60,0.8287,0.2352,19.8744,20.7767,18.9721,跌破建仓日MA60止损
002128,电投能源,2012-04-16,2012-06-14,59,14,1,1702524.00,1561480.00,0.00,-0.082844,0.145434,0.159773,15.2215,60,0.7844,0.2806,19.8744,20.7767,18.9721,跌破建仓日MA60止损
600897,,2012-04-24,2012-07-05,72,12,2,1329166.00,1288462.00,3090.00,-0.030624,0.071377,0.047594,12.8878,60,1.0419,-0.0542,12.9669,13.5556,12.3782,跌破建仓日MA60止损
600585,,2012-05-03,2012-05-07,4,2,1,290759.00,286286.00,0.00,-0.015384,0.012245,0.009069,17.0648,60,0.5449,0.8820,32.4826,33.9573,31.0079,跌破建仓日MA60止损
600309,万华化学,2012-05-10,2012-06-25,46,12,2,1365024.00,1304628.00,0.00,-0.044245,0.085317,0.086262,13.8583,60,1.0171,-0.0141,14.5812,15.2432,13.9192,跌破建仓日MA60止损
600660,福耀玻璃,2012-05-21,2012-06-04,14,5,2,299001.00,287198.00,0.00,-0.039475,0.050733,0.049722,8.5700,60,0.7263,0.3754,12.0757,12.6239,11.5275,跌破建仓日MA60止损
002001,新和成,2012-06-04,2012-07-04,30,12,1,1274606.00,1199182.00,3780.00,-0.059174,0.091364,0.094717,20.3067,60,0.8188,0.2370,26.7816,27.9975,25.5657,跌破建仓日MA60止损
000792,盐湖股份,2012-07-12,2012-08-24,43,14,1,1536222.00,1401750.00,0.00,-0.087534,0.121339,0.128288,32.6110,60,0.9836,-0.0084,34.6067,36.1778,33.0356,跌破建仓日MA60止损
600066,宇通客车,2012-09-03,2012-09-26,23,13,1,1368445.00,1306944.00,0.00,-0.044942,0.068172,0.081939,22.9143,60,0.6879,0.4695,33.7388,35.2705,32.2071,跌破建仓日MA60止损
600585,,2012-09-27,2013-06-17,263,18,1,1386973.00,1254260.00,21700.00,-0.095685,0.331765,0.327907,14.2650,60,0.6021,0.6090,25.2777,26.4253,24.1301,跌破建仓日MA60止损
600309,万华化学,2012-10-09,2012-11-05,27,6,5,579793.00,555611.00,0.00,-0.041708,0.057880,0.051683,13.1558,60,1.0202,-0.0253,13.9679,14.6020,13.3338,换仓：让位给空间更大的000338
002024,,2012-10-10,2012-11-13,34,13,1,648635.00,597506.00,0.00,-0.078826,0.112813,0.108302,6.5832,60,0.8427,0.1635,8.3189,8.6966,7.9412,跌破建仓日MA60止损
600897,,2012-10-11,2012-10-15,4,2,1,224196.00,221244.00,0.00,-0.013167,0.014354,0.015528,12.4932,60,0.9534,0.0640,13.3104,13.9147,12.7061,跌破建仓日MA60止损
601939,建设银行,2012-10-29,2012-11-23,25,6,1,2912.00,2905.00,0.00,-0.002404,0.039352,0.042816,4.0168,60,1.0080,-0.0080,4.0971,4.2831,3.9111,换仓：让位给空间更大的600660
000338,潍柴动力,2012-11-05,2013-06-24,231,13,1,931273.00,792984.00,0.00,-0.148495,0.368011,0.359080,19.2032,60,0.6002,0.6481,35.1532,36.7492,33.5572,跌破建仓日MA60止损
600897,,2012-11-13,2012-11-14,1,1,1,109707.00,108924.00,0.00,-0.007137,0.000000,0.000000,12.5567,60,0.9188,0.1022,13.8983,14.5293,13.2673,跌破建仓日MA60止损
600660,福耀玻璃,2012-12-05,2014-12-26,751,47,12,1461405.00,1941500.00,108600.00,0.328516,0.191886,0.184200,6.1015,60,0.5862,0.6598,12.2658,12.8227,11.7089,换仓：让位给空间更大的000933
600066,宇通客车,2012-12-25,2013-10-15,294,13,7,744009.00,790244.40,3220.00,0.062144,0.163649,0.308506,11.5412,60,0.6461,0.5314,36.4636,38.1190,34.8082,换仓：让位给空间更大的600188
002001,新和成,2013-01-18,2013-02-27,40,8,1,286682.00,275352.00,0.00,-0.039521,0.061417,0.064661,17.9913,60,0.6798,0.4599,27.1535,28.3863,25.9207,跌破建仓日MA60止损
601398,工商银行,2013-07-02,2013-08-28,57,8,2,33442.00,33062.00,0.00,-0.011363,0.025126,0.025570,3.8721,60,0.9837,0.0191,4.0966,4.2826,3.9106,换仓：让位给空间更大的600309
002024,,2013-08-07,2013-10-24,78,5,2,101255.00,162894.00,0.00,0.608750,0.204432,0.191416,5.6942,60,0.7797,0.2920,8.7080,9.1033,8.3127,换仓：让位给空间更大的600188
600585,,2013-08-20,2013-09-06,17,1,1,11291.00,11067.00,0.00,-0.019839,0.071779,0.071779,14.7520,60,0.7547,0.3439,21.6771,22.6612,20.6930,换仓：让位给空间更大的600031
