group,tag,year,return,partial_first_year,period_start,period_end,partial_last_year,exposure_mean,cap_mean
U1,_EBDQ2020091101ex5,2009,0.011084441649999999,True,2009-11-03,2009-12-31,False,0.49739309704290396,
U1,_EBDQ2020091101ex5,2010,-0.03260670073200311,False,2010-01-04,2010-12-31,False,0.8312891435280358,
U1,_EBDQ2020091101ex5,2011,-0.3478893093227511,False,2011-01-04,2011-12-30,False,1.4602317865502388,
U1,_EBDQ2020091101ex5,2012,-0.1711292191754905,False,2012-01-04,2012-12-31,False,0.7235471236185801,
U1,_EBDQ2020091101ex5,2013,-0.0356291764312433,False,2013-01-04,2013-12-31,False,1.673086341764225,
U1,_EBDQ2020091101ex5,2014,0.8212239243584782,False,2014-01-02,2014-12-31,False,1.6844893192649713,
U1,_EBDQ2020091101ex5,2015,0.39809041055086425,False,2015-01-05,2015-12-31,False,1.279035559126694,1.0
U1,_EBDQ2020091101ex5,2016,-0.17775232742298075,False,2016-01-04,2016-12-30,False,1.4206495642282932,1.0
U1,_EBDQ2020091101ex5,2017,0.6537737570814697,False,2017-01-03,2017-12-29,False,1.039053498461397,1.0
U1,_EBDQ2020091101ex5,2018,-0.3077959864552744,False,2018-01-02,2018-12-28,False,1.2471519144962984,1.0
U1,_EBDQ2020091101ex5,2019,1.5081624151959332,False,2019-01-02,2019-12-31,False,1.6617982979861752,
U1,_EBDQ2020091101ex5,2020,0.31865040251201115,False,2020-01-02,2020-12-31,False,1.447359650902902,1.0
U1,_EBDQ2020091101ex5,2021,0.3366448613130404,False,2021-01-04,2021-12-31,False,1.530920846310254,1.0
U1,_EBDQ2020091101ex5,2022,0.3442217436163131,False,2022-01-04,2022-12-30,False,1.681526284371768,
U1,_EBDQ2020091101ex5,2023,0.4330680454138236,False,2023-01-03,2023-12-29,False,1.6940736466146673,
U1,_EBDQ2020091101ex5,2024,0.8594539449352745,False,2024-01-02,2024-12-31,False,1.6798797171417792,
U1,_EBDQ2020091101ex5,2025,1.0018765861904315,False,2025-01-02,2025-12-31,False,1.680838120604329,
U1,_EBDQ2020091101ex5,2026,0.1714770633406415,False,2026-01-05,2026-08-28,True,1.5824512360130076,1.0
U1,_EBDQ2020100501ex5,2010,0.04245254063400439,True,2010-05-05,2010-12-31,False,0.9248258137976515,
U1,_EBDQ2020100501ex5,2011,-0.3477407285077234,False,2011-01-04,2011-12-30,False,1.4598532790775998,
U1,_EBDQ2020100501ex5,2012,-0.17106420922650112,False,2012-01-04,2012-12-31,False,0.7237952491313128,
U1,_EBDQ2020100501ex5,2013,-0.05590308268365274,False,2013-01-04,2013-12-31,False,1.6714151081163644,
U1,_EBDQ2020100501ex5,2014,0.8275297670148345,False,2014-01-02,2014-12-31,False,1.6815537935752702,
U1,_EBDQ2020100501ex5,2015,0.35187281508447765,False,2015-01-05,2015-12-31,False,1.2789938383190897,1.0
U1,_EBDQ2020100501ex5,2016,-0.18769299285895724,False,2016-01-04,2016-12-30,False,1.4218622225451505,1.0
U1,_EBDQ2020100501ex5,2017,0.6532321884139283,False,2017-01-03,2017-12-29,False,1.0390349105852328,1.0
U1,_EBDQ2020100501ex5,2018,-0.3077467126692345,False,2018-01-02,2018-12-28,False,1.2473751898221108,1.0
U1,_EBDQ2020100501ex5,2019,1.515011997533231,False,2019-01-02,2019-12-31,False,1.6618996530341923,
U1,_EBDQ2020100501ex5,2020,0.26711186690972655,False,2020-01-02,2020-12-31,False,1.4470469639663102,1.0
U1,_EBDQ2020100501ex5,2021,0.26591344655001703,False,2021-01-04,2021-12-31,False,1.532687645263603,1.0
U1,_EBDQ2020100501ex5,2022,0.3840242757785082,False,2022-01-04,2022-12-30,False,1.6835279419819922,
U1,_EBDQ2020100501ex5,2023,0.4342914032536265,False,2023-01-03,2023-12-29,False,1.6938735645975682,
U1,_EBDQ2020100501ex5,2024,0.7656156342550993,False,2024-01-02,2024-12-31,False,1.6807160550214422,
U1,_EBDQ2020100501ex5,2025,0.9495969715869665,False,2025-01-02,2025-12-31,False,1.6826500445501955,
U1,_EBDQ2020100501ex5,2026,0.20739158238062338,False,2026-01-05,2026-08-28,True,1.5824826647243082,1.0
U1,_EBDQ2020101101ex5,2010,0.0,True,2010-11-02,2010-12-31,False,0.0,
U1,_EBDQ2020101101ex5,2011,-0.08593146153333353,False,2011-01-04,2011-12-30,False,0.11871139942397838,
U1,_EBDQ2020101101ex5,2012,-0.16765826283183782,False,2012-01-04,2012-12-31,False,0.7237926392180881,
U1,_EBDQ2020101101ex5,2013,-0.01264869436427074,False,2013-01-04,2013-12-31,False,1.6554921320893727,
U1,_EBDQ2020101101ex5,2014,0.7863088004003072,False,2014-01-02,2014-12-31,False,1.6862459412810042,
U1,_EBDQ2020101101ex5,2015,0.3851349485147413,False,2015-01-05,2015-12-31,False,1.2792602162000453,1.0
U1,_EBDQ2020101101ex5,2016,-0.1821377268150185,False,2016-01-04,2016-12-30,False,1.421767518294261,1.0
U1,_EBDQ2020101101ex5,2017,0.6536196503777425,False,2017-01-03,2017-12-29,False,1.0390282058837685,1.0
