group,arm,metric,level_median,paired_delta_median,positive_starts,better_starts
full,EBDQ30,年均换手,5.54446607818347,-1.0195158740764971,0,14
full,EBDQ30,持仓数中位,6.0,-0.5,2,
full,EBDQ30,单票权重中位,0.6157066053092501,-0.031008291348745387,0,
full,EBDQ30,单票权重P90,0.7287234545526606,-0.07448854724289966,0,
full,EBDQ30,单票权重最大,0.9531206512760537,-0.08995164911344322,2,
full,EBDQ30,前三权重中位,1.3318673638746437,-0.11861288563340122,0,
full,EBDQ30,单票超60%天数占比,0.5780444900047342,-0.20323619409519816,0,
full,EBDQ30,滚动3年年化中位,0.37808894502598145,-0.09942172693376572,0,0
full,EBDQ30,滚动3年回撤中位,0.448740202587573,-0.006769545797157828,6,8
full,EBDQ30,滚动3年Calmar中位,0.9159495141121781,-0.24216366581951232,0,
full,EBDQ30,滚动3年Sharpe中位,0.9150522466866308,-0.10461979555427237,1,
full,EBDQ30,滚动3年为负的窗口占比,0.0,-0.010565110565110562,0,
full,EBDQ30,滚动5年年化中位,0.3987641075767757,-0.11109616781957021,1,1
full,EBDQ30,滚动5年年化P25,0.3280546017290896,-0.06768122491765138,1,1
full,EBDQ30,滚动5年年化最差,0.13357019187905728,0.0076455475031750875,8,8
full,EBDQ30,滚动5年回撤中位,0.46744637519887944,0.0009860165621951578,8,6
full,EBDQ30,滚动5年Calmar中位,0.8617881106576506,-0.2283397993483674,0,0
full,EBDQ30,滚动5年Sharpe中位,0.9046692190981886,-0.09437120183390091,1,1
full,EBDQ30,滚动5年为负的窗口占比,0.0,0.0,0,4
full,EBDQ30,滚动5年窗口数,102.0,0.0,0,
full,EBDQ30,互不重叠5年块中位,0.4999513007510062,-0.12459118702519845,0,0
full,EBDQ30,滚动10年年化中位,0.3683822566523385,-0.06952811214672028,1,
full,EBDQ30,滚动10年窗口数,42.0,0.0,0,
full,EBDQ30,逐年收益中位,0.3329225631416625,-0.04222910364703769,0,0
full,EBDQ30,逐年为正比例,0.7596153846153846,0.0,1,
full,EBDQ30,逐年最差,-0.2306230619018098,0.0,5,5
full,EBDQ30,完整自然年数,12.5,0.0,0,
full,EBDQ30,强平次数,0.0,0.0,0,
full,EBDQ30,最低担保比例,1.8065360174459553,0.05025236763815466,10,
full,EBDQ30,最低股票同跌缓冲,0.2803907608269176,0.02060061040398678,10,
full,EBDQ30,最低总资产冲击缓冲,0.2803907608269176,0.020600610403986752,10,
full,EBDQ30,rf覆盖率,1.0,0.0,0,
full,EBDQ30,年化_交易日口径,0.3913471237979359,-0.058400769672035446,1,
full,EBDQ30,最低担保比例日,20200323.0,24748.5,7,
full,EBDQ30,最低股票同跌缓冲日,20200323.0,24748.5,7,
full,EBDQ30,滚动5年年化最差窗口末日,20181228.0,0.0,2,
