group,arm,metric,paired_delta_median
full,BASE,年化,0.0
full,BASE,最大回撤,0.0
full,BASE,Sharpe,0.0
full,BASE,Calmar,0.0
full,BASE,平均仓位,0.0
full,BASE,年均换手,0.0
full,BASE,持仓数中位,0.0
full,BASE,单票权重中位,0.0
full,BASE,单票权重P90,0.0
full,BASE,单票权重最大,0.0
full,BASE,前三权重中位,0.0
full,BASE,单票超60%天数占比,0.0
full,BASE,滚动3年年化中位,0.0
full,BASE,滚动3年回撤中位,0.0
full,BASE,滚动3年Calmar中位,0.0
full,BASE,滚动3年Sharpe中位,0.0
full,BASE,滚动3年为负的窗口占比,0.0
full,BASE,滚动5年年化中位,0.0
full,BASE,滚动5年年化P25,0.0
full,BASE,滚动5年年化最差,0.0
full,BASE,滚动5年回撤中位,0.0
full,BASE,滚动5年Calmar中位,0.0
full,BASE,滚动5年Sharpe中位,0.0
full,BASE,滚动5年为负的窗口占比,0.0
full,BASE,滚动5年窗口数,0.0
full,BASE,互不重叠5年块中位,0.0
full,BASE,滚动10年年化中位,0.0
full,BASE,滚动10年窗口数,0.0
full,BASE,逐年收益中位,0.0
full,BASE,逐年为正比例,0.0
full,BASE,逐年最差,0.0
full,BASE,完整自然年数,0.0
full,BASE,强平次数,0.0
full,BASE,最低担保比例,0.0
full,BASE,最低股票同跌缓冲,0.0
full,BASE,最低总资产冲击缓冲,0.0
full,BASE,rf覆盖率,0.0
full,BASE,年化_交易日口径,0.0
full,BASE,最低担保比例日,0.0
full,BASE,最低股票同跌缓冲日,0.0
full,BASE,滚动5年年化最差窗口末日,0.0
full,BASE,最大回撤起日,0.0
full,BASE,最大回撤止日,0.0
full,BASE,末次净值日,0.0
A,BASE,年化,0.0
A,BASE,最大回撤,0.0
A,BASE,Sharpe,0.0
A,BASE,Calmar,0.0
A,BASE,平均仓位,0.0
A,BASE,年均换手,0.0
A,BASE,持仓数中位,0.0
A,BASE,单票权重中位,0.0
A,BASE,单票权重P90,0.0
A,BASE,单票权重最大,0.0
A,BASE,前三权重中位,0.0
A,BASE,单票超60%天数占比,0.0
A,BASE,滚动3年年化中位,0.0
A,BASE,滚动3年回撤中位,0.0
A,BASE,滚动3年Calmar中位,0.0
A,BASE,滚动3年Sharpe中位,0.0
A,BASE,滚动3年为负的窗口占比,0.0
A,BASE,滚动5年年化中位,0.0
A,BASE,滚动5年年化P25,0.0
A,BASE,滚动5年年化最差,0.0
A,BASE,滚动5年回撤中位,0.0
A,BASE,滚动5年Calmar中位,0.0
A,BASE,滚动5年Sharpe中位,0.0
A,BASE,滚动5年为负的窗口占比,0.0
A,BASE,滚动5年窗口数,0.0
A,BASE,互不重叠5年块中位,0.0
A,BASE,滚动10年年化中位,0.0
A,BASE,滚动10年窗口数,0.0
A,BASE,逐年收益中位,0.0
A,BASE,逐年为正比例,0.0
A,BASE,逐年最差,0.0
A,BASE,完整自然年数,0.0
A,BASE,强平次数,0.0
A,BASE,最低担保比例,0.0
A,BASE,最低股票同跌缓冲,0.0
A,BASE,最低总资产冲击缓冲,0.0
A,BASE,rf覆盖率,0.0
A,BASE,年化_交易日口径,0.0
A,BASE,最低担保比例日,0.0
A,BASE,最低股票同跌缓冲日,0.0
A,BASE,滚动5年年化最差窗口末日,0.0
A,BASE,最大回撤起日,0.0
A,BASE,最大回撤止日,0.0
A,BASE,末次净值日,0.0
full,EBDQ20,年化,-0.050910074300371755
full,EBDQ20,最大回撤,-0.10540626422012617
full,EBDQ20,Sharpe,-0.025675964347151636
full,EBDQ20,Calmar,0.04986503128060665
full,EBDQ20,平均仓位,-0.13908916947356076
full,EBDQ20,年均换手,0.5578163554059334
full,EBDQ20,持仓数中位,0.0
full,EBDQ20,单票权重中位,-0.02242166263657508
full,EBDQ20,单票权重P90,-0.052129967727002846
full,EBDQ20,单票权重最大,-0.05972502678001834
full,EBDQ20,前三权重中位,-0.058375404993517566
full,EBDQ20,单票超60%天数占比,-0.14119686830673167
full,EBDQ20,滚动3年年化中位,-0.0880274938237019
full,EBDQ20,滚动3年回撤中位,-0.034859151126857724
full,EBDQ20,滚动3年Calmar中位,-0.16797141379066
full,EBDQ20,滚动3年Sharpe中位,-0.0811687150772461
full,EBDQ20,滚动3年为负的窗口占比,-0.0035460992907801418
full,EBDQ20,滚动5年年化中位,-0.10112784849709533
full,EBDQ20,滚动5年年化P25,-0.06270372702470017
full,EBDQ20,滚动5年年化最差,0.017059889761345426
full,EBDQ20,滚动5年回撤中位,-0.06316039414028707
