arm,name,kind,verdict,U_excellent,U_group,full_cagr_level,full_cagr_delta_pp,full_roll5_level,full_roll5_delta_pp,full_p25_level,full_p25_delta_pp,full_roll5dd_level,full_roll5dd_delta_pp,full_mdd_level,full_mdd_delta_pp,full_exposure_level,full_exposure_delta_pp,full_block5_level,full_block5_delta_pp,full_turnover_level,full_turnover_delta_pp,A_cagr_level,A_cagr_delta_pp,A_roll5_level,A_roll5_delta_pp,A_p25_level,A_p25_delta_pp,A_roll5dd_level,A_roll5dd_delta_pp,A_mdd_level,A_mdd_delta_pp,A_exposure_level,A_exposure_delta_pp,A_block5_level,A_block5_delta_pp,A_turnover_level,A_turnover_delta_pp,U_cagr_level,U_cagr_delta_pp,U_roll5_level,U_roll5_delta_pp,U_p25_level,U_p25_delta_pp,U_roll5dd_level,U_roll5dd_delta_pp,U_mdd_level,U_mdd_delta_pp,U_exposure_level,U_exposure_delta_pp,U_block5_level,U_block5_delta_pp,U_turnover_level,U_turnover_delta_pp,full_cagr_vs_base_pp,A_cagr_vs_base_pp
BASE,现行BASE,baseline,pass,True,A,0.4572364093852366,0.0,0.5199538620061581,0.0,0.40994352866334094,0.0,0.4697761783723764,0.0,0.6689672533939561,0.0,1.660779467976345,0.0,0.6611546440962315,0.0,6.627633597933826,0.0,0.4891437005216345,0.0,0.526649672725389,0.0,0.3827618687625576,0.0,0.5011818936111451,0.0,0.6525676472556761,0.0,1.6029486154089823,0.0,0.6256808214112366,0.0,6.094836343958129,0.0,0.4891437005216345,0.0,0.526649672725389,0.0,0.3827618687625576,0.0,0.5011818936111451,0.0,0.6525676472556761,0.0,1.6029486154089823,0.0,0.6256808214112366,0.0,6.094836343958129,0.0,0.0,0.0
EBDQ20,低20%分位去融资，其余BASE,percentile,fail,False,U1,0.41457479225796334,-5.091007430037175,0.4275214775925399,-10.112784849709533,0.34386282954176883,-6.270372702470017,0.43410775546837954,-6.316039414028706,0.5787331370062346,-10.540626422012616,1.5144493455894539,-13.908916947356076,0.5525290239118689,-10.99177484839079,7.209768901286403,55.78163554059334,0.39916496717416416,-7.988759795491218,0.3816085817142867,-12.133355187868444,0.28815250556326677,-9.721174273992538,0.5002962111347518,-1.5401827469599338,0.5661201734173047,-6.933864322997146,1.4747478033990045,-12.417368527841932,0.5221746311074684,-11.004584332891637,6.7142896331132,73.16730237408913,0.36121455220404763,-7.572750517892968,0.3816085817142867,-11.250761046410018,0.28815250556326677,-9.721174273992538,0.5002962111347518,-1.5401827469599338,0.5661201734173047,-6.933864322997146,1.4745685844749339,-12.447885284336612,0.4597571867092485,-11.028082995095767,6.018641395617204,57.05718856978956,-5.091007430037175,-7.988759795491218
EBDQ30,低30%分位去融资，其余BASE,percentile,fail,False,U1,0.3898441625991793,-5.8185524486205065,0.3987641075767757,-11.10961678195702,0.3280546017290896,-6.768122491765139,0.46744637519887944,0.09860165621951578,0.55804525223596,-11.850036794951713,1.4512635785131907,-20.885926215213146,0.4999513007510062,-12.459118702519845,5.54446607818347,-101.95158740764971,0.3789959690948528,-9.625090731005127,0.37625278196480627,-11.17174255961164,0.2935488290111151,-10.28213249880553,0.5513533768640437,0.717022960560032,0.5619392801635792,-9.040553526243345,1.4092613462159727,-19.35448475245012,0.47452586783317974,-16.618937747600004,4.98327078842911,-101.26548806812177,0.35385307074144046,-7.687043569029672,0.37625278196480627,-10.98870056170883,0.2935488290111151,-10.28213249880553,0.5513533768640437,0.717022960560032,0.5619392801635792,-9.040553526243345,1.409192447928893,-19.383668583506562,0.44093610504784364,-14.921506154669096,5.113685613781959,-27.769595866724917,-5.8185524486205065,-9.625090731005127
EBDQ40,低40%分位去融资，其余BASE,percentile,fail,False,U2,0.29830595447087416,-13.672265641257319,0.2847069712139789,-22.772906951026485,0.23328020276542483,-14.408017112603721,0.4451732665120779,-1.7464203057175887,0.5331031624408222,-14.20944721462251,1.3666893316078035,-28.52855493975106,0.3848865021687665,-25.739182237998055,5.257945131284341,-130.0196078068625,0.3707362293011651,-10.828698952610393,0.36589994020694594,-10.748014034699072,0.29079753095220295,-10.360736772023316,0.551555838849085,2.754988677433129,0.5517035611823164,-9.163137486355865,1.346448784996884,-24.641416577372198,0.454465231083002,-19.305662280674817,5.1572950594449125,-107.31120604768391,0.3707362293011651,-10.828698952610393,0.36589994020694594,-10.748014034699072,0.29079753095220295,-10.360736772023316,0.551555838849085,2.754988677433129,0.5517035611823164,-9.163137486355865,1.346448784996884,-24.641416577372198,0.454465231083002,-19.305662280674817,5.1572950594449125,-107.31120604768391,-13.672265641257319,-10.828698952610393
EBDS02,利差<2pp去融资，其余BASE,spread,pass,True,U2,0.4572364093852366,0.0,0.5199538620061581,0.0,0.40994352866334094,0.0,0.4697761783723764,0.0,0.6689672533939561,0.0,1.660779467976345,0.0,0.6611546440962315,0.0,6.627633597933826,0.0,0.4891437005216345,0.0,0.526649672725389,0.0,0.3827618687625576,0.0,0.5011818936111451,0.0,0.6525676472556761,0.0,1.6029486154089823,0.0,0.6256808214112366,0.0,6.094836343958129,0.0,0.4891437005216345,0.0,0.526649672725389,0.0,0.3827618687625576,0.0,0.5011818936111451,0.0,0.6525676472556761,0.0,1.6029486154089823,0.0,0.6256808214112366,0.0,6.094836343958129,0.0,0.0,0.0
EBDS03,利差<3pp去融资，其余BASE,spread,fail,True,U2,0.4892917979101039,2.5311019501555787,0.5347570552276463,-0.7805938328164896,0.45692335442477683,4.684435416157706,0.46419085449104697,0.015734360271513204,0.5469716048794804,-11.704305682052606,1.6218891108003568,-3.869961800567634,0.6567029748642531,0.8030959040815078,6.58157128559583,1.6324997121802909,0.5130748758465924,1.7001531090547362,0.5326202279669943,-0.14002457806353563,0.40013710789660517,0.03320697925149885,0.4777421885284905,-1.4187109982739365,0.5545910222426272,-10.237267837403774,1.5767575905310478,-3.962499905977035,0.6435207298155488,0.47029799483795376,6.090900439710853,-4.457273616552282,0.5130748758465924,1.7001531090547362,0.5326202279669943,-0.14002457806353563,0.40013710789660517,0.03320697925149885,0.4777421885284905,-1.4187109982739365,0.5545910222426272,-10.237267837403774,1.5767575905310478,-3.962499905977035,0.6435207298155488,0.47029799483795376,6.090900439710853,-4.457273616552282,2.5311019501555787,1.7001531090547362
EBDS04,利差<4pp去融资，其余BASE,spread,fail,False,U1,0.3830521667749033,-7.546754505128705,0.3862413469088406,-14.89142956054792,0.334221884165501,-7.981325772489423,0.4356633086404226,-3.8298095086415405,0.580805205321324,-10.605604950771214,1.5381394408309412,-11.05532144584631,0.5189954802228784,-12.85662386071073,6.354129959892987,-18.223234550287426,0.42088275170812095,-4.250833122969455,0.39063311319114025,-8.123736241469548,0.318222194578186,-6.744999698513087,0.5281511937252714,-0.4244621573366414,0.5553884722926465,-9.748907752981523,1.507630730955796,-10.926186556949657,0.5413702175094738,-12.43206880130293,5.958031577506937,-6.09446321696363,0.38118721556459345,-4.550693818990547,0.39063311319114025,-8.118362450150174,0.318222194578186,-6.744999698513087,0.5281511937252714,-0.4244621573366414,0.5553884722926465,-9.748907752981523,1.5078019185670424,-10.911555968088472,0.48177784033775384,-12.213229319551349,5.447780829319761,-2.8890747031196096,-7.546754505128705,-4.250833122969455
EBDC30,低30%分位停新增，其余BASE,credit,fail,False,U2,0.3485130995974387,-8.541781768715872,0.38164199929625153,-16.373542756261084,0.2526252104092531,-12.795481541381415,0.5204818665847244,4.166351482634001,0.5592283983994174,-10.873298312703483,1.4949167007488176,-14.987902824820177,0.47004222918349203,-17.490977304437966,5.299853616221247,-140.4162833065421,0.3719768736092254,-10.590323317695349,0.28722399448657066,-14.9039040609509,0.2118408321167411,-13.877699157584411,0.45211851977493195,-5.1939755541164425,0.5641812616435812,-7.5494722588551,1.4435956814144135,-14.956074626361538,0.43793055543660003,-18.18957559158516,4.9051018371382975,-129.31230129378596,0.3719768736092254,-10.590323317695349,0.28722399448657066,-14.9039040609509,0.2118408321167411,-13.877699157584411,0.45211851977493195,-5.1939755541164425,0.5641812616435812,-7.5494722588551,1.4435956814144135,-14.956074626361538,0.43793055543660003,-18.18957559158516,4.9051018371382975,-129.31230129378596,-8.541781768715872,-10.590323317695349
