group,tag,days,covered_days,active_constraint_days,active_sale_days,active_sale_count,below100_days,at100_days,unresolved_days,min_cash,new_active_cash_deficit_days,inherited_active_cash_deficit_days
U1,_EBDQ2020091101ex5,4088,4088,555,5,50,0,555,0,-20297.6109,0,0
U1,_EBDQ2020100501ex5,3965,3965,555,5,41,0,555,0,-517.73582,0,0
U1,_EBDQ2020101101ex5,3847,3847,555,5,56,0,555,0,-955.2899885568768,0,0
U1,_EBDQ2020110501ex5,3725,3725,555,5,46,0,555,0,-80852.64978,0,0
U1,_EBDQ2020111101ex5,3602,3602,555,5,58,0,555,0,-60892.83269999999,0,0
U1,_EBDQ2020120501ex5,3483,3483,555,5,60,0,555,0,-1436.6496931128204,0,0
U1,_EBDQ2020121101ex5,3358,3358,555,5,73,0,555,0,-25532.41572,0,0
U1,_EBDQ2020130501ex5,3241,3241,555,5,51,0,555,0,-271480.11285197845,0,0
U1,_EBDQ2020131101ex5,3120,3120,555,5,46,0,555,0,-816.6116322167218,0,0
U1,_EBDQ2020140501ex5,2998,2998,555,5,67,0,555,0,-37577.99219723733,0,0
U1,_EBDQ2020141101ex5,2875,2875,555,5,57,0,555,0,-60277.928099999954,0,0
U1,_EBDQ2020150501ex5,2754,2754,533,4,38,0,533,0,-419.20139537751675,0,0
U1,_EBDQ2020151101ex5,2632,2632,470,4,38,0,470,0,-235588.53549999997,0,0
U1,_EBDQ2020160501ex5,2509,2509,470,4,48,0,470,0,-183098.13857999997,0,0
U1,_EBDQ3020091101ex5,4088,4088,917,7,78,0,917,0,-240.5833116886206,0,0
U1,_EBDQ3020100501ex5,3965,3965,917,7,80,0,917,0,-92766.95141413051,0,0
U1,_EBDQ3020101101ex5,3847,3847,917,7,93,0,917,0,-638.6102100000003,0,0
U1,_EBDQ3020110501ex5,3725,3725,917,7,93,0,917,0,-787.51932,0,0
U1,_EBDQ3020111101ex5,3602,3602,917,7,94,0,917,0,-457.55445221532136,0,0
U1,_EBDQ3020120501ex5,3483,3483,917,7,99,0,917,0,-1353.30691,0,0
U1,_EBDQ3020121101ex5,3358,3358,917,7,102,0,917,0,-243075.49502396124,0,0
U1,_EBDQ3020130501ex5,3241,3241,917,7,72,0,917,0,-54474.12258000004,0,0
U1,_EBDQ3020131101ex5,3120,3120,917,7,95,0,917,0,-13191.948,0,0
U1,_EBDQ3020140501ex5,2998,2998,917,7,99,0,917,0,-568.3539279010147,0,0
U1,_EBDQ3020141101ex5,2875,2875,917,7,99,0,917,0,-407.2074867496267,0,0
U1,_EBDQ3020150501ex5,2754,2754,895,6,62,0,895,0,-38298.62358,0,0
U1,_EBDQ3020151101ex5,2632,2632,811,6,58,0,811,0,-30475.736608377305,0,0
U1,_EBDQ3020160501ex5,2509,2509,791,5,65,0,791,0,-470.0887459507212,0,0
U1,_EBDS0420091101ex5,4088,4088,902,5,58,0,902,0,-812.2929327953607,0,0
U1,_EBDS0420100501ex5,3965,3965,779,5,68,0,779,0,-981.127553358674,0,0
U1,_EBDS0420101101ex5,3847,3847,661,5,69,0,661,0,-1056.8706157766283,0,0
U1,_EBDS0420110501ex5,3725,3725,539,5,66,0,539,0,-814.6993249701336,0,0
U1,_EBDS0420111101ex5,3602,3602,454,5,63,0,454,0,-1237.753252401948,0,0
U1,_EBDS0420120501ex5,3483,3483,454,5,64,0,454,0,-1379.1610550656915,0,0
U1,_EBDS0420121101ex5,3358,3358,454,5,61,0,454,0,-258031.27269,0,0
U1,_EBDS0420130501ex5,3241,3241,454,5,58,0,454,0,-19867.8732,0,0
U1,_EBDS0420131101ex5,3120,3120,454,5,43,0,454,0,-302635.2798,0,0
U1,_EBDS0420140501ex5,2998,2998,454,5,57,0,454,0,-40119.51216,0,0
U1,_EBDS0420141101ex5,2875,2875,454,5,55,0,454,0,-375908.55582,0,0
U1,_EBDS0420150501ex5,2754,2754,432,4,39,0,432,0,-42554.0262,0,0
U1,_EBDS0420151101ex5,2632,2632,348,4,44,0,348,0,-4197.42885,0,0
U1,_EBDS0420160501ex5,2509,2509,348,4,38,0,348,0,-899.697062894702,0,0
full_A,_EBDC3020091101,4088,4088,917,0,0,0,917,0,-5758.48518,0,0
full_A,_EBDC3020091101ex5,4088,4088,917,0,0,0,917,0,-465.76234,0,0
full_A,_EBDC3020100501,3965,3965,917,0,0,0,917,0,-50136.39813,0,0
full_A,_EBDC3020100501ex5,3965,3965,917,0,0,0,917,0,-517.73582,0,0
full_A,_EBDC3020101101,3847,3847,917,0,0,0,917,0,-2920.21758,0,0
full_A,_EBDC3020101101ex5,3847,3847,917,0,0,0,917,0,-105929.34366,0,0
full_A,_EBDC3020110501,3725,3725,917,0,0,0,917,0,-2720.33958,0,0
full_A,_EBDC3020110501ex5,3725,3725,917,0,0,0,917,0,-57574.8579,0,0
full_A,_EBDC3020111101,3602,3602,917,0,0,0,917,0,-432.77662,0,0
full_A,_EBDC3020111101ex5,3602,3602,917,0,0,0,917,0,-460.76234,0,0
full_A,_EBDC3020120501,3483,3483,917,0,0,0,917,0,-561.65718,0,0
full_A,_EBDC3020120501ex5,3483,3483,917,0,0,0,917,0,-132806.93832,0,0
full_A,_EBDC3020121101,3358,3358,917,0,0,0,917,0,-1288.21371,0,0
full_A,_EBDC3020121101ex5,3358,3358,917,0,0,0,917,0,-143450.0022204563,0,0
full_A,_EBDC3020130501,3241,3241,917,0,0,0,917,0,-3056.13462,0,0
full_A,_EBDC3020130501ex5,3241,3241,917,0,0,0,917,0,-638.6102099999998,0,0
full_A,_EBDC3020131101,3120,3120,917,0,0,0,917,0,-1465.10574,0,0
full_A,_EBDC3020131101ex5,3120,3120,917,0,0,0,917,0,-53879.09570000006,0,0
full_A,_EBDC3020140501,2998,2998,917,0,0,0,917,0,-4395.31722,0,0
full_A,_EBDC3020140501ex5,2998,2998,917,0,0,0,917,0,-256.88201000000004,0,0
full_A,_EBDC3020141101,2875,2875,917,0,0,0,917,0,-230895.06804,0,0
full_A,_EBDC3020141101ex5,2875,2875,917,0,0,0,917,0,-404.79089999999997,0,0
full_A,_EBDC3020150501,2754,2754,895,0,0,0,895,0,-404.79089999999997,0,0
full_A,_EBDC3020150501ex5,2754,2754,895,0,0,0,895,0,-110440.14708,0,0
full_A,_EBDC3020151101,2632,2632,811,0,0,0,811,0,-76731.16542,0,18
full_A,_EBDC3020151101ex5,2632,2632,811,0,0,0,811,0,-429.7807,0,0
full_A,_EBDC3020160501,2509,2509,791,0,0,0,791,0,-640.4029121519998,0,0
full_A,_EBDC3020160501ex5,2509,2509,791,0,0,0,791,0,-141657.53616,0,133
full_A,_EBDQ2020091101,4088,4088,555,5,49,0,555,0,-5758.48518,0,0
full_A,_EBDQ2020091101ex5,4088,4088,555,5,54,0,555,0,-20297.6109,0,0
full_A,_EBDQ2020100501,3965,3965,555,5,63,0,555,0,-50136.39813,0,0
full_A,_EBDQ2020100501ex5,3965,3965,555,5,43,0,555,0,-788.1672734403983,0,0
full_A,_EBDQ2020101101,3847,3847,555,5,47,0,555,0,-941.51958,0,0
full_A,_EBDQ2020101101ex5,3847,3847,555,5,58,0,555,0,-1077.553998336196,0,0
full_A,_EBDQ2020110501,3725,3725,555,5,44,0,555,0,-1465.10574,0,0
full_A,_EBDQ2020110501ex5,3725,3725,555,5,46,0,555,0,-80852.64978,0,0
full_A,_EBDQ2020111101,3602,3602,555,5,65,0,555,0,-194779.11222,0,0
full_A,_EBDQ2020111101ex5,3602,3602,555,5,58,0,555,0,-60892.83269999999,0,0
full_A,_EBDQ2020120501,3483,3483,555,5,74,0,555,0,-724.6277,0,0
full_A,_EBDQ2020120501ex5,3483,3483,555,5,60,0,555,0,-1796.8303563445807,0,0
full_A,_EBDQ2020121101,3358,3358,555,5,65,0,555,0,-393104.80811868433,0,0
full_A,_EBDQ2020121101ex5,3358,3358,555,5,69,0,555,0,-25532.41572,0,0
full_A,_EBDQ2020130501,3241,3241,555,5,60,0,555,0,-1464.992072403431,0,0
full_A,_EBDQ2020130501ex5,3241,3241,555,5,55,0,555,0,-271480.11285197845,0,0
full_A,_EBDQ2020131101,3120,3120,555,5,60,0,555,0,-1601.5480173360556,0,0
full_A,_EBDQ2020131101ex5,3120,3120,555,5,46,0,555,0,-1472.4692545160651,0,0
full_A,_EBDQ2020140501,2998,2998,555,5,52,0,555,0,-1574.19675,0,0
full_A,_EBDQ2020140501ex5,2998,2998,555,5,69,0,555,0,-37577.99219723733,0,0
full_A,_EBDQ2020141101,2875,2875,555,5,71,0,555,0,-1686.9893435910344,0,0
full_A,_EBDQ2020141101ex5,2875,2875,555,5,57,0,555,0,-60277.928099999954,0,0
full_A,_EBDQ2020150501,2754,2754,533,4,44,0,533,0,-1030.8155561145395,0,0
full_A,_EBDQ2020150501ex5,2754,2754,533,4,42,0,533,0,-659.1730789551511,0,0
full_A,_EBDQ2020151101,2632,2632,470,4,47,0,470,0,-1308.6174437720329,0,0
full_A,_EBDQ2020151101ex5,2632,2632,470,4,38,0,470,0,-235588.53549999997,0,0
full_A,_EBDQ2020160501,2509,2509,470,4,42,0,470,0,-2900.22978,0,0
full_A,_EBDQ2020160501ex5,2509,2509,470,4,48,0,470,0,-183098.13857999997,0,0
full_A,_EBDQ3020091101,4088,4088,917,7,96,0,917,0,-5758.48518,0,0
full_A,_EBDQ3020091101ex5,4088,4088,917,7,80,0,917,0,-403.42743619997054,0,0
full_A,_EBDQ3020100501,3965,3965,917,7,90,0,917,0,-50136.39813,0,0
full_A,_EBDQ3020100501ex5,3965,3965,917,7,78,0,917,0,-92766.95141413051,0,0
full_A,_EBDQ3020101101,3847,3847,917,7,71,0,917,0,-4380.32637,0,0
full_A,_EBDQ3020101101ex5,3847,3847,917,7,93,0,917,0,-638.6102100000003,0,0
full_A,_EBDQ3020110501,3725,3725,917,7,89,0,917,0,-1526.06853,0,0
full_A,_EBDQ3020110501ex5,3725,3725,917,7,94,0,917,0,-787.51932,0,0
full_A,_EBDQ3020111101,3602,3602,917,7,80,0,917,0,-466.81685598473996,0,0
full_A,_EBDQ3020111101ex5,3602,3602,917,7,93,0,917,0,-457.55445221532136,0,0
full_A,_EBDQ3020120501,3483,3483,917,7,71,0,917,0,-309.8792974948883,0,0
full_A,_EBDQ3020120501ex5,3483,3483,917,7,101,0,917,0,-1353.30691,0,0
full_A,_EBDQ3020121101,3358,3358,917,7,80,0,917,0,-1288.21371,0,0
full_A,_EBDQ3020121101ex5,3358,3358,917,7,104,0,917,0,-243075.49502396124,0,0
full_A,_EBDQ3020130501,3241,3241,917,7,75,0,917,0,-802.3151444382966,0,0
full_A,_EBDQ3020130501ex5,3241,3241,917,7,74,0,917,0,-54474.12258000004,0,0
full_A,_EBDQ3020131101,3120,3120,917,7,93,0,917,0,-1106.7866513319314,0,0
full_A,_EBDQ3020131101ex5,3120,3120,917,7,95,0,917,0,-13191.948,0,0
full_A,_EBDQ3020140501,2998,2998,917,7,71,0,917,0,-731.1780707910657,0,0
full_A,_EBDQ3020140501ex5,2998,2998,917,7,100,0,917,0,-575.70624,0,0
full_A,_EBDQ3020141101,2875,2875,917,7,76,0,917,0,-1352.1746699999999,0,0
full_A,_EBDQ3020141101ex5,2875,2875,917,7,102,0,917,0,-575.70624,0,0
full_A,_EBDQ3020150501,2754,2754,895,6,61,0,895,0,-538.9939076825976,0,0
full_A,_EBDQ3020150501ex5,2754,2754,895,6,62,0,895,0,-38298.62358,0,0
full_A,_EBDQ3020151101,2632,2632,811,6,63,0,811,0,-824.7758744442835,0,0
full_A,_EBDQ3020151101ex5,2632,2632,811,6,59,0,811,0,-30475.736608377305,0,0
full_A,_EBDQ3020160501,2509,2509,791,5,57,0,791,0,-703.6941180825233,0,0
full_A,_EBDQ3020160501ex5,2509,2509,791,5,65,0,791,0,-299.2500764383003,0,0
full_A,_EBDQ4020091101,4088,4088,1260,5,56,0,1260,0,-5758.48518,0,0
full_A,_EBDQ4020091101ex5,4088,4088,1260,5,62,0,1260,0,-1399.14295,0,0
full_A,_EBDQ4020100501,3965,3965,1197,5,75,0,1197,0,-50136.39813,0,0
full_A,_EBDQ4020100501ex5,3965,3965,1197,5,57,0,1197,0,-517.73582,0,0
full_A,_EBDQ4020101101,3847,3847,1197,5,55,0,1197,0,-602.69247,0,0
full_A,_EBDQ4020101101ex5,3847,3847,1197,5,71,0,1197,0,-405.79141,0,0
full_A,_EBDQ4020110501,3725,3725,1197,5,65,0,1197,0,-373.80926,0,0
full_A,_EBDQ4020110501ex5,3725,3725,1197,4,55,0,1197,0,-165267.12552,0,0
full_A,_EBDQ4020111101,3602,3602,1197,5,62,0,1197,0,-352.81997,0,0
full_A,_EBDQ4020111101ex5,3602,3602,1197,5,73,0,1197,0,-315.6817981079221,0,0
full_A,_EBDQ4020120501,3483,3483,1197,5,65,0,1197,0,-316.80663000000004,0,0
full_A,_EBDQ4020120501ex5,3483,3483,1197,5,61,0,1197,0,-1353.30691,0,0
full_A,_EBDQ4020121101,3358,3358,1197,5,70,0,1197,0,-1288.21371,0,0
full_A,_EBDQ4020121101ex5,3358,3358,1197,5,72,0,1197,0,-575.70624,0,0
full_A,_EBDQ4020130501,3241,3241,1197,5,64,0,1197,0,-701.37178,0,0
full_A,_EBDQ4020130501ex5,3241,3241,1197,5,64,0,1197,0,-5076.9012,0,0
full_A,_EBDQ4020131101,3120,3120,1197,5,56,0,1197,0,-195372.74988,0,0
full_A,_EBDQ4020131101ex5,3120,3120,1197,5,68,0,1197,0,-6033.318060000003,0,0
full_A,_EBDQ4020140501,2998,2998,1197,4,64,0,1197,0,-541.66938,0,0
full_A,_EBDQ4020140501ex5,2998,2998,1197,4,64,0,1197,0,-530.72664,0,0
full_A,_EBDQ4020141101,2875,2875,1197,4,49,0,1197,0,-602.69247,0,0
full_A,_EBDQ4020141101ex5,2875,2875,1197,4,73,0,1197,0,-106943.40424712803,0,0
full_A,_EBDQ4020150501,2754,2754,1118,3,36,0,1118,0,-346.82303,0,0
full_A,_EBDQ4020150501ex5,2754,2754,1118,3,37,0,1118,0,-429.7807,0,0
full_A,_EBDQ4020151101,2632,2632,1013,3,40,0,1013,0,-1255.2338399999999,0,0
full_A,_EBDQ4020151101ex5,2632,2632,1013,3,37,0,1013,0,-21757.329959782583,0,0
full_A,_EBDQ4020160501,2509,2509,950,3,53,0,950,0,-341.82303,0,0
full_A,_EBDQ4020160501ex5,2509,2509,950,3,50,0,950,0,-535.72664,0,0
full_A,_EBDS0220091101,4088,4088,122,0,0,0,122,0,-5758.48518,0,0
full_A,_EBDS0220091101ex5,4088,4088,122,0,0,0,122,0,-1398.98384713009,0,0
