group,arm,worst_roll5,worst_roll5_start,worst_roll5_window_end,worst_mdd,worst_mdd_start,worst_mdd_from,worst_mdd_to,lowest_margin_ratio,lowest_margin_ratio_start,lowest_margin_ratio_date,lowest_equity_buffer,lowest_equity_buffer_start,lowest_equity_buffer_date,forced_liquidations,forced_liquidation_starts,negative_window_starts,rf_coverage_min,end
full,BASE,-0.05122065202256021,2010-11-01,2016-06-30,0.8022777419174354,2014-11-01,2015-06-09,2016-05-30,1.6768905462316908,2013-05-01,2015-08-25,0.2247556032077581,2013-05-01,2015-08-25,0.0,0,4,0.9845890410958904,2026-08-28
full,EBDQ20,-0.04806786591078893,2010-11-01,2016-06-30,0.6574516551278918,2014-11-01,2015-06-09,2016-05-30,1.8224611980935101,2012-05-01,2013-06-17,0.2866789145579947,2012-05-01,2013-06-17,0.0,0,4,0.9845890410958904,2026-08-28
full,EBDQ30,-0.03616841132258475,2010-11-01,2016-06-30,0.6291990072770848,2014-11-01,2015-06-09,2016-05-30,1.7599924166128158,2013-11-01,2020-03-23,0.26136045375587,2013-11-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
full,EBDQ40,-0.014756532033290082,2010-11-01,2016-06-30,0.646048937616265,2014-11-01,2015-06-09,2016-05-13,1.7962030673949179,2012-11-01,2020-03-23,0.276251096773025,2012-11-01,2020-03-23,0.0,0,1,0.9845890410958904,2026-08-28
full,EBDS02,-0.05122065202256021,2010-11-01,2016-06-30,0.8022777419174354,2014-11-01,2015-06-09,2016-05-30,1.6768905462316908,2013-05-01,2015-08-25,0.2247556032077581,2013-05-01,2015-08-25,0.0,0,4,0.9845890410958904,2026-08-28
full,EBDS03,-0.001377667734560717,2011-05-01,2016-05-31,0.6449152384032376,2014-11-01,2015-06-09,2016-05-30,1.8224611980935101,2012-05-01,2013-06-17,0.2866789145579947,2012-05-01,2013-06-17,0.0,0,1,0.9845890410958904,2026-08-28
full,EBDS04,-0.021430515080714696,2011-05-01,2016-05-31,0.6574516551278918,2014-11-01,2015-06-09,2016-05-30,1.8224611980935101,2012-05-01,2013-06-17,0.2866789145579947,2012-05-01,2013-06-17,0.0,0,3,0.9845890410958904,2026-08-28
full,EBDC30,-0.0266641772790831,2010-11-01,2016-06-30,0.6704146465205789,2014-11-01,2015-06-09,2016-05-30,1.7961446486750656,2014-05-01,2020-03-23,0.27622755719649245,2014-05-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
A,BASE,-0.15428167240463875,2009-11-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.515364214234868,2014-11-01,2015-08-25,0.1421204303307432,2014-11-01,2015-08-25,0.0,0,3,0.9845890410958904,2026-08-28
A,EBDQ20,-0.12929308899516323,2010-05-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.6981895745754603,2016-05-01,2020-03-23,0.23447887122673325,2016-05-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
A,EBDQ30,-0.10539264978473761,2010-05-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.698300099828759,2012-05-01,2020-03-23,0.23452869128896597,2012-05-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
A,EBDQ40,-0.11052330415170875,2010-05-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.7007962740230977,2014-11-01,2020-03-23,0.2356521354994777,2014-11-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
A,EBDS02,-0.15428167240463875,2009-11-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.515364214234868,2014-11-01,2015-08-25,0.1421204303307432,2014-11-01,2015-08-25,0.0,0,3,0.9845890410958904,2026-08-28
A,EBDS03,-0.06504764353092041,2010-05-01,2016-02-29,0.618609215193848,2009-11-01,2011-03-28,2014-03-20,1.7117015944200824,2014-05-01,2020-03-23,0.24052182679631454,2014-05-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
A,EBDS04,-0.042129180889350915,2009-11-01,2016-02-29,0.5994665793111864,2014-05-01,2015-06-15,2016-05-10,1.679426239942956,2011-11-01,2020-03-23,0.22592611150093955,2011-11-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
A,EBDC30,-0.1086154448030423,2009-11-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.7008371470035204,2013-11-01,2020-03-23,0.2356705036162352,2013-11-01,2020-03-23,0.0,0,4,0.9845890410958904,2026-08-28
U1,BASE,-0.15428167240463875,2009-11-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.515364214234868,2014-11-01,2015-08-25,0.1421204303307432,2014-11-01,2015-08-25,0.0,0,3,0.9845890410958904,2026-08-28
U1,EBDQ20,-0.12929308899516323,2010-05-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.6981895745754603,2016-05-01,2020-03-23,0.23447887122673325,2016-05-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
U1,EBDQ30,-0.10539264978473761,2010-05-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.698300099828759,2012-05-01,2020-03-23,0.23452869128896597,2012-05-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
U1,EBDS04,-0.042129180889350915,2009-11-01,2016-02-29,0.5994665793111864,2014-05-01,2015-06-15,2016-05-10,1.679426239942956,2011-11-01,2020-03-23,0.22592611150093955,2011-11-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
U2,BASE,-0.15428167240463875,2009-11-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.515364214234868,2014-11-01,2015-08-25,0.1421204303307432,2014-11-01,2015-08-25,0.0,0,3,0.9845890410958904,2026-08-28
U2,EBDQ40,-0.11052330415170875,2010-05-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.7007962740230977,2014-11-01,2020-03-23,0.2356521354994777,2014-11-01,2020-03-23,0.0,0,2,0.9845890410958904,2026-08-28
