code,first_quote,last_quote,cheap_states,missing_state_quotes,rights_events
600426,2002-06-20,2026-08-28,582,0,0
600486,2002-04-25,2026-08-28,156,0,0
600519,2001-08-27,2026-08-28,474,0,0
600566,2001-08-22,2026-08-07,404,0,0
600585,2002-02-07,2026-08-07,2395,0,0
600660,1993-06-10,2026-08-28,1274,0,2
600690,1993-11-19,2026-08-28,774,0,3
600750,1996-09-23,2026-08-28,244,0,1
600809,1994-01-06,2026-08-28,17,0,1
600887,1996-03-12,2026-08-28,98,0,2
600897,1996-05-31,2026-08-07,1446,0,1
600908,2016-09-23,2026-08-07,144,0,0
600919,2016-08-02,2026-08-28,1265,0,1
600926,2016-10-27,2026-08-07,329,0,0
600928,2019-03-01,2026-08-07,400,0,0
600938,2022-04-21,2026-08-28,868,0,0
600970,2005-04-12,2026-08-28,567,0,0
600989,2019-05-16,2026-08-28,140,0,0
601009,2007-07-19,2026-08-07,1080,0,1
601077,2019-10-29,2026-08-07,578,0,0
601088,2007-10-09,2026-08-07,2289,0,0
601128,2016-09-30,2026-08-07,73,0,0
601138,2018-06-08,2026-08-07,3,0,0
601166,2007-02-05,2026-08-07,1105,0,1
601169,2007-09-19,2026-08-07,1314,0,0
601187,2020-10-27,2026-08-07,748,0,0
601225,2014-01-28,2026-08-07,1723,0,0
601229,2016-11-16,2026-08-07,1293,0,0
601288,2010-07-15,2026-08-07,2115,0,0
601318,2007-03-01,2026-08-07,32,0,0
601328,2007-05-15,2026-08-07,1923,0,1
601398,2006-10-27,2026-08-07,2255,0,1
601515,2012-02-16,2026-08-07,36,0,0
601528,2021-06-25,2026-08-07,135,0,0
601577,2018-09-26,2026-08-07,846,0,0
601658,2019-12-10,2026-08-07,1029,0,0
601665,2021-06-18,2026-08-07,595,0,0
601818,2010-08-18,2026-08-07,1715,0,0
601825,2021-08-19,2026-08-07,1036,0,0
601838,2018-01-31,2026-08-07,879,0,0
601857,2007-11-05,2026-08-07,758,0,0
601899,2008-04-25,2026-08-07,251,0,0
601916,2019-11-26,2026-08-07,512,0,1
601939,2007-09-25,2026-08-07,2169,0,1
601963,2021-02-05,2026-08-07,997,0,0
601965,2012-06-11,2026-08-07,19,0,0
601988,2006-07-05,2026-08-07,2330,0,1
601997,2016-08-16,2026-08-07,985,0,0
601998,2007-04-27,2026-08-07,1372,0,1
603067,2016-09-13,2026-08-07,196,0,0
603156,2018-02-12,2026-08-07,477,0,0
603259,2018-05-08,2026-08-07,146,0,0
603279,2019-07-29,2026-08-07,153,0,0
603323,2016-11-29,2026-08-07,78,0,0
603369,2014-07-03,2026-08-07,250,0,0
603508,2015-12-24,2026-08-07,140,0,0
603529,2021-06-15,2026-08-07,198,0,0
603556,2016-11-10,2026-08-07,16,0,0
603606,2014-10-15,2026-08-07,2,0,0
603993,2012-10-09,2026-08-07,637,0,0
605305,2021-05-06,2026-08-07,30,0,0
688301,2020-09-18,2026-08-07,25,0,0
688516,2020-05-21,2026-08-07,429,0,0
