group,bucket,signals,complete,missing_forward,codes,median,mean,positive_fraction,median_of_code_medians,cash_median,max_code_sample_fraction
pv_daily,"(0,0.6)",9549,9243,306,36,0.31360064596907433,0.36883365932227163,0.7789678675754625,0.41704700147047596,0.3097826086956521,0.1422698258141296
pv_daily,"[0.6,0.8)",28522,25026,3496,84,0.22280734884781395,0.2578667422226355,0.800966994325901,0.2500768244505355,0.21898221132093432,0.056021737393111164
pv_daily,"[0.8,1.0454]",48183,41150,7033,128,0.11869199420454013,0.19774818254253848,0.7109356014580802,0.14449823767272763,0.11642811350625748,0.03965978128797084
pv_daily,all_cheap,86254,75419,10835,128,0.16722307739575148,0.2386645316910181,0.7491480926556968,0.19837253564183777,0.16385068762278987,0.0421511820628754
pv_monthly,"(0,0.6)",479,462,17,29,0.2904437938977188,0.3669530734307506,0.7662337662337663,0.3596382891651666,0.28512499999999996,0.13636363636363635
pv_monthly,"[0.6,0.8)",1501,1301,200,78,0.21628959276018067,0.25267573439081814,0.7986164488854727,0.23199628389675575,0.21226588321703987,0.053804765564950036
pv_monthly,"[0.8,1.0454]",2368,1997,371,115,0.11934187733562496,0.19687394638085906,0.7200801201802705,0.13538352826236366,0.11591050341827236,0.03905858788182273
pv_monthly,all_cheap,4348,3760,588,118,0.16611374067384654,0.23707997906649914,0.7529255319148936,0.18930038213950562,0.16315348673190522,0.0425531914893617
trend_daily,"(0,0.6)",2024,1909,115,20,0.31051814481868756,0.34237836125246796,0.7695128339444736,0.33337073963272534,0.30387863777089796,0.19381875327396542
trend_daily,"[0.6,0.8)",8072,7287,785,66,0.2501272396580547,0.2619809056296612,0.824070262110608,0.20354881619473453,0.2427325581395352,0.0643611911623439
trend_daily,"[0.8,1.0454]",14281,12568,1713,103,0.13490367361171984,0.19626899809376447,0.7300286441756842,0.10682452926493946,0.13239492755583449,0.04583068109484405
trend_daily,all_cheap,24377,21764,2613,104,0.18342370992825185,0.23108637745803778,0.7649788641793788,0.17373022114028358,0.18050328152995232,0.046728542547325856
trend_ma60_episode,"(0,0.6)",136,133,3,20,0.3388323735486689,0.4049670654877046,0.7819548872180451,0.3243522548349878,0.31353772455089834,0.20300751879699247
trend_ma60_episode,"[0.6,0.8)",475,423,52,64,0.23284819609385732,0.2561182228964288,0.8226950354609929,0.26438257912274465,0.22513020833333353,0.05673758865248227
trend_ma60_episode,"[0.8,1.0454]",784,654,130,96,0.13532524652563804,0.2252300806542835,0.7339449541284404,0.13665489764076164,0.13123572523710259,0.04434250764525994
trend_ma60_episode,all_cheap,1395,1210,185,104,0.1846912907945799,0.2557843807793021,0.7702479338842976,0.1957460701247798,0.1809774350575496,0.045454545454545456
trend_ma60_nonoverlap,"(0,0.6)",28,28,0,14,0.37893005069199126,0.4088285276438328,0.7142857142857143,0.4055091762886036,0.36355840011925633,0.17857142857142858
trend_ma60_nonoverlap,"[0.6,0.8)",103,93,10,52,0.16725092730280866,0.22184317833118763,0.7741935483870968,0.19108309324384487,0.162987012987013,0.06451612903225806
trend_ma60_nonoverlap,"[0.8,1.0454]",239,205,34,93,0.10857273416589774,0.20312010141501144,0.7073170731707317,0.12085972850678872,0.10882548108825474,0.03902439024390244
trend_ma60_nonoverlap,all_cheap,370,326,44,104,0.12903773066922664,0.22612955567148807,0.7269938650306749,0.15358645228191614,0.1317135708632856,0.03680981595092025
trend_stop_episode,"(0,0.6)",39,39,0,16,0.2729040097205353,0.5269344145059284,0.7435897435897436,0.22071692851210695,0.2704225352112677,0.1282051282051282
trend_stop_episode,"[0.6,0.8)",99,96,3,38,0.11796648262146359,0.15857739297704085,0.7291666666666666,0.17267277195606223,0.11467517226852841,0.08333333333333333
trend_stop_episode,"[0.8,1.0454]",234,217,17,87,0.10049521042592713,0.21991130903566283,0.6866359447004609,0.14555702178874597,0.09663760217983652,0.04608294930875576
trend_stop_episode,all_cheap,372,352,20,104,0.12076264344513288,0.2372006419098465,0.7045454545454546,0.1625793084767586,0.11675633602796598,0.045454545454545456
