security_code,security_name,close,cached_value,current_value,cached_pv,current_pv,eligible_cached,eligible_current
600519,贵州茅台,1290.88,585.5146,596.0038,2.2047,2.1659,False,False
601899,紫金矿业,34.4,26.291,27.609,1.3084,1.246,False,False
600938,中国海油,34.18,38.1757,38.3987,0.8953,0.8901,True,True
300308,中际旭创,908.9,88.337,89.5193,10.289,10.1531,False,False
002371,北方华创,646.4,111.8553,122.2807,5.7789,5.2862,False,False
688008,澜起科技,195.3,41.8829,40.031,4.663,4.8787,False,False
300124,汇川技术,55.92,19.3314,20.181,2.8927,2.7709,False,False
600660,福耀玻璃,55.14,51.9498,52.6419,1.0614,1.0475,False,False
600406,国电南瑞,22.45,14.879,13.3491,1.5088,1.6818,False,False
300760,迈瑞医疗,165.2,92.4423,91.0036,1.7871,1.8153,False,False
600276,恒瑞医药,44.71,17.4406,17.4051,2.5636,2.5688,False,False
600809,山西汾酒,119.02,80.056,79.0767,1.4867,1.5051,False,False
000568,泸州老窖,76.9,94.2836,89.0311,0.8156,0.8637,False,False
600132,重庆啤酒,39.71,17.7382,17.7814,2.2387,2.2332,False,False
600600,青岛啤酒,51.38,42.0269,41.9068,1.2226,1.2261,False,False
000538,云南白药,50.47,37.1475,35.9515,1.3586,1.4038,False,False
000999,华润三九,24.7,18.796,17.8081,1.3141,1.387,False,False
600285,羚锐制药,19.43,11.0214,10.8376,1.7629,1.7928,False,False
600750,华润江中,23.12,12.0014,11.6481,1.9264,1.9849,False,False
600993,马应龙,22.65,16.8794,17.2642,1.3419,1.312,False,False
000651,格力电器,38.87,69.1112,66.6102,0.5624,0.5835,True,True
600690,海尔智家,21.3,22.1223,22.6542,0.9628,0.9402,True,True
000895,双汇发展,23.89,14.4838,14.4903,1.6494,1.6487,False,False
600887,伊利股份,26.45,18.3802,18.2434,1.439,1.4498,False,False
300866,安克创新,128.2,65.7544,70.6211,1.9497,1.8153,False,False
603529,爱玛科技,21.82,24.8924,30.6563,0.8766,0.7118,True,True
603993,洛阳钼业,19.09,10.7425,10.6867,1.7771,1.7863,False,False
002532,天山铝业,14.04,16.3509,15.391,0.8587,0.9122,True,True
000933,神火股份,28.91,27.4442,25.992,1.0534,1.1123,False,False
600989,宝丰能源,24.91,25.1043,25.1079,0.9923,0.9921,True,True
603505,金石资源,15.57,5.6206,5.8649,2.7702,2.6548,False,False
000893,亚钾国际,43.23,26.0743,26.0792,1.658,1.6576,False,False
002179,中航光电,34.6,19.2784,19.155,1.7948,1.8063,False,False
300502,新易盛,414.8,54.6119,56.2158,7.5954,7.3787,False,False
300394,天孚通信,258.03,17.8419,16.3218,14.462,15.8089,False,False
002463,沪电股份,127.55,20.5161,20.6723,6.2171,6.1701,False,False
002938,鹏鼎控股,92.45,20.0281,20.7279,4.616,4.4602,False,False
600183,生益科技,148.16,13.0203,12.9383,11.3792,11.4513,False,False
002138,顺络电子,47.83,17.3442,16.7355,2.7577,2.858,False,False
002222,福晶科技,66.51,8.9871,8.5435,7.4006,7.7849,False,False
300408,三环集团,117.77,20.0524,20.2186,5.8731,5.8248,False,False
600563,法拉电子,123.06,50.0223,52.6828,2.4601,2.3359,False,False
600885,宏发股份,35.43,17.0947,16.9158,2.0726,2.0945,False,False
300811,铂科新材,83.01,16.152,15.7619,5.1393,5.2665,False,False
688300,联瑞新材,181.79,12.8704,12.9395,14.1247,14.0492,False,False
688072,拓荆科技,631.18,81.3958,95.3356,7.7545,6.6206,False,False
688120,华海清科,240.3,27.9821,29.3438,8.5876,8.1891,False,False
688200,华峰测控,353.99,62.2231,60.7001,5.689,5.8318,False,False
301589,诺瓦星云,144.5,106.0506,101.4169,1.3626,1.4248,False,False
688188,柏楚电子,96.18,37.8962,37.2153,2.538,2.5844,False,False
688018,乐鑫科技,108.38,34.7267,34.7575,3.1209,3.1182,False,False
688692,达梦数据,208.18,64.8773,63.4939,3.2088,3.2787,False,False
002050,三花智控,36.19,15.5793,15.5366,2.323,2.3293,False,False
002595,豪迈科技,40.86,27.5321,24.4245,1.4841,1.6729,False,False
601100,恒立液压,101.63,23.0485,23.0247,4.4094,4.414,False,False
300627,华测导航,27.65,11.8458,10.6602,2.3342,2.5938,False,False
300628,亿联网络,39.94,22.1532,21.4915,1.8029,1.8584,False,False
300776,帝尔激光,113.86,32.6377,30.5519,3.4886,3.7268,False,False
605305,中际联合,31.89,38.359,36.5137,0.8314,0.8734,False,False
688208,道通科技,25.27,17.3942,16.7627,1.4528,1.5075,False,False
600970,中材国际,7.86,14.7905,14.7396,0.5314,0.5333,True,True
002920,德赛西威,85.42,62.8025,62.9973,1.3601,1.3559,False,False
002594,比亚迪,85.88,57.4053,72.8036,1.496,1.1796,False,False
300274,阳光电源,87.0,76.5943,84.5652,1.1359,1.0288,False,False
002475,立讯精密,55.86,32.5651,34.3671,1.7153,1.6254,False,False
603259,药明康德,154.88,80.9542,78.4156,1.9132,1.9751,False,False
300832,新产业,49.14,23.708,22.95,2.0727,2.1412,False,False
688617,惠泰医疗,239.21,81.3807,81.2327,2.9394,2.9448,False,False
300896,爱美客,90.83,63.226,63.1751,1.4366,1.4377,False,False
300357,我武生物,20.01,8.7703,8.8601,2.2816,2.2584,False,False
300685,艾德生物,16.95,11.9455,10.464,1.4189,1.6198,False,False
688278,特宝生物,55.37,36.8563,36.514,1.5023,1.5164,False,False
600160,巨化股份,38.4,12.5195,14.6122,3.0672,2.6279,False,False
600486,扬农化工,58.42,37.9224,38.1111,1.5405,1.5329,False,False
002001,新和成,26.98,32.3302,32.4573,0.8345,0.8312,False,False
300487,蓝晓科技,67.18,22.3231,20.7249,3.0094,3.2415,False,False
300910,瑞丰新材,28.74,30.6948,30.0374,0.9363,0.9568,False,False
600862,中航高科,19.05,11.9983,10.9235,1.5877,1.7439,False,False
603067,振华股份,38.4,13.0042,13.0151,2.9529,2.9504,False,False
688122,西部超导,50.73,17.3852,17.5595,2.918,2.889,False,False
688190,云路股份,72.61,37.3753,36.8002,1.9427,1.9731,False,False
688708,佳驰科技,43.98,22.6019,20.7644,1.9459,2.118,False,False
002714,牧原股份,43.25,39.2927,39.1125,1.1007,1.1058,False,False
600415,小商品城,12.52,8.9512,9.6125,1.3987,1.3025,False,False
601965,中国汽研,13.67,13.4884,12.8031,1.0135,1.0677,False,False
002311,海大集团,44.09,24.9668,26.0921,1.7659,1.6898,False,False
300415,伊之密,19.32,19.1484,18.6604,1.009,1.0353,False,False
688516,奥特维,41.48,39.6583,39.451,1.0459,1.0514,False,False
300470,中密控股,27.96,18.7697,18.6088,1.4896,1.5025,False,False
002262,恩华药业,22.05,15.4531,15.0583,1.4269,1.4643,False,False
000426,兴业银锡,38.66,9.6112,9.7061,4.0224,3.9831,False,False
000975,山金国际,25.98,8.8545,8.502,2.9341,3.0558,False,False
601138,工业富联,65.24,22.8041,28.8521,2.8609,2.2612,False,False
603508,思维列控,21.33,16.4165,15.7358,1.2993,1.3555,False,False
000596,古井贡酒,98.21,92.2917,96.3624,1.0641,1.0192,False,True
002003,伟星股份,11.56,6.9486,6.9766,1.6636,1.657,False,False
603369,今世缘,30.41,28.9339,29.385,1.051,1.0349,False,True
603606,东方电缆,34.1,17.6653,17.8279,1.9303,1.9127,False,False
688041,海光信息,235.8,15.447,14.9669,15.2651,15.7548,False,False
688271,联影医疗,103.5,33.5254,33.3954,3.0872,3.0992,False,False
605117,德业股份,82.2,31.095,33.9625,2.6435,2.4203,False,False
601717,中创智领,14.63,30.2804,25.6873,0.4832,0.5695,False,False
001232,嘉立创,,35.852,39.5549,,,False,False
603338,浙江鼎力,59.56,45.9416,48.436,1.2964,1.2297,False,False
603596,伯特利,29.67,18.1006,21.7591,1.6392,1.3636,False,False
920394,民士达,45.65,12.141,11.772,3.76,3.8778,False,False
920599,同力股份,18.32,23.5545,22.1494,0.7778,0.8271,True,True
