signal_year,group,years,signals,complete,missing,signal_companies,complete_companies,median_return,mean_return,positive_fraction,max_company_fraction
2009,daily_top3,1,29,29,0,1,1,-0.04102564102563955,-0.03864790602238639,0.13793103448275862,1.0
2010,daily_top3,1,125,123,2,6,6,0.14260190507908543,0.1300001635394727,0.6422764227642277,0.21951219512195122
2011,daily_top3,1,108,107,1,4,4,-0.10100378976004498,-0.13456334294456368,0.037383177570093455,0.37383177570093457
2012,daily_top3,1,405,395,10,16,16,0.043215474764614736,0.07347631111495374,0.5443037974683544,0.28860759493670884
2013,daily_top3,1,550,530,20,18,18,0.01810315211409208,-0.0005197959700289641,0.5415094339622641,0.21509433962264152
2014,daily_top3,1,643,637,6,24,24,0.3798282603392922,0.41545705752658213,0.8351648351648352,0.17896389324960754
2015,daily_top3,1,401,381,20,19,19,-0.17576628082629142,-0.10383475777640455,0.3438320209973753,0.1784776902887139
2016,daily_top3,1,523,484,39,20,20,0.39184151979067605,0.4247280015365627,0.9752066115702479,0.18801652892561985
2017,daily_top3,1,338,337,1,11,10,0.49105973478531895,0.46168289873668233,0.9436201780415431,0.29673590504451036
2018,daily_top3,1,130,130,0,7,7,0.18983487925669862,0.23613850903346645,0.8846153846153846,0.36923076923076925
2019,daily_top3,1,527,526,1,12,12,0.322487016443436,0.2867574284807828,0.7870722433460076,0.21292775665399238
2020,daily_top3,1,561,561,0,19,19,0.2735658452916525,0.4857355154392897,0.7344028520499108,0.1746880570409982
2021,daily_top3,1,498,498,0,21,21,0.08447905199262473,0.17388526534277884,0.6345381526104418,0.16666666666666666
2022,daily_top3,1,606,606,0,28,28,0.11836663226073751,0.12444497908256265,0.7458745874587459,0.11386138613861387
2023,daily_top3,1,691,691,0,32,32,0.34022955082505235,0.30751187297564203,0.8929088277858177,0.15050651230101303
2024,daily_top3,1,701,696,5,33,33,0.24226888792395773,0.21316965462918572,0.8218390804597702,0.1235632183908046
2025,daily_top3,1,729,432,297,32,31,0.23316461904013075,0.3645505083143297,0.7939814814814815,0.11574074074074074
2026,daily_top3,1,379,0,379,29,0,,,,
2009,segment_starts,1,5,5,0,1,1,-0.015503875968990943,-0.013012761483083923,0.2,1.0
2010,segment_starts,1,81,80,1,6,6,0.16050871576127235,0.13823026973733538,0.6875,0.225
2011,segment_starts,1,44,44,0,4,4,-0.11038784237070265,-0.1408251426571347,0.045454545454545456,0.38636363636363635
2012,segment_starts,1,189,182,7,16,16,0.06623263739061092,0.10649475846513165,0.5989010989010989,0.2857142857142857
2013,segment_starts,1,335,328,7,18,18,0.018387619871763516,-0.0038154793740200316,0.5335365853658537,0.21341463414634146
2014,segment_starts,1,335,331,4,24,24,0.42191303845292216,0.4871713325657075,0.9063444108761329,0.14803625377643503
2015,segment_starts,1,199,186,13,19,19,-0.1045887188748954,-0.059491089238096366,0.41935483870967744,0.20430107526881722
2016,segment_starts,1,223,215,8,20,20,0.3884133767514193,0.4285850532684882,0.986046511627907,0.15813953488372093
2017,segment_starts,1,139,138,1,11,10,0.5187786281251907,0.4825181053987724,0.9420289855072463,0.2753623188405797
2018,segment_starts,1,37,37,0,7,7,0.32393328219705597,0.31096305410997027,0.8918918918918919,0.2972972972972973
2019,segment_starts,1,251,250,1,12,12,0.27653632916979687,0.2566115883755925,0.74,0.192
2020,segment_starts,1,264,264,0,19,19,0.3212587231902122,0.4797685130924025,0.7234848484848485,0.17045454545454544
2021,segment_starts,1,296,296,0,21,21,0.07447304045526448,0.16646957239280052,0.6351351351351351,0.15878378378378377
2022,segment_starts,1,321,321,0,28,28,0.11884546621542813,0.13358375960734123,0.7445482866043613,0.09968847352024922
2023,segment_starts,1,399,399,0,32,32,0.3449384344209272,0.3235093012981527,0.9072681704260651,0.15538847117794485
