period,signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
2009,2009-11-02,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2009,2009-11-02,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2009,2009-11-02,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2010,2010-01-04,000022,深赤湾A,0.9977,15.22,15.2553,14.999000000000033,14.539166666666711,2009-10-31,1,1,2010-01-05,15.29,2018-12-20,2011-01-05,2011-01-05,complete,14.32,-0.06344015696533545,2013-01-05,2013-01-07,complete,10.15,-0.3361674296926088
2010,2010-01-04,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2010,2010-01-04,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2011,2011-01-04,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2011,2011-01-04,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2011,2011-01-04,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2012,2012-01-04,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2012,2012-01-04,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2012,2012-01-04,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2013,2013-01-04,000651,格力电器,0.6179,25.32,40.978,24.327500000000093,23.05099999999996,2012-10-31,1,10,2013-01-07,26.36,2026-08-07,2014-01-07,2014-01-07,complete,29.97,0.18165892625595337,2016-01-07,2016-01-07,complete,19.58,0.7200813266000363
2013,2013-01-04,000338,潍柴动力,0.6442,25.41,39.4431,24.741499999999995,22.097833333333313,2012-10-29,2,10,2013-01-07,25.05,2026-08-07,2014-01-07,2014-01-07,complete,17.75,-0.2791085036233074,2016-01-07,2016-01-07,complete,8.39,-0.29826319071512575
2013,2013-01-04,600066,宇通客车,0.6678,24.35,36.4636,22.60700000000014,21.657666666666614,2012-10-23,3,10,2013-01-07,24.82,2026-08-07,2014-01-07,2014-01-07,complete,17.32,0.2821916085500269,2016-01-07,2016-01-07,complete,19.93,1.3500460177977045
2014,2014-01-02,600309,万华化学,0.7868,20.34,25.8519,20.08800000000004,18.64216666666668,2013-10-18,1,1,2014-01-03,19.84,2026-08-07,2015-01-03,2015-01-05,complete,23.54,0.23843342108979537,2017-01-03,2017-01-03,complete,22.84,0.23013295553545499
2014,2014-01-02,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2014,2014-01-02,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2015,2015-01-05,000933,神火股份,0.4895,6.59,13.4615,5.849499999999997,5.100666666666652,2013-10-23,1,13,2015-01-06,6.32,2026-08-07,2016-01-06,2016-01-06,complete,4.84,-0.23417721518987178,2018-01-06,2018-01-08,complete,10.9,0.7306887098480315
2015,2015-01-05,601088,中国神华,0.6458,22.32,34.5614,18.74599999999996,16.483833333333333,2014-10-25,2,13,2015-01-06,22.86,2026-08-07,2016-01-06,2016-01-06,complete,15.75,-0.2892075108069774,2018-01-06,2018-01-08,complete,25.08,0.18224825126335098
