security_code,security_name,group,years,signals,complete,missing,signal_companies,complete_companies,median_return,mean_return,positive_fraction,max_company_fraction
000001,平安银行,daily_top3,1,89,61,28,1,1,0.0983638084464713,0.08914649299265473,0.7868852459016393,1.0
000022,深赤湾A,daily_top3,1,51,51,0,1,1,-0.03545633617859356,0.03476407425991232,0.29411764705882354,1.0
000063,中兴通讯,daily_top3,1,5,5,0,1,1,0.24213027104081464,0.23239719405279308,1,1.0
000333,美的集团,daily_top3,1,80,80,0,1,1,0.5859139178327101,0.5990933281977884,0.8625,1.0
000338,潍柴动力,daily_top3,1,662,653,9,1,1,0.322389455000472,0.2819889667210777,0.7611026033690659,1.0
000423,东阿阿胶,daily_top3,1,4,4,0,1,1,0.06756731330219379,0.07669740284490667,1,1.0
000568,泸州老窖,daily_top3,1,16,16,0,1,1,0.0711949234899919,0.14597665943751253,1,1.0
000651,格力电器,daily_top3,1,547,489,58,1,1,0.26282153064464664,0.32470145115021515,0.820040899795501,1.0
000661,长春高新,daily_top3,1,12,12,0,1,1,-0.15074658706507255,-0.17787552414842592,0,1.0
000786,北新建材,daily_top3,1,1,1,0,1,1,-0.13825245621741777,-0.13825245621741777,0,1.0
000792,盐湖股份,daily_top3,1,227,210,17,1,1,-0.15088185133413312,-0.06670596506207231,0.2714285714285714,1.0
000858,五 粮 液,daily_top3,1,26,26,0,1,1,0.4095405137430589,0.4189289157867024,1,1.0
000869,张  裕Ａ,daily_top3,1,7,7,0,1,1,0.4026282622018209,0.42778216941872454,1,1.0
000933,神火股份,daily_top3,1,435,321,114,1,1,0.026607538802662534,0.08936375715081196,0.557632398753894,1.0
000999,华润三九,daily_top3,1,1,1,0,1,1,0.5985549931247316,0.5985549931247316,1,1.0
001872,招商港口,daily_top3,1,2,2,0,1,1,0.8978572012737086,0.8978572012737086,1,1.0
002001,新 和 成,daily_top3,1,30,29,1,1,1,-0.12449071709882709,-0.10512684893989309,0.20689655172413793,1.0
002024,ST易购,daily_top3,1,18,18,0,1,1,0.08977791208416896,0.30142629227250967,0.8888888888888888,1.0
002128,电投能源,daily_top3,1,623,593,30,1,1,0.2619364042454684,0.22526643035689325,0.7015177065767285,1.0
002152,广电运通,daily_top3,1,30,30,0,1,1,0.3793073662253267,0.3777328228556869,1,1.0
002158,汉钟精机,daily_top3,1,2,2,0,1,1,0.5987120665798417,0.5987120665798417,1,1.0
002236,大华股份,daily_top3,1,16,16,0,1,1,0.15486150709287438,0.18237929914669798,1,1.0
002304,洋河股份,daily_top3,1,105,105,0,1,1,0.4818551163298588,0.41115531080721524,0.9238095238095239,1.0
002466,天齐锂业,daily_top3,1,224,214,10,1,1,0.4969720885565152,0.8784528503991876,0.8691588785046729,1.0
002532,天山铝业,daily_top3,1,59,36,23,1,1,0.49073561185739056,0.5604055818692987,1,1.0
002648,卫星化学,daily_top3,1,28,6,22,1,1,0.22632079558007878,0.22320969368056434,1,1.0
002714,牧原股份,daily_top3,1,6,6,0,1,1,0.7311323599548193,0.7438025055867361,1,1.0
002833,弘亚数控,daily_top3,1,28,28,0,1,1,0.20388140964026902,0.1664163246546558,1,1.0
002841,视源股份,daily_top3,1,11,11,0,1,1,0.24145380626085444,0.24902418729944473,1,1.0
002966,苏州银行,daily_top3,1,6,0,6,1,0,,,,
300059,东方财富,daily_top3,1,7,4,3,1,1,0.9956086401453123,0.9610306444186713,1,1.0
300316,晶盛机电,daily_top3,1,2,2,0,1,1,0.46454529599087835,0.46454529599087835,1,1.0
600000,浦发银行,daily_top3,1,29,28,1,1,1,-0.13621969344131968,-0.08518818032781847,0.03571428571428571,1.0
600009,上海机场,daily_top3,1,5,5,0,1,1,1.0262161604672517,1.05104013740214,1,1.0
