period,signal_date,security_code,security_name,pv,signal_close,intrinsic_value,ma20,ma60,band_available_at,rank,eligible_count,execution_date,execution_close,price_history_end,target_1y,end_1y,status_1y,end_close_1y,return_1y,target_3y,end_3y,status_3y,end_close_3y,return_3y
2009Q4,2009-11-02,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2009Q4,2009-11-02,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2009Q4,2009-11-02,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2010Q1,2010-01-04,000022,深赤湾A,0.9977,15.22,15.2553,14.999000000000033,14.539166666666711,2009-10-31,1,1,2010-01-05,15.29,2018-12-20,2011-01-05,2011-01-05,complete,14.32,-0.06344015696533545,2013-01-05,2013-01-07,complete,10.15,-0.3361674296926088
2010Q1,2010-01-04,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2010Q1,2010-01-04,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2010Q2,2010-04-01,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2010Q2,2010-04-01,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2010Q2,2010-04-01,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2010Q3,2010-07-01,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2010Q3,2010-07-01,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2010Q3,2010-07-01,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2010Q4,2010-10-08,000651,格力电器,0.9753,14.65,15.0207,14.632000000000076,14.545944444444459,2010-08-19,1,4,2010-10-11,15.15,2026-08-07,2011-10-11,2011-10-11,complete,18.95,0.26833546630444727,2013-10-11,2013-10-11,complete,27.08,0.9276857086187444
2010Q4,2010-10-08,000933,神火股份,0.9958,22.55,22.6453,20.38899999999999,19.544999999999998,2010-08-06,2,4,2010-10-11,24.28,2026-08-07,2011-10-11,2011-10-11,complete,13.6,-0.09606849562365094,2013-10-11,2013-10-11,complete,5.69,-0.617116453028165
2010Q4,2010-10-08,601088,中国神华,1.018,25.8,25.3441,23.561499999999977,23.396,2010-08-28,3,4,2010-10-11,27.43,2026-08-07,2011-10-11,2011-10-11,complete,24.21,-0.09315106272976459,2013-10-11,2013-10-11,complete,16.58,-0.31637305257074055
2011Q1,2011-01-04,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2011Q1,2011-01-04,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2011Q1,2011-01-04,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2011Q2,2011-04-01,000651,格力电器,0.9889,22.82,23.0765,22.382500000000086,19.610166666666686,2011-03-24,1,1,2011-04-06,22.53,2026-08-07,2012-04-06,2012-04-06,complete,20.84,-0.062062114929873125,2014-04-06,2014-04-08,complete,29.49,0.4116069283947956
2011Q2,2011-04-01,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2011Q2,2011-04-01,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2011Q3,2011-07-01,000651,格力电器,0.9694,23.49,24.2314,22.161500000000085,22.146166666666673,2011-04-22,1,1,2011-07-04,23.8,2026-08-07,2012-07-04,2012-07-04,complete,21.4,-0.10084033613445509,2014-07-04,2014-07-04,complete,28.03,0.3163886833157463
2011Q3,2011-07-01,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2011Q3,2011-07-01,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2011Q4,2011-10-10,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2011Q4,2011-10-10,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2011Q4,2011-10-10,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2012Q1,2012-01-04,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2012Q1,2012-01-04,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
2012Q1,2012-01-04,,无合格标的,,,,,,,3,0,,,,,,,,,,,,,
2012Q2,2012-04-05,000651,格力电器,0.7438,20.86,28.0451,20.70750000000011,19.35849999999997,2011-10-28,1,1,2012-04-06,20.84,2026-08-07,2013-04-06,2013-04-08,complete,28.95,0.4215518198355599,2015-04-06,2015-04-07,complete,44.37,1.3797411121644547
2012Q2,2012-04-05,,无合格标的,,,,,,,2,1,,,,,,,,,,,,,
2012Q2,2012-04-05,,无合格标的,,,,,,,3,1,,,,,,,,,,,,,
2012Q3,2012-07-02,,无合格标的,,,,,,,1,0,,,,,,,,,,,,,
2012Q3,2012-07-02,,无合格标的,,,,,,,2,0,,,,,,,,,,,,,
