group,years,signals,complete,missing,signal_companies,complete_companies,median_return,mean_return,positive_fraction,max_company_fraction
daily_top3,1,7944,7163,781,85,79,0.20271940892594542,0.2442887557368146,0.737540136814184,0.09116292056400949
segment_starts,1,4230,3787,443,85,79,0.20472460856599617,0.24887363277565905,0.7459730657512543,0.07948243992606285
quarterly_top3,1,134,124,10,39,37,0.19802433427248645,0.22274257375310413,0.7419354838709677,0.08870967741935484
annual_top3,1,31,28,3,20,19,0.09882597737062493,0.1258851199481903,0.6785714285714286,0.10714285714285714
ma60_episodes,1,782,700,82,85,79,0.19483844750157053,0.24563983197205183,0.7671428571428571,0.07
ma60_nonoverlap,1,256,223,33,85,79,0.15732663433129312,0.22757108288831357,0.7399103139013453,0.04932735426008968
daily_top3,3,7944,5699,2245,85,59,0.7697282477822331,0.7882812879159701,0.8238287418845411,0.10440428145288647
segment_starts,3,4230,2866,1364,85,59,0.7623986080246028,0.7867419391080034,0.8220516399162596,0.09002093510118632
quarterly_top3,3,134,99,35,39,29,0.7077361807762488,0.8062687891584817,0.8686868686868687,0.1111111111111111
annual_top3,3,31,22,9,20,16,0.6238313659314483,0.597674938915444,0.8181818181818182,0.09090909090909091
ma60_episodes,3,782,546,236,85,59,0.6035867007532898,0.6959278862804716,0.8058608058608059,0.08241758241758242
ma60_nonoverlap,3,149,101,48,85,59,0.5177656632725032,0.7137764847005296,0.8415841584158416,0.04950495049504951
