cik,filed,effective,status,reason,value,period,rf,shares,split_adj,split_note
0000003673,2009-08-07,2009-08-06,no_annual,无 filed≤F 的年报行,,,,,,
0000003673,2009-11-09,2009-11-06,no_annual,无 filed≤F 的年报行,,,,,,
0000003673,2010-03-01,2010-02-26,ok,,55.0748,2009-12-31,0.0361,170000000,1.000000,
0000003673,2010-05-07,2010-05-06,ok,,55.4586,2010-03-31,0.0345,170100000,1.000000,
0000003673,2010-08-06,2010-08-05,ok,,62.8882,2010-06-30,0.0286,170100000,1.000000,
0000003673,2010-11-05,2010-11-04,ok,,61.5943,2010-09-30,0.0258,170300000,1.000000,
0000003673,2011-02-23,2011-02-22,ok,,60.2853,2010-12-31,0.0349,170300000,1.000000,
0000008868,2009-07-30,2009-07-29,no_annual,无 filed≤F 的年报行,,,,,,
0000008868,2009-10-29,2009-10-28,no_annual,无 filed≤F 的年报行,,,,,,
0000008868,2010-02-25,2010-02-24,ok,,37.2503,2009-12-31,0.0364,428540000,1.000000,
0000008868,2010-04-30,2010-04-29,ok,,37.8167,2010-03-31,0.0369,428403476,1.000000,
0000008868,2010-07-29,2010-07-28,ok,,44.1171,2010-06-30,0.0303,431290000,1.000000,
0000008868,2010-10-28,2010-10-27,ok,,42.1976,2010-09-30,0.0269,431570000,1.000000,
0000008868,2011-02-24,2011-02-23,ok,,86.7128,2010-12-31,0.0346,431350000,1.000000,
0000008868,2011-05-03,2011-05-02,ok,,56.5855,2011-03-31,0.0328,433170000,1.000000,
0000008868,2011-07-28,2011-07-27,ok,,57.4257,2011-06-30,0.0298,433750000,1.000000,shares x1e+06
0000008868,2011-10-27,2011-10-26,ok,,54.6501,2011-09-30,0.0242,433960000,1.000000,shares x1e+06
0000008868,2012-02-29,2012-02-28,ok,,35.1962,2011-12-31,0.0198,432100000,1.000000,
0000008868,2012-05-01,2012-04-30,ok,,41.4536,2012-03-31,0.0198,432100000,1.000000,
0000008868,2012-08-01,2012-07-31,ok,,38.8282,2012-06-30,0.0156,432800000,1.000000,
0000008868,2012-11-01,2012-10-31,ok,,39.7540,2012-09-30,0.0175,432500000,1.000000,
0000008868,2013-02-28,2013-02-27,ok,,33.1760,2012-12-31,0.0189,431900000,1.000000,
0000008868,2013-03-05,2013-03-04,ok,,33.3062,2012-12-31,0.0190,431900000,1.000000,
0000008868,2013-04-30,2013-04-29,ok,,30.0853,2013-03-31,0.0170,432500000,1.000000,
